df_hash,22ZHK4.FHJ395
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JXQ5
person_label,V16
date_time_start,2025-05-23_09-42-38.064000_+03
date_time_start_unix,1747982558.064
date_time_end,2025-05-23_09-51-23.087000_+03
length_difference_noticed,no

time,acc_mag
5.345,1.004
5.375,1.008
5.405,1.008
5.435,1.007
5.465,1.000
5.495,1.002
5.525,1.007
5.555,1.007
5.585,1.006
5.615,1.006
5.645,1.005
5.675,1.008
5.705,1.011
5.735,1.007
5.765,1.004
5.795,1.000
5.825,1.002
5.855,1.001
5.885,1.008
5.915,1.008
5.945,1.001
5.975,1.006
6.005,1.000
6.035,1.009
6.065,1.012
6.095,1.000
6.125,1.001
6.155,1.010
6.185,1.009
6.215,1.009
6.245,1.007
6.275,1.001
6.305,1.001
6.335,1.009
6.365,1.004
6.395,1.005
6.425,1.002
6.455,1.003
6.485,1.007
6.515,1.006
6.545,1.003
6.575,1.001
6.605,1.004
6.635,1.002
6.665,1.006
6.695,1.006
6.725,1.004
6.755,1.006
6.785,1.008
6.815,1.001
6.845,1.005
6.875,1.006
6.905,1.007
6.935,1.003
6.965,1.006
6.995,1.006
7.025,1.009
7.055,1.006
7.085,1.005
7.115,1.003
7.145,1.009
7.175,1.007
7.205,1.004
7.235,1.005
7.265,1.002
7.295,1.004
7.325,1.005
7.355,1.007
7.385,1.005
7.415,1.009
7.445,1.012
7.475,1.004
7.505,0.993
7.535,1.009
7.565,1.013
7.595,1.008
7.625,1.017
7.655,1.013
7.685,1.010
7.715,1.002
7.745,0.994
7.775,1.003
7.805,1.000
7.835,1.002
7.865,1.001
7.895,1.011
7.925,1.001
7.955,0.991
7.985,0.998
8.015,1.008
8.045,1.024
8.075,1.011
8.105,1.004
8.135,0.995
8.165,0.996
8.195,1.000
8.225,1.010
8.255,1.008
8.285,1.014
8.315,1.007
8.345,1.002
8.375,1.000
8.405,1.000
8.435,1.007
8.465,1.013
8.495,1.015
8.525,1.007
8.555,1.001
8.585,1.005
8.615,1.008
8.645,1.009
8.675,0.995
8.705,1.006
8.735,1.008
8.765,1.012
8.795,1.013
8.825,1.008
8.855,1.006
8.885,1.005
8.915,1.006
8.945,1.007
8.975,1.002
9.005,1.016
9.035,1.006
9.065,1.007
9.095,1.003
9.125,1.005
9.155,1.007
9.185,1.016
9.215,1.008
9.245,1.005
9.275,1.009
9.305,1.003
9.335,1.008
9.365,1.012
9.395,1.003
9.425,1.003
9.455,1.006
9.485,1.010
9.515,1.010
9.545,1.009
9.575,1.006
9.605,1.007
9.635,1.004
9.665,1.006
9.695,1.010
9.725,1.009
9.755,1.006
9.785,1.003
9.815,1.004
9.845,1.012
9.875,1.009
9.905,1.009
9.935,1.010
9.965,1.005
9.995,1.008
10.025,1.009
10.055,1.007
10.085,1.004
10.115,1.008
10.145,1.009
10.175,1.001
10.205,1.004
10.235,1.006
10.265,1.008
10.295,1.011
10.325,1.009
10.355,1.011
10.385,1.008
10.415,1.008
10.445,1.012
10.475,1.011
10.505,1.008
10.535,1.011
10.565,1.004
10.595,1.002
10.625,1.003
10.655,1.001
10.685,1.004
10.715,1.008
10.745,1.012
10.775,1.004
10.805,1.007
10.835,1.011
10.865,1.009
10.895,1.008
10.925,1.010
10.955,1.007
10.985,1.007
11.015,1.005
11.045,1.003
11.075,1.004
11.105,1.008
11.135,1.009
11.165,1.009
11.195,1.003
11.225,1.008
11.255,1.011
11.285,1.007
11.315,1.010
11.345,1.009
11.375,1.007
11.405,1.004
11.435,1.009
11.465,1.005
11.495,1.008
11.525,1.007
11.555,1.011
11.585,1.008
11.615,1.010
11.645,1.009
11.675,1.007
11.705,1.006
11.735,1.008
11.765,1.008
11.795,1.006
11.825,1.007
11.855,1.007
11.885,1.009
11.915,1.009
11.945,1.008
11.975,1.005
12.005,1.006
12.035,1.005
12.065,1.008
12.095,1.012
12.125,1.011
12.155,1.011
12.185,1.007
12.215,1.007
12.245,1.008
12.275,1.012
12.305,1.008
12.335,1.005
12.365,1.008
12.395,1.011
12.425,1.009
12.455,1.009
12.485,1.010
12.515,1.010
12.545,1.008
12.575,1.008
12.605,1.008
12.635,1.007
12.665,1.007
12.695,1.005
12.725,1.007
12.755,1.010
12.785,1.008
12.815,1.006
12.845,1.008
12.875,1.008
12.905,1.009
12.935,1.011
12.965,1.008
12.995,1.008
13.025,1.006
13.055,1.009
13.085,1.012
13.115,1.005
13.145,1.009
13.175,1.003
13.205,1.008
13.235,1.011
13.265,1.007
13.295,1.014
13.325,1.013
13.355,1.009
13.385,1.010
13.415,1.012
13.445,1.010
13.475,1.004
13.505,1.005
13.535,1.007
13.565,1.012
13.595,1.010
13.625,1.008
13.655,1.008
13.685,1.010
13.715,1.010
13.745,1.013
13.775,1.008
13.805,1.004
13.835,1.011
13.865,1.006
13.895,1.010
13.925,1.010
13.955,1.002
13.985,1.008
14.015,1.015
14.045,1.010
14.075,1.006
14.105,1.012
14.135,1.004
14.165,1.003
14.195,1.012
14.225,1.005
14.255,1.004
14.285,1.005
14.315,1.012
14.345,1.012
14.375,1.009
14.405,1.010
14.435,1.010
14.465,1.007
14.495,1.011
14.525,1.010
14.555,1.010
14.585,1.015
14.615,1.006
14.645,1.005
14.675,1.008
14.705,1.012
