df_hash,22ZHK4.FHJ395
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JXQ5
person_label,V16
date_time_start,2025-05-23_09-42-38.064000_+03
date_time_start_unix,1747982558.064
date_time_end,2025-05-23_09-51-23.087000_+03
length_difference_noticed,no

time,quality
15.490,52
16.365,77
17.583,81
18.461,86
19.436,86
20.557,84
21.481,86
22.507,83
23.533,84
24.506,80
25.309,86
26.551,87
27.480,80
28.355,83
29.529,86
30.702,88
31.481,86
32.499,87
33.674,85
34.258,83
35.572,81
36.376,85
37.376,85
38.497,85
39.522,85
40.206,85
41.425,86
42.301,82
43.250,88
44.348,86
45.372,83
46.444,81
47.416,82
48.248,85
49.268,87
50.393,88
51.565,90
52.149,87
53.368,83
54.195,81
55.167,83
56.292,84
57.215,83
58.190,82
59.269,80
60.588,80
61.069,84
62.390,80
63.414,81
64.048,79
65.313,81
66.092,80
67.019,78
68.583,81
69.320,80
70.137,79
71.160,72
72.133,78
73.015,80
74.475,77
75.084,76
75.987,81
77.158,83
78.034,81
78.913,84
80.131,86
81.154,87
82.080,85
83.104,85
84.076,83
84.959,83
86.078,85
86.980,83
87.834,83
89.052,82
89.932,85
90.855,83
92.074,86
92.952,88
93.878,82
95.142,79
95.877,80
96.805,80
98.165,79
98.851,76
100.069,85
100.992,81
102.019,81
103.094,81
103.923,83
104.898,81
106.020,83
107.090,82
108.116,84
108.698,83
109.917,82
110.795,86
111.671,81
112.941,82
114.063,83
114.646,86
116.011,83
116.986,83
117.812,83
118.935,82
120.008,82
120.693,80
121.814,85
122.690,81
123.619,81
125.174,78
125.664,75
126.590,76
127.805,79
128.832,76
129.859,77
131.022,74
131.660,79
132.562,79
133.753,76
134.940,81
135.760,79
136.824,82
137.707,78
138.485,81
139.655,78
140.582,84
141.507,82
142.677,82
143.555,80
144.527,81
145.748,82
146.577,81
147.601,82
148.673,79
149.506,85
150.474,81
151.989,83
152.476,78
153.402,82
154.578,81
155.452,81
156.377,82
157.555,81
158.424,85
159.351,78
160.520,80
161.448,82
162.370,84
163.496,82
164.472,83
165.440,84
166.519,84
167.784,85
168.563,84
169.441,83
170.367,83
171.245,84
172.707,83
173.633,85
174.218,82
175.535,83
176.364,82
177.287,82
178.449,81
179.532,83
180.167,80
181.483,81
182.263,82
183.207,83
184.652,83
185.236,81
186.406,82
187.577,81
188.359,80
189.186,83
190.355,79
191.476,83
192.302,82
193.475,80
194.168,82
195.084,79
196.303,84
197.278,81
198.252,82
199.229,78
200.154,77
201.077,81
202.347,78
203.129,82
204.102,83
205.224,84
206.102,83
206.979,81
208.542,84
209.076,86
209.983,83
211.314,85
212.143,81
212.927,83
214.155,79
215.030,81
215.901,85
217.119,82
218.138,81
218.874,79
220.138,82
221.162,82
221.991,83
223.071,83
224.038,83
224.824,81
226.089,82
226.973,83
227.846,84
229.404,83
229.943,80
230.820,84
231.991,81
233.112,81
233.840,83
234.988,81
235.840,82
236.789,82
238.128,80
238.867,84
240.031,81
240.913,83
241.836,84
242.751,81
243.883,84
245.101,79
245.733,81
246.857,84
248.089,81
248.908,81
249.880,79
250.757,83
251.638,80
252.856,81
254.023,78
254.611,81
255.876,58
256.755,33
257.923,31
258.995,28
259.873,29
260.604,0
262.219,31
262.653,54
263.626,53
264.940,47
265.628,66
266.616,77
267.725,71
268.645,72
269.539,76
270.696,76
271.624,71
272.502,74
273.672,73
274.597,74
275.473,72
276.786,80
277.571,79
278.493,78
279.714,80
280.544,84
281.421,79
283.035,79
283.517,79
284.395,80
285.596,80
286.501,83
287.416,80
288.587,82
289.465,80
290.342,81
291.752,82
292.484,84
293.340,84
294.535,84
295.412,84
296.290,83
297.509,82
298.431,82
299.559,83
300.482,84
301.656,80
302.286,85
303.605,82
304.626,81
305.260,82
306.527,83
307.353,81
308.331,81
309.403,81
310.525,82
311.210,79
312.382,84
313.307,82
314.535,83
315.354,84
316.374,82
317.203,85
318.430,82
319.305,84
320.178,83
321.490,81
322.225,85
323.197,81
324.329,82
325.199,79
326.222,81
327.489,80
328.174,77
329.050,77
330.271,83
331.153,81
332.023,82
333.246,82
334.412,79
335.001,81
336.265,81
337.101,83
338.017,82
339.579,84
340.067,77
341.069,79
342.505,76
343.044,79
344.111,81
345.148,81
346.109,81
346.945,78
348.355,82
349.083,79
349.915,81
351.087,82
352.108,78
353.081,82
354.069,78
354.987,82
355.911,81
357.361,80
357.959,82
359.031,79
360.101,83
360.932,80
361.958,83
363.029,79
364.099,83
364.784,80
366.115,79
366.883,83
367.806,80
368.976,82
369.854,80
371.077,77
371.950,77
372.930,75
373.761,76
375.136,76
375.801,82
376.731,76
378.089,80
378.924,80
379.994,79
381.017,78
381.857,79
382.676,80
384.040,78
385.067,80
385.650,78
386.965,81
388.094,82
388.771,81
389.793,78
390.862,81
391.691,79
392.818,82
393.693,81
394.571,81
395.985,83
396.861,79
397.840,83
399.052,79
399.651,84
400.518,80
401.737,82
402.616,78
403.784,80
404.756,81
405.734,79
406.468,83
407.688,77
408.569,82
409.491,80
410.708,80
411.584,81
412.462,82
413.777,81
414.807,75
415.437,74
416.661,82
417.484,81
418.506,77
419.628,79
420.458,81
421.432,84
422.582,80
423.541,84
424.380,79
425.560,77
426.550,72
427.342,68
428.511,60
429.427,50
