df_hash,22ZHK4.FHJ395
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JXQ5
person_label,V16
date_time_start,2025-05-23_09-42-38.064000_+03
date_time_start_unix,1747982558.064
date_time_end,2025-05-23_09-51-23.087000_+03
length_difference_noticed,no

time,battery
6.076,14
16.021,14
26.015,14
36.032,14
46.051,14
56.046,14
66.039,14
76.051,14
86.026,14
96.026,14
106.189,14
116.105,14
126.002,14
136.102,14
146.087,14
156.129,14
166.026,14
176.129,14
186.014,14
196.007,14
206.001,14
216.043,14
225.990,14
236.035,13
246.101,13
256.019,13
266.013,13
276.018,13
286.057,13
296.093,13
305.989,13
316.082,13
326.122,13
336.018,13
346.012,13
356.011,13
366.165,13
375.994,13
385.987,13
395.990,13
405.978,13
415.979,13
425.965,13
436.009,13
446.047,13
455.993,13
465.987,13
475.984,13
485.985,13
495.968,13
505.984,13
516.009,13
