df_hash,22ZHK4.FHJ395
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JXQ5
person_label,V16
date_time_start,2025-05-23_09-42-38.064000_+03
date_time_start_unix,1747982558.064
date_time_end,2025-05-23_09-51-23.087000_+03
length_difference_noticed,no

time,spo2
27.870,99
28.699,99
29.573,99
30.357,99
31.258,99
32.015,99
32.893,99
33.766,99
34.643,99
35.377,99
36.255,99
37.036,99
37.880,99
38.885,99
39.670,99
40.543,99
41.475,99
42.355,99
43.175,99
44.007,99
44.839,99
45.859,99
46.639,99
47.663,99
48.537,99
49.515,99
50.247,99
51.076,99
52.050,99
52.879,99
53.715,99
54.683,99
55.657,99
56.435,99
57.266,99
58.047,99
58.876,99
59.704,99
60.630,99
61.400,99
62.190,99
63.119,99
63.893,99
64.771,99
65.554,99
66.579,99
67.482,99
68.186,99
69.061,99
69.844,99
70.624,99
71.547,99
72.184,99
73.064,99
74.722,99
75.550,99
76.377,99
79.055,99
79.937,99
80.667,99
81.541,99
82.373,99
83.202,99
84.174,99
85.689,99
86.663,99
87.492,99
88.321,99
89.195,99
90.170,99
90.953,99
91.833,99
92.641,99
95.194,99
95.975,99
96.816,99
97.680,99
98.470,99
99.291,99
100.310,99
102.656,98
103.679,98
104.457,99
105.431,99
106.209,99
106.799,99
107.725,99
108.503,99
109.333,99
110.162,99
111.136,99
112.107,99
112.842,99
113.768,99
114.451,99
115.279,99
116.206,99
117.034,99
117.862,99
118.647,99
119.475,99
120.353,99
121.175,99
122.004,99
122.787,99
123.666,99
124.593,99
125.422,99
126.298,99
127.140,99
128.100,99
128.638,99
129.466,99
130.394,99
131.074,99
131.904,99
132.684,99
133.558,99
134.435,99
135.172,99
136.049,99
136.775,99
137.558,99
138.389,99
139.362,99
140.045,99
141.163,99
141.557,99
142.385,99
143.259,99
144.088,99
144.800,99
145.602,99
146.431,99
147.271,99
148.089,99
148.918,99
149.747,99
150.523,99
151.306,99
152.135,99
152.964,99
153.653,99
154.475,99
155.305,99
156.182,99
156.962,99
157.839,99
158.716,99
159.542,99
160.326,99
161.300,99
162.180,99
162.957,99
163.834,99
164.617,99
165.492,99
166.275,99
167.151,99
168.124,99
169.097,99
169.928,99
170.611,99
171.441,99
172.284,99
173.143,99
173.926,99
174.756,99
175.584,99
176.463,99
177.387,99
178.120,99
178.949,99
179.972,99
180.752,99
181.582,99
182.458,99
183.238,99
184.092,99
184.895,99
185.821,99
186.602,99
187.284,99
188.162,99
188.941,99
189.819,98
190.599,98
191.573,99
192.356,99
193.228,98
193.964,98
194.837,98
195.622,98
196.741,98
197.323,98
198.012,98
198.887,98
200.544,98
201.330,98
202.153,98
203.030,98
203.811,98
204.685,98
205.513,98
206.342,98
207.175,98
208.048,98
208.977,98
209.710,98
210.490,98
211.364,99
212.001,99
212.829,99
213.667,99
214.581,99
215.459,99
216.092,99
216.875,99
217.851,99
218.681,99
219.508,99
220.391,99
221.214,99
222.042,99
222.969,99
223.752,99
224.536,99
225.407,99
226.479,99
227.015,99
227.903,99
228.673,99
229.547,99
230.333,99
231.250,99
232.043,99
232.911,99
233.698,99
234.531,99
235.402,99
236.278,99
237.069,99
237.932,99
238.810,99
239.592,99
240.373,99
241.206,99
242.036,99
242.860,99
243.688,99
244.421,99
245.296,99
246.122,99
246.951,99
247.782,99
248.563,99
249.392,99
250.221,99
250.958,99
251.786,99
252.614,99
253.441,99
254.316,99
255.097,99
262.457,99
263.286,99
264.168,99
268.017,99
269.571,99
270.403,99
273.426,99
274.262,99
275.129,99
275.961,99
276.838,99
277.766,99
278.593,99
279.478,99
280.343,99
281.080,99
281.765,99
282.593,99
283.420,99
284.151,99
284.980,99
285.962,99
287.466,99
288.348,99
289.221,99
289.953,99
291.027,99
291.853,99
292.645,99
293.463,99
294.338,99
295.167,99
295.994,99
296.778,99
297.607,99
298.483,99
299.312,99
300.138,99
301.018,99
301.846,99
302.819,99
303.456,99
304.285,99
305.308,99
306.134,99
306.771,98
307.599,99
308.428,99
309.317,99
310.134,99
310.818,99
311.647,99
312.476,99
313.352,99
314.134,99
314.962,99
315.839,99
316.862,99
317.544,99
318.325,99
319.217,99
319.982,99
320.665,99
321.542,99
322.420,99
323.394,99
323.928,99
324.719,99
325.395,99
326.416,99
327.101,99
328.054,99
328.758,99
329.586,99
330.415,99
331.244,99
332.076,99
332.902,99
334.705,99
336.412,99
337.337,99
338.071,99
338.753,99
339.629,99
340.409,99
341.287,99
342.069,99
342.897,99
343.727,99
344.602,99
345.476,99
346.310,99
347.133,99
348.062,99
348.746,99
349.576,99
350.305,99
351.279,99
351.963,99
352.840,99
353.622,99
354.494,99
355.134,99
355.960,99
357.230,99
357.666,99
358.496,99
359.324,99
360.007,99
360.836,99
361.812,99
362.494,99
363.516,99
364.296,99
365.077,99
365.907,99
366.734,99
367.532,99
368.484,99
369.075,99
369.903,99
370.735,99
371.564,99
372.389,99
373.218,99
374.157,99
374.879,99
375.561,99
376.436,99
377.411,99
378.144,99
379.653,99
380.433,99
381.307,99
382.140,99
382.919,99
383.663,99
384.479,99
385.309,99
386.036,99
386.820,99
387.650,99
388.624,99
389.256,99
390.039,99
391.011,99
391.742,99
392.525,99
393.353,99
394.181,99
395.010,99
395.741,99
396.569,99
397.399,99
