df_hash,22ZHK4.GW7WJ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.045F
person_label,V148
date_time_start,2026-06-08_17-32-22.778000_+03
date_time_start_unix,1780921942.778
date_time_end,2026-06-08_17-42-05.310000_+03
length_difference_noticed,no

time,quality
15.013,56
15.588,82
16.807,86
17.684,91
18.611,89
19.833,88
20.660,90
21.635,89
22.756,90
23.778,89
24.559,89
25.728,90
26.703,88
27.533,93
28.752,96
29.926,94
30.750,90
31.726,90
32.650,92
33.674,89
34.701,96
35.672,89
36.551,88
37.718,88
38.621,87
39.476,87
40.650,83
41.864,89
42.547,77
43.620,81
44.548,78
45.472,78
46.642,81
47.520,82
48.453,84
49.957,85
50.643,77
51.712,43
52.882,0
53.468,33
54.540,32
55.565,29
56.442,33
57.368,49
58.538,53
59.510,68
60.537,75
61.513,79
62.539,78
63.413,81
64.486,78
65.412,87
66.289,89
67.606,85
68.580,77
69.412,77
70.531,76
71.591,78
72.334,79
73.640,82
74.336,71
75.213,57
76.625,43
77.309,34
78.248,35
79.752,43
80.330,40
81.210,51
82.380,61
83.598,75
84.184,57
85.352,43
86.278,39
87.163,0
88.617,0
89.272,23
90.203,31
91.348,41
92.227,60
93.105,78
94.322,86
95.199,79
96.220,84
97.490,84
98.175,89
99.103,88
100.464,87
101.257,77
102.073,59
103.340,51
104.264,67
105.144,40
106.218,42
107.146,55
108.021,82
109.745,89
110.118,82
110.995,78
112.259,66
113.100,76
113.969,86
115.212,82
116.160,86
116.943,83
118.276,83
119.189,88
119.971,87
121.167,91
122.114,90
122.939,90
124.109,88
125.036,85
126.157,89
127.227,83
128.216,89
128.886,90
130.202,92
130.982,88
131.860,86
133.030,81
134.199,80
134.931,82
136.247,85
136.930,82
137.807,84
139.026,83
139.905,81
140.783,87
142.045,86
143.120,93
143.754,93
145.214,94
145.853,95
146.774,77
147.972,59
148.824,51
149.942,49
150.921,57
151.798,59
152.725,76
154.102,81
155.116,80
155.698,78
156.868,74
158.086,81
158.672,79
159.889,78
160.767,76
161.742,92
162.815,83
163.988,79
164.619,81
166.032,78
166.728,63
167.745,64
168.811,70
169.688,58
170.663,43
171.785,64
172.854,72
173.933,86
174.808,85
175.637,83
176.871,77
177.734,79
178.612,79
179.539,89
180.706,84
181.584,84
182.604,79
183.825,89
184.898,87
185.683,93
186.653,88
187.580,83
188.457,89
189.672,89
190.796,93
191.479,95
193.069,93
193.722,92
194.404,85
195.624,87
196.646,89
197.378,56
198.622,37
199.717,34
200.354,32
201.621,35
202.449,34
203.666,48
204.690,43
205.518,54
206.640,73
207.520,90
208.395,87
209.564,92
210.685,87
211.661,91
212.295,93
213.611,90
214.391,92
215.314,92
216.438,91
217.608,88
218.388,95
219.461,94
220.339,88
221.216,90
222.493,90
223.312,84
224.235,78
225.697,72
226.381,72
227.165,69
228.559,62
229.305,57
230.234,60
231.506,48
232.440,28
233.205,55
234.572,78
235.232,83
236.133,79
237.303,75
238.480,84
239.299,89
240.277,85
241.214,84
242.080,86
243.352,86
244.129,87
245.151,83
246.272,86
247.150,86
248.027,81
249.200,83
250.123,76
251.098,49
252.171,51
253.100,69
254.026,63
255.244,62
256.078,72
257.002,91
258.268,85
259.093,84
260.214,86
261.141,92
262.018,90
262.896,81
264.117,74
265.040,75
265.920,85
267.231,86
268.110,87
269.038,86
270.061,92
271.136,87
271.817,89
273.036,89
273.915,90
274.790,90
276.038,88
276.887,89
278.108,87
279.273,85
279.909,87
281.079,88
282.203,87
282.883,87
284.058,84
284.933,87
285.902,87
287.029,86
288.102,87
288.831,86
289.756,90
290.880,86
291.805,85
292.925,85
294.046,86
295.073,90
295.850,87
296.874,89
297.797,87
298.677,88
299.848,88
300.728,83
301.697,73
303.214,71
303.942,72
304.576,68
306.135,55
306.673,49
307.696,45
308.768,41
309.648,41
310.575,46
311.793,40
312.622,37
313.547,47
314.912,39
315.739,0
316.524,6
317.835,0
318.664,27
319.493,0
320.764,32
321.932,46
322.520,45
323.637,38
324.624,30
325.634,31
326.610,40
327.537,48
328.414,43
329.633,59
330.513,53
331.390,40
332.630,31
333.681,23
334.420,26
335.587,29
336.458,42
337.630,40
338.555,61
339.481,64
340.379,60
341.552,57
342.698,50
343.283,46
344.648,23
345.684,33
346.311,0
347.572,0
348.353,6
349.279,25
350.512,54
351.572,55
352.255,59
353.423,61
354.398,70
355.322,69
356.408,71
357.420,71
358.203,64
359.496,43
360.296,45
361.258,37
362.584,39
363.416,38
364.194,36
365.512,57
366.342,57
367.121,51
368.386,27
369.266,0
370.158,2
371.316,5
372.195,6
373.121,35
374.289,35
375.165,30
376.188,31
377.263,50
378.190,54
379.110,55
380.303,52
381.210,52
382.067,52
383.597,58
384.186,71
385.012,77
386.232,77
387.154,63
388.083,55
389.172,23
390.183,26
390.961,38
392.178,34
393.056,30
393.933,23
395.198,22
396.030,27
397.058,36
398.128,48
399.005,36
399.978,39
401.194,38
401.978,50
402.903,51
404.217,59
404.951,47
405.879,52
407.096,46
408.070,45
408.902,48
410.023,47
410.899,71
412.068,84
413.014,82
414.027,89
414.799,80
416.066,50
416.891,36
417.821,36
418.942,3
420.111,4
420.940,9
421.920,5
422.844,0
423.720,33
424.939,68
426.062,86
426.693,88
427.888,69
428.986,52
429.668,52
