df_hash,22ZHK4.GW7WJ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.045F
person_label,V148
date_time_start,2026-06-08_17-32-22.778000_+03
date_time_start_unix,1780921942.778
date_time_end,2026-06-08_17-42-05.310000_+03
length_difference_noticed,no

time,ppg_med
5.173,770
5.198,882
5.223,1062
5.248,1163
5.273,1129
5.298,1092
5.323,1196
5.348,1388
5.373,1466
5.398,1354
5.423,1230
5.448,1293
5.473,1469
5.498,1483
5.523,1236
5.548,968
5.573,948
5.598,1076
5.623,983
5.648,537
5.673,64
5.698,-81
5.723,-29
5.748,-267
5.773,-965
5.798,-1693
5.823,-1983
5.848,-2010
5.873,-2402
5.898,-3377
5.923,-4376
5.948,-4793
5.973,-4853
5.998,-5361
6.023,-6590
6.048,-7823
6.073,-8288
6.098,-8271
6.123,-8792
6.148,-10191
6.173,-11559
6.198,-11926
6.223,-11648
6.248,-12009
6.273,-13434
6.298,-14779
6.323,-14831
6.348,-14039
6.373,-14007
6.398,-15264
6.423,-16384
6.448,-15856
6.473,-14242
6.498,-13544
6.523,-14425
6.548,-15110
6.573,-13715
6.598,-10944
6.623,-9303
6.648,-9630
6.673,-9711
6.698,-7178
6.723,-2914
6.748,-88
6.773,221
6.798,811
6.823,4704
6.848,10782
6.873,14966
6.898,15827
6.923,16975
6.948,22381
6.973,30616
6.998,32767
7.023,32767
7.048,32767
7.073,32767
7.098,32767
7.123,32767
7.148,32767
7.173,32767
7.198,32767
7.223,32767
7.248,32767
7.273,32767
7.298,32767
7.323,32767
7.348,32767
7.373,32767
7.398,32767
7.423,23686
7.448,-32768
7.473,-32768
7.498,-32768
7.523,-32768
7.548,-32768
7.573,-32768
7.598,-32768
7.623,-32768
7.648,-32768
7.673,-32768
7.698,-32768
7.723,-32768
7.748,-32768
7.773,-32768
7.798,-32768
7.823,-32768
7.848,-32768
7.873,-32768
7.898,-31607
7.923,-23698
7.948,-20403
7.973,-19817
7.998,-17220
8.023,-11598
8.048,-6533
8.073,-4897
8.098,-4917
8.123,-2710
8.148,2525
8.173,7632
8.198,9696
8.223,9531
8.248,10108
8.273,12535
8.298,15011
8.323,15711
8.348,15320
8.373,15907
8.398,17990
8.423,19885
8.448,20024
8.473,18919
8.498,18251
8.523,18559
8.548,18717
8.573,17698
8.598,16030
8.623,14999
8.648,14881
8.673,14648
8.698,13447
8.723,11741
8.748,10602
8.773,10253
8.798,9856
8.823,8718
8.848,7205
8.873,6173
8.898,5799
8.923,5415
8.948,4473
8.973,3260
8.998,2444
9.023,2159
9.048,1878
9.073,1176
9.098,285
9.123,-272
9.148,-398
9.173,-507
9.198,-932
9.223,-1496
9.248,-1785
9.273,-1713
9.298,-1598
9.323,-1721
9.348,-1974
9.373,-2059
9.398,-1893
9.423,-1690
9.448,-1647
9.473,-1705
9.498,-1665
9.523,-1476
9.548,-1280
9.573,-1205
9.598,-1196
9.623,-1116
9.648,-939
9.673,-778
9.698,-724
9.723,-729
9.748,-677
9.773,-533
9.798,-379
9.823,-296
9.848,-261
9.873,-194
9.898,-69
9.923,57
9.948,127
9.973,159
9.998,193
10.023,192
10.048,186
10.073,180
10.098,163
10.123,132
10.148,105
10.173,114
10.198,169
10.223,247
10.248,316
10.273,359
10.298,393
10.323,435
10.348,487
10.373,532
10.398,557
10.423,561
10.448,558
10.473,555
10.498,555
10.523,552
10.548,542
10.573,523
10.598,497
10.623,466
10.648,434
10.673,405
10.698,378
10.723,350
10.748,320
10.773,287
10.798,253
10.823,212
10.848,162
10.873,106
10.898,52
10.923,6
10.948,-37
10.973,-83
10.998,-123
11.023,-132
11.048,-94
11.073,-15
11.098,73
11.123,147
11.148,201
11.173,252
11.198,313
11.223,379
11.248,434
11.273,466
11.298,481
11.323,491
11.348,504
11.373,518
11.398,526
11.423,526
11.448,517
11.473,502
11.498,483
11.523,467
11.548,459
11.573,453
11.598,433
11.623,385
11.648,307
11.673,216
11.698,137
11.723,84
11.748,57
11.773,43
11.798,24
11.823,-8
11.848,-50
11.873,-85
11.898,-88
11.923,-50
11.948,18
11.973,91
11.998,151
12.023,197
12.048,244
12.073,304
12.098,367
12.123,416
12.148,442
12.173,452
12.198,461
12.223,476
12.248,491
12.273,496
12.298,488
12.323,473
12.348,455
12.373,434
12.398,407
12.423,377
12.448,350
12.473,329
12.498,309
12.523,282
12.548,246
12.573,207
12.598,174
12.623,146
12.648,116
12.673,74
12.698,24
12.723,-12
12.748,-12
12.773,31
12.798,102
12.823,173
12.848,226
12.873,264
12.898,302
12.923,351
12.948,404
12.973,443
12.998,459
13.023,457
13.048,452
13.073,455
13.098,460
13.123,459
13.148,447
13.173,429
13.198,410
13.223,391
13.248,368
13.273,341
13.298,314
13.323,291
13.348,270
13.373,245
13.398,210
13.423,170
13.448,136
13.473,115
13.498,96
13.523,66
13.548,21
13.573,-21
13.598,-34
13.623,-4
13.648,61
13.673,135
13.698,195
13.723,239
13.748,281
13.773,332
13.798,389
13.823,434
13.848,457
13.873,462
13.898,464
13.923,475
13.948,492
13.973,502
13.998,495
14.023,474
14.048,451
14.073,432
14.098,415
14.123,392
14.148,359
14.173,324
14.198,293
14.223,269
14.248,244
14.273,213
14.298,175
14.323,137
14.348,101
14.373,61
14.398,15
14.423,-31
