df_hash,22ZHK4.GW7WJ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.045F
person_label,V148
date_time_start,2026-06-08_17-32-22.778000_+03
date_time_start_unix,1780921942.778
date_time_end,2026-06-08_17-42-05.310000_+03
length_difference_noticed,no

time,temperature
5.249,31.984
6.337,32.031
7.258,32.062
8.277,32.156
9.247,32.156
10.273,32.219
11.444,32.281
12.270,32.344
13.245,32.406
14.269,32.500
15.244,32.594
16.267,32.594
17.242,32.656
18.316,32.656
19.290,32.719
20.267,32.781
21.293,32.844
22.286,32.844
23.390,32.875
24.263,32.875
25.238,32.906
26.262,32.938
27.285,33.000
28.284,33.031
29.239,33.094
30.283,33.125
31.234,33.125
32.258,33.188
33.233,33.250
34.257,33.281
35.243,33.344
36.264,33.375
37.261,33.375
38.303,33.438
39.315,33.406
40.253,33.469
41.228,33.500
42.252,33.500
43.227,33.562
44.399,33.594
45.420,33.594
46.257,33.594
47.425,33.594
48.249,33.594
49.273,33.594
50.250,33.594
51.222,33.625
52.252,33.656
53.269,33.656
54.255,33.625
55.268,33.625
56.244,33.656
57.268,33.750
58.248,33.750
59.266,33.844
60.339,33.875
61.290,33.875
62.242,33.906
63.265,33.906
64.242,33.969
65.263,33.969
66.252,34.000
67.287,34.000
68.291,34.031
69.273,34.031
70.236,34.000
71.260,34.000
72.234,34.000
73.258,34.031
74.282,34.062
75.266,34.094
76.232,34.125
77.260,34.125
78.280,34.125
79.255,34.094
80.229,34.188
81.254,34.156
82.252,34.188
83.252,34.188
84.227,34.156
85.255,34.219
86.226,34.188
87.263,34.188
88.230,34.188
89.276,34.219
90.224,34.188
91.298,34.188
92.371,34.219
93.246,34.219
94.225,34.250
95.293,34.219
96.228,34.312
97.245,34.344
98.470,34.375
99.243,34.375
100.218,34.406
101.271,34.438
102.311,34.438
103.240,34.469
104.270,34.469
105.239,34.500
106.263,34.469
107.288,34.406
108.262,34.406
109.766,34.438
110.261,34.469
111.236,34.500
112.268,34.531
113.383,34.500
114.258,34.531
115.283,34.500
116.257,34.562
117.232,34.594
118.295,34.594
119.231,34.625
120.320,34.594
121.230,34.594
122.259,34.594
123.374,34.594
124.309,34.625
125.265,34.656
126.251,34.656
127.241,34.625
128.351,34.625
129.225,34.625
130.297,34.656
131.223,34.625
132.247,34.625
133.222,34.625
134.245,34.625
135.221,34.625
136.253,34.656
137.300,34.688
138.291,34.719
139.218,34.719
140.242,34.719
141.609,34.719
142.292,34.719
143.219,34.750
144.239,34.750
145.579,34.750
146.241,34.750
147.236,34.750
148.236,34.719
149.260,34.625
150.235,34.656
151.264,34.625
152.234,34.625
153.258,34.594
154.233,34.562
155.256,34.500
156.240,34.531
157.261,34.562
158.233,34.531
159.253,34.625
160.231,34.594
161.303,34.656
162.238,34.688
163.250,34.688
164.226,34.719
165.250,34.844
166.431,34.844
167.248,34.844
168.229,34.875
169.247,34.875
170.563,34.906
171.255,34.969
172.221,34.906
173.244,34.906
174.222,34.938
175.243,34.875
176.218,34.906
177.251,34.875
178.221,34.875
179.254,34.875
180.215,34.844
181.239,34.844
182.214,34.875
183.238,34.875
184.213,34.875
185.256,34.906
186.211,34.875
187.287,34.875
188.210,34.875
189.234,34.906
190.209,34.906
191.427,34.875
192.256,34.875
193.426,34.906
194.212,34.938
195.234,34.969
196.351,34.969
197.308,35.000
198.252,35.031
199.236,35.031
200.259,35.062
201.226,35.031
202.250,34.938
203.324,34.906
204.248,34.906
205.277,34.906
206.352,34.875
207.247,34.906
208.251,34.906
209.221,34.875
210.293,34.969
211.219,35.000
212.243,35.062
213.283,35.125
214.242,35.062
215.223,35.062
216.250,35.094
217.364,35.094
218.239,35.094
219.216,35.125
220.249,35.031
221.266,35.031
222.237,35.031
223.214,35.031
224.243,35.062
225.211,35.094
226.234,35.125
227.355,35.125
228.239,35.125
229.208,35.125
230.239,35.125
231.206,35.156
232.298,35.125
233.234,35.156
234.326,35.156
235.263,35.125
236.227,35.094
237.202,35.062
238.495,35.031
239.305,35.062
240.246,35.062
241.220,35.031
242.369,35.094
243.265,35.094
244.275,35.062
245.197,35.062
246.220,35.094
247.293,35.125
248.230,35.125
249.243,35.062
250.222,35.094
251.294,35.094
252.217,35.094
253.244,35.000
254.216,35.031
255.439,35.000
256.214,35.000
257.238,35.031
258.359,35.031
259.363,35.125
260.219,35.125
261.235,35.125
262.213,35.125
263.555,35.219
264.214,35.250
265.233,35.281
266.552,35.281
267.236,35.281
268.207,35.281
269.230,35.250
270.205,35.281
271.273,35.281
272.255,35.219
273.228,35.219
274.446,35.188
275.276,35.188
276.219,35.188
277.520,35.188
278.638,35.219
279.277,35.188
280.788,35.156
281.307,35.156
282.208,35.219
283.221,35.156
284.231,35.188
285.516,35.188
286.295,35.188
287.224,35.188
288.269,35.281
289.241,35.250
290.192,35.312
291.227,35.344
292.191,35.344
293.268,35.375
294.190,35.344
295.214,35.375
296.237,35.344
297.212,35.344
298.239,35.250
299.455,35.250
300.239,35.188
301.254,35.156
302.234,35.156
303.220,35.125
304.232,35.156
305.207,35.188
306.231,35.219
307.206,35.188
308.230,35.188
309.261,35.188
310.230,35.281
311.203,35.281
312.227,35.281
313.202,35.312
314.423,35.281
315.252,35.250
316.224,35.250
317.199,35.250
318.223,35.250
