df_hash,22ZHK4.MC7JBY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0QNP
person_label,V38
date_time_start,2025-10-27_13-06-31.896000_+03
date_time_start_unix,1761555991.896
date_time_end,2025-10-27_13-14-49.110000_+03
length_difference_noticed,no

time,ppg_quality
58.087,62
60.107,46
61.117,47
63.137,65
65.157,62
67.177,57
69.187,38
70.197,43
72.217,36
73.227,28
74.237,30
76.257,31
78.277,50
79.287,62
80.297,64
82.317,70
83.327,70
85.347,68
87.367,66
89.387,66
91.407,59
94.437,70
95.447,71
96.457,72
98.477,63
100.497,69
102.507,75
103.517,74
104.527,70
105.537,67
107.557,73
108.567,81
109.577,84
110.587,83
111.597,84
113.617,84
116.647,85
118.667,78
120.687,80
122.707,75
123.717,71
124.727,68
125.737,74
127.757,83
129.777,73
131.797,69
133.807,73
135.827,71
136.837,69
138.857,72
140.877,77
142.897,76
143.907,77
144.917,81
145.927,79
146.937,67
147.947,62
149.967,52
151.987,33
154.007,30
155.017,28
156.027,27
158.047,43
160.067,34
161.077,34
162.087,42
163.097,44
164.107,48
165.117,48
166.127,51
167.137,50
168.147,51
170.167,70
171.177,76
172.187,80
174.207,81
176.227,81
178.247,81
179.257,80
180.267,78
181.277,76
182.287,73
183.297,69
185.317,75
186.327,72
187.337,58
189.357,60
191.377,61
192.387,60
193.397,59
194.407,51
195.417,54
196.427,57
198.447,65
199.457,64
200.467,64
201.477,67
203.497,72
204.507,70
205.517,68
207.537,71
209.557,72
211.577,68
213.597,68
215.617,69
216.627,68
218.647,67
220.667,64
222.687,61
224.707,66
226.727,69
229.757,75
231.777,79
233.797,81
235.817,98
236.827,106
238.847,124
240.867,108
241.877,104
242.887,98
243.897,77
244.907,55
246.927,13
248.947,9
249.957,8
251.977,18
252.987,27
253.997,36
256.017,57
258.037,46
261.067,37
262.077,37
263.087,33
264.097,36
265.107,35
266.117,29
267.127,14
268.137,30
269.147,29
271.167,24
272.177,16
273.187,12
275.207,13
277.227,32
279.247,17
281.267,19
284.297,32
286.317,24
288.337,41
289.347,43
290.357,43
292.377,42
293.387,42
295.407,45
297.427,49
299.447,22
301.467,36
302.477,40
303.487,31
306.517,13
308.537,36
310.557,53
312.577,38
314.597,46
315.607,49
316.617,42
317.627,35
319.647,30
320.657,36
321.667,36
323.687,45
325.707,59
326.717,57
327.727,49
329.747,27
331.767,5
332.777,6
338.837,15
340.857,35
342.877,32
343.887,37
344.897,42
345.907,38
347.927,54
349.947,60
351.967,65
352.977,66
353.987,70
354.997,65
356.007,62
357.017,53
359.037,52
361.057,55
362.067,72
363.077,72
364.087,69
365.097,68
367.117,60
368.127,55
369.137,55
370.147,63
372.167,49
374.187,30
376.207,57
378.227,49
380.247,31
381.257,19
383.277,26
385.297,15
386.307,38
388.327,27
389.337,21
391.357,24
393.377,22
394.387,34
395.397,38
396.407,28
398.427,36
400.447,44
401.457,49
403.477,62
404.487,55
406.507,59
407.517,60
409.537,68
410.547,63
411.557,63
413.577,38
415.597,22
420.647,6
422.667,1
424.687,27
425.697,39
426.707,55
428.727,67
430.747,68
432.767,76
433.777,82
435.797,78
436.807,79
438.827,77
439.837,71
440.847,59
441.857,50
442.867,57
444.887,71
445.897,69
446.907,65
448.927,70
450.947,91
452.967,89
453.977,84
454.987,81
458.017,78
460.037,77
462.057,83
464.077,86
466.097,90
467.107,91
469.127,90
471.147,80
473.167,51
475.187,34
477.207,26
478.217,11
481.247,1
482.257,18
484.277,35
485.287,35
487.307,54
488.317,70
489.327,81
491.347,80
493.367,75
