df_hash,22ZHK4.MC7JBY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0QNP
person_label,V38
date_time_start,2025-10-27_13-06-31.896000_+03
date_time_start_unix,1761555991.896
date_time_end,2025-10-27_13-14-49.110000_+03
length_difference_noticed,no

time,battery
12.049,51
21.971,51
32.063,51
42.008,51
51.985,51
61.947,51
72.040,51
82.032,51
91.977,51
101.974,51
111.965,50
121.958,50
132.054,50
141.946,50
152.037,50
162.031,50
171.934,50
182.019,50
192.012,50
201.957,50
211.951,50
221.945,50
231.938,50
241.982,50
252.024,50
261.920,50
271.964,50
281.957,50
291.982,50
301.993,50
311.984,50
321.932,50
331.926,50
341.920,50
351.962,50
361.909,50
371.984,50
381.944,50
391.938,50
401.983,50
411.925,50
421.936,49
431.913,49
441.928,49
451.900,49
462.040,49
471.937,49
481.953,49
491.925,49
