df_hash,22ZHK4.MC7JBY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0QNP
person_label,V38
date_time_start,2025-10-27_13-06-31.896000_+03
date_time_start_unix,1761555991.896
date_time_end,2025-10-27_13-14-49.110000_+03
length_difference_noticed,no

time,rr_int
10.661,4005
10.664,1320
10.667,15
10.712,120
10.759,230
10.762,10
10.907,65
11.395,220
12.806,1140
12.855,650
13.147,215
13.151,10
13.199,85
13.201,10
13.391,170
13.537,240
14.390,790
14.659,10
15.048,240
15.051,435
15.634,10
16.319,605
17.096,630
17.099,745
17.730,10
18.558,725
18.562,760
19.099,15
19.241,575
19.244,10
19.387,175
19.391,20
19.536,35
19.540,15
19.631,10
20.220,310
20.801,580
21.584,575
22.020,645
22.312,615
22.702,235
23.385,440
23.678,735
24.213,195
24.216,540
24.360,15
24.362,150
24.506,15
24.517,85
24.555,10
24.798,20
25.481,340
26.088,600
26.603,585
27.452,625
27.456,780
28.260,10
28.264,880
28.591,10
29.238,260
29.241,595
29.381,10
29.385,185
29.679,20
29.688,15
29.796,40
30.582,420
31.285,675
31.922,670
32.551,710
33.285,710
33.818,685
34.500,640
35.088,580
35.943,650
36.891,830
37.038,920
37.717,15
38.401,820
38.692,800
38.695,290
38.841,15
38.890,10
38.893,15
39.667,280
39.672,580
40.230,10
40.235,545
40.789,10
40.792,575
41.763,10
42.593,980
42.600,860
43.568,10
43.575,940
44.163,10
44.172,575
44.177,10
44.811,10
44.828,680
44.932,10
44.936,90
44.981,20
44.984,15
44.987,15
45.176,15
45.179,15
45.517,65
45.520,465
46.395,10
47.175,830
47.324,810
47.419,185
47.422,55
47.711,15
47.714,10
47.858,10
48.006,405
48.012,155
48.015,20
48.018,10
48.101,10
48.106,10
48.401,10
48.979,365
49.515,600
49.662,570
50.344,10
50.347,720
51.075,10
51.957,720
52.440,770
52.587,645
53.074,205
53.077,385
53.610,10
54.245,590
54.926,610
55.657,690
55.661,725
55.902,10
56.340,210
57.049,490
57.217,680
57.559,140
57.852,445
58.144,325
58.822,235
58.973,620
58.989,10
59.265,140
59.268,375
59.801,10
60.880,580
61.069,860
61.459,270
62.288,540
62.434,750
62.437,165
62.482,15
62.486,15
62.489,10
62.531,10
62.535,10
62.538,10
62.610,10
62.729,10
62.734,15
62.739,10
62.873,20
63.020,355
63.702,15
63.710,735
63.994,15
64.385,260
64.533,470
65.116,10
65.797,740
65.847,695
66.517,10
66.782,625
67.068,225
67.601,320
68.138,610
68.144,550
68.284,10
69.162,170
69.947,730
70.042,910
70.091,10
70.094,130
70.793,40
71.062,695
71.085,10
71.745,265
71.749,595
72.476,10
72.720,815
73.208,205
73.211,405
73.695,10
74.280,575
74.963,585
75.645,630
76.474,785
76.477,825
77.306,10
77.449,820
77.600,10
77.604,165
77.671,15
77.674,10
77.679,20
77.693,15
77.696,15
77.790,10
78.034,15
78.570,370
78.573,615
79.253,10
79.845,610
79.887,635
80.666,10
80.911,765
81.352,310
82.035,490
82.714,705
82.721,660
82.864,10
83.299,165
83.836,415
84.420,550
84.956,530
84.988,555
85.639,10
85.644,665
86.492,10
86.617,805
86.623,10
87.199,10
87.296,795
87.300,10
87.443,10
87.446,150
88.028,20
88.188,610
88.320,250
88.325,10
88.421,10
88.749,415
89.003,15
89.009,190
89.052,15
89.247,20
90.029,360
90.554,585
91.197,600
92.074,695
92.798,810
93.002,830
93.585,250
93.732,520
94.317,165
94.333,505
94.804,10
94.810,625
95.539,10
96.128,595
96.218,615
96.763,10
96.770,625
97.095,285
97.099,10
97.876,255
98.468,610
98.759,605
99.289,15
99.302,770
100.118,10
100.538,885
100.947,275
101.248,600
101.776,235
101.921,570
101.925,150
101.971,15
102.117,20
102.458,30
102.792,485
102.796,220
103.092,45
103.579,325
103.587,565
104.362,10
104.846,570
104.850,610
105.091,10
105.530,230
106.409,525
106.416,805
106.651,10
107.237,200
107.384,560
107.397,185
107.402,15
107.431,20
107.869,20
108.600,475
109.136,680
109.140,605
109.283,10
109.481,255
109.488,10
110.302,335
110.308,565
110.794,10
110.800,555
111.623,10
111.628,735
112.452,15
113.427,805
113.431,865
113.434,10
114.012,240
114.842,555
114.892,730
114.987,10
115.133,250
115.136,10
115.279,10
115.962,325
116.498,580
116.501,575
117.086,10
117.912,585
117.916,765
118.741,10
119.570,835
120.252,805
120.937,750
121.519,670
121.523,595
121.666,10
121.768,170
121.814,15
121.860,25
121.864,20
121.909,10
122.059,15
122.104,310
122.348,10
122.640,220
123.177,315
123.182,535
123.713,10
123.860,580
124.444,140
124.840,605
125.293,15
125.517,750
125.520,10
125.955,215
125.959,535
126.203,10
126.209,10
126.248,135
126.252,15
126.345,15
126.349,45
126.352,25
126.397,10
126.400,10
126.543,10
126.638,15
126.979,370
126.983,190
127.028,15
127.031,10
127.034,10
127.077,10
127.092,10
127.128,10
127.131,20
127.260,10
127.759,280
128.324,585
128.881,540
129.563,555
130.334,635
130.392,735
130.538,10
130.979,255
131.659,445
131.665,670
131.952,10
132.491,275
132.781,295
133.317,570
133.320,560
133.855,10
134.002,565
134.633,10
135.120,630
135.126,645
135.803,10
136.388,615
137.168,630
137.655,595
137.658,580
138.241,10
138.731,585
139.266,570
139.898,570
140.385,575
140.435,540
140.532,10
140.970,170
140.976,350
