df_hash,22ZHK4.MC7JBY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0QNP
person_label,V38
date_time_start,2025-10-27_13-06-31.896000_+03
date_time_start_unix,1761555991.896
date_time_end,2025-10-27_13-14-49.110000_+03
length_difference_noticed,no

time,quality
9.101,100
9.933,100
11.028,100
11.932,32
12.905,0
13.979,0
14.955,0
15.929,29
17.050,34
17.880,48
18.815,38
19.975,43
20.898,30
21.733,27
22.960,43
23.854,44
24.948,35
25.926,52
26.803,48
27.921,49
29.089,31
29.824,33
30.849,31
31.871,40
32.748,36
33.720,63
34.844,45
35.722,47
36.758,36
37.818,45
38.747,50
39.965,37
40.892,34
41.669,33
42.695,26
43.817,23
44.720,32
45.668,23
46.739,35
47.724,41
48.835,44
49.810,26
50.717,39
51.953,37
52.687,40
53.662,46
54.539,45
55.761,47
56.597,54
57.611,49
58.686,30
59.561,33
60.590,31
61.706,32
62.580,32
63.533,24
64.641,35
65.554,64
66.775,67
67.653,24
68.496,26
69.417,33
70.591,24
71.507,0
72.577,29
73.552,37
74.475,49
75.356,42
76.526,40
77.497,42
78.476,32
79.500,36
80.425,32
81.498,35
82.522,34
83.353,36
84.280,25
85.449,25
86.376,25
87.397,25
88.715,23
89.349,28
90.517,27
91.395,33
92.473,34
93.296,35
94.422,38
95.299,50
96.611,32
97.391,27
98.270,37
99.441,53
100.367,24
101.382,34
102.217,37
103.339,35
104.310,43
105.142,25
106.358,29
107.339,30
108.311,29
109.336,44
110.215,43
111.136,27
112.260,28
113.284,32
114.207,39
115.286,42
116.111,30
117.196,36
118.207,30
119.182,32
120.109,33
121.227,32
122.113,40
123.035,34
124.155,29
125.129,33
126.106,30
127.181,34
128.201,28
129.031,28
130.151,27
131.127,36
132.049,27
133.170,43
134.054,40
134.979,36
136.102,55
137.025,60
137.902,70
139.123,64
139.951,60
141.030,67
142.048,68
143.020,63
143.901,25
145.069,32
145.898,25
146.918,35
148.091,32
148.919,48
149.846,49
151.120,50
151.845,53
152.772,47
153.942,49
154.870,59
155.989,56
156.915,59
157.895,59
158.917,49
159.891,39
160.815,49
161.939,72
162.865,68
163.792,64
164.868,46
165.980,51
167.101,57
167.832,49
168.812,51
169.788,52
170.714,34
171.878,44
172.856,57
173.698,44
174.842,44
175.728,51
176.951,65
177.789,37
178.660,26
179.584,37
180.754,30
181.634,40
182.655,29
183.731,29
184.665,0
185.584,0
186.711,0
187.580,0
188.505,0
189.677,28
190.578,51
191.533,52
192.702,40
193.575,54
194.502,32
195.623,33
196.838,48
197.524,41
198.645,48
199.525,27
200.599,25
201.665,31
202.641,39
203.767,33
204.545,29
205.471,46
206.400,53
207.626,55
208.447,51
209.323,36
210.591,44
211.470,28
212.539,34
213.561,33
214.417,35
215.365,36
216.488,66
217.756,65
218.486,63
219.463,64
220.386,50
221.314,35
222.445,53
223.314,56
224.382,31
225.409,43
226.288,25
227.274,26
228.429,22
229.504,0
230.187,0
231.357,0
232.234,0
233.255,0
234.331,0
235.211,31
236.138,0
237.353,28
238.245,18
239.207,23
240.375,20
241.397,33
242.277,31
243.349,17
244.224,13
245.296,22
246.226,26
247.164,11
248.125,13
249.248,0
250.172,16
251.049,0
252.174,0
253.101,13
254.171,0
255.293,0
256.095,3
256.952,0
258.162,0
259.153,39
260.022,0
261.094,0
262.069,0
262.953,0
264.119,0
264.996,0
266.021,0
267.136,12
268.031,15
269.041,17
270.455,17
270.956,19
271.833,16
273.038,13
273.914,9
276.890,51
286.841,60
287.908,36
288.786,22
289.808,28
290.934,23
291.760,0
292.723,24
293.859,64
294.783,0
295.710,0
296.832,1
297.709,2
298.690,4
299.808,0
301.028,34
301.849,33
302.779,37
303.705,46
304.675,9
305.750,1
306.680,22
307.943,18
308.725,24
309.649,22
310.626,20
311.938,0
312.626,0
313.595,16
314.919,11
315.751,9
316.575,0
317.694,0
318.572,25
319.643,0
320.716,17
321.594,20
322.569,19
323.642,20
324.519,26
325.737,24
326.615,0
327.493,7
328.520,4
329.637,0
330.515,26
331.491,32
332.614,0
333.442,32
334.756,0
335.585,6
336.575,15
337.683,1
338.510,0
339.388,10
340.314,5
341.484,0
342.416,20
343.393,25
344.457,29
345.729,34
346.310,21
347.526,0
348.309,0
349.332,0
350.405,0
351.322,0
352.505,0
353.379,0
354.257,36
355.325,35
356.401,34
357.308,28
358.341,0
359.326,0
360.204,0
361.566,0
362.303,25
363.327,35
364.299,24
365.274,22
366.201,40
367.370,52
368.301,56
369.176,67
370.295,71
371.224,57
372.149,42
373.074,23
374.243,7
375.122,6
376.045,35
377.214,0
378.236,0
379.221,0
380.191,0
381.410,12
381.995,26
383.168,27
384.141,42
385.022,37
386.140,0
387.115,17
387.945,19
389.213,19
389.993,19
391.025,25
392.092,34
392.967,34
394.034,32
395.060,36
395.945,33
396.865,0
398.113,8
399.013,61
399.886,22
401.008,6
401.931,0
402.814,0
403.983,29
405.003,27
405.883,0
407.050,0
407.869,31
408.808,27
409.929,31
410.808,0
411.879,0
412.916,30
413.885,0
414.756,40
415.887,43
416.806,39
417.681,39
418.852,36
419.828,34
420.754,39
421.827,39
422.751,51
423.676,41
424.798,48
425.768,37
426.714,46
427.824,29
428.744,22
429.626,23
430.797,41
431.672,41
432.844,40
433.768,33
