df_hash,22ZHK4.MC7JBY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0QNP
person_label,V38
date_time_start,2025-10-27_13-06-31.896000_+03
date_time_start_unix,1761555991.896
date_time_end,2025-10-27_13-14-49.110000_+03
length_difference_noticed,no

time,acc_mag
5.007,1.014
5.037,1.009
5.067,1.020
5.097,1.021
5.127,1.021
5.157,1.015
5.187,1.022
5.217,1.018
5.247,1.013
5.277,1.021
5.307,1.023
5.337,1.016
5.367,1.018
5.397,1.021
5.427,1.024
5.457,1.021
5.487,1.016
5.517,1.020
5.547,1.018
5.577,1.020
5.607,1.023
5.637,1.019
5.667,1.014
5.697,1.019
5.727,1.028
5.757,1.013
5.787,1.022
5.817,1.020
5.847,1.012
5.877,1.019
5.907,1.024
5.937,1.022
5.967,1.021
5.997,1.019
6.027,1.023
6.057,1.013
6.087,1.019
6.117,1.018
6.147,1.017
6.177,1.020
6.207,1.020
6.237,1.021
6.267,1.010
6.297,1.027
6.327,1.012
6.357,1.022
6.387,1.021
6.417,1.016
6.447,1.018
6.477,1.021
6.507,1.017
6.537,1.027
6.567,1.013
6.597,1.022
6.627,1.020
6.657,1.014
6.687,1.020
6.717,1.020
6.747,1.016
6.777,1.017
6.807,1.016
6.837,1.015
6.867,1.028
6.897,1.013
6.927,1.021
6.957,1.021
6.987,1.014
7.017,1.015
7.047,1.022
7.077,1.021
7.107,1.021
7.137,1.017
7.167,1.018
7.197,1.019
7.227,1.017
7.257,1.018
7.287,1.017
7.317,1.021
7.347,1.019
7.377,1.020
7.407,1.019
7.437,1.015
7.467,1.021
7.497,1.017
7.527,1.014
7.557,1.021
7.587,1.014
7.617,1.015
7.647,1.018
7.677,1.021
7.707,1.013
7.737,1.017
7.767,1.015
7.797,1.018
7.827,1.021
7.857,1.017
7.887,1.018
7.917,1.019
7.947,1.016
7.977,1.015
8.007,1.019
8.037,1.020
8.067,1.021
8.097,1.019
8.127,1.018
8.157,1.018
8.187,1.019
8.217,1.021
8.247,1.019
8.277,1.015
8.307,1.022
8.337,1.011
8.367,1.018
8.397,1.023
8.427,1.018
8.457,1.014
8.487,1.021
8.517,1.016
8.547,1.019
8.577,1.017
8.607,1.016
8.637,1.016
8.667,1.020
8.697,1.017
8.727,1.021
8.757,1.021
8.787,1.014
8.817,1.020
8.847,1.018
8.877,1.020
8.907,1.019
8.937,1.019
8.967,1.018
8.997,1.016
9.027,1.018
9.057,1.020
9.087,1.021
9.117,1.016
9.147,1.021
9.177,1.015
9.207,1.015
9.237,1.021
9.267,1.018
9.297,1.020
9.327,1.024
9.357,1.013
9.387,1.021
9.417,1.018
9.447,1.015
9.477,1.019
9.507,1.018
9.537,1.022
9.567,1.017
9.597,1.019
9.627,1.016
9.657,1.020
9.687,1.020
9.717,1.020
9.747,1.021
9.777,1.017
9.807,1.017
9.837,1.021
9.867,1.012
9.897,1.027
9.927,1.011
9.957,1.023
9.987,1.020
10.017,1.013
10.047,1.020
10.077,1.020
10.107,1.022
10.137,1.024
10.167,1.019
10.197,1.023
10.227,1.020
10.257,1.014
10.287,1.016
10.317,1.022
10.347,1.018
10.377,1.019
10.407,1.016
10.437,1.020
10.467,1.017
10.497,1.020
10.527,1.012
10.557,1.023
10.587,1.013
10.617,1.022
10.647,1.018
10.677,1.013
10.707,1.020
10.737,1.025
10.767,1.020
10.797,1.021
10.827,1.014
10.857,1.021
10.887,1.019
10.917,1.016
10.947,1.021
10.977,1.021
11.007,1.014
11.037,1.016
11.067,1.020
11.097,1.022
11.127,1.021
11.157,1.023
11.187,1.008
11.217,1.026
11.247,1.015
11.277,1.009
11.307,1.018
11.337,1.021
11.367,1.021
11.397,1.027
11.427,1.020
11.457,1.021
11.487,1.021
11.517,1.015
11.547,1.018
11.577,1.020
11.607,1.020
11.637,1.020
11.667,1.021
11.697,1.014
11.727,1.023
11.757,1.011
11.787,1.020
11.817,1.023
11.847,1.014
11.877,1.021
11.907,1.022
11.937,1.017
11.967,1.006
11.997,1.025
12.027,1.021
12.057,1.021
12.087,1.016
12.117,1.016
12.147,1.016
12.177,1.021
12.207,1.020
12.237,1.018
12.267,1.021
12.297,1.014
12.327,1.020
12.357,1.020
12.387,1.015
12.417,1.019
12.447,1.017
12.477,1.014
12.507,1.020
12.537,1.021
12.567,1.018
12.597,1.022
12.627,1.016
12.657,1.019
12.687,1.020
12.717,1.015
12.747,1.021
12.777,1.019
12.807,1.022
12.837,1.017
12.867,1.022
12.897,1.021
12.927,1.021
12.957,1.017
12.987,1.017
13.017,1.015
13.047,1.021
13.077,1.021
13.107,1.017
13.137,1.013
13.167,1.023
13.197,1.014
13.227,1.019
13.257,1.022
13.287,1.018
13.317,1.016
13.347,1.021
13.377,1.017
13.407,1.020
13.437,1.019
13.467,1.017
13.497,1.020
13.527,1.018
13.557,1.019
13.587,1.022
13.617,1.018
13.647,1.021
13.677,1.020
13.707,1.019
13.737,1.023
13.767,1.017
13.797,1.019
13.827,1.014
13.857,1.025
13.887,1.016
13.917,1.021
13.947,1.023
13.977,1.014
14.007,1.017
14.037,1.021
14.067,1.021
14.097,1.019
14.127,1.021
14.157,1.016
14.187,1.022
14.217,1.014
14.247,1.017
14.277,1.019
14.307,1.019
14.337,1.021
14.367,1.020
