df_hash,22ZHK4.2TBHGE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HAY6
person_label,V36
date_time_start,2025-10-27_12-32-17.207000_+03
date_time_start_unix,1761553937.207
date_time_end,2025-10-27_12-39-34.139000_+03
length_difference_noticed,no

time,acc_mag
5.221,1.024
5.251,1.018
5.281,1.017
5.311,1.021
5.341,1.021
5.371,1.018
5.401,1.027
5.431,1.023
5.461,1.020
5.491,1.022
5.521,1.021
5.551,1.021
5.581,1.021
5.611,1.017
5.641,1.023
5.671,1.023
5.701,1.024
5.731,1.022
5.761,1.021
5.791,1.022
5.821,1.022
5.851,1.022
5.881,1.022
5.911,1.023
5.941,1.020
5.971,1.020
6.001,1.022
6.031,1.023
6.061,1.019
6.091,1.022
6.121,1.025
6.151,1.019
6.181,1.023
6.211,1.022
6.241,1.021
6.271,1.024
6.301,1.026
6.331,1.021
6.361,1.018
6.391,1.021
6.421,1.024
6.451,1.019
6.481,1.022
6.511,1.020
6.541,1.024
6.571,1.025
6.601,1.027
6.631,1.021
6.661,1.018
6.691,1.021
6.721,1.022
6.751,1.022
6.781,1.023
6.811,1.021
6.841,1.023
6.871,1.023
6.901,1.021
6.931,1.020
6.961,1.024
6.991,1.023
7.021,1.021
7.051,1.015
7.081,1.024
7.111,1.026
7.141,1.024
7.171,1.017
7.201,1.022
7.231,1.024
7.261,1.022
7.291,1.021
7.321,1.018
7.351,1.023
7.381,1.020
7.411,1.026
7.441,1.020
7.471,1.021
7.501,1.022
7.531,1.021
7.561,1.022
7.591,1.020
7.621,1.023
7.651,1.020
7.681,1.022
7.711,1.021
7.741,1.021
7.771,1.019
7.801,1.017
7.831,1.025
7.861,1.026
7.891,1.020
7.921,1.017
7.951,1.025
7.981,1.021
8.011,1.021
8.041,1.021
8.071,1.023
8.101,1.020
8.131,1.021
8.161,1.020
8.191,1.021
8.221,1.023
8.251,1.027
8.281,1.020
8.311,1.021
8.341,1.022
8.371,1.022
8.401,1.022
8.431,1.020
8.461,1.021
8.491,1.021
8.521,1.021
8.551,1.020
8.581,1.021
8.611,1.022
8.641,1.024
8.671,1.021
8.701,1.025
8.731,1.019
8.761,1.020
8.791,1.022
8.821,1.022
8.851,1.019
8.881,1.019
8.911,1.021
8.941,1.021
8.971,1.021
9.001,1.020
9.031,1.023
9.061,1.015
9.091,1.022
9.121,1.020
9.151,1.020
9.181,1.021
9.211,1.021
9.241,1.021
9.271,1.023
9.301,1.021
9.331,1.023
9.361,1.021
9.391,1.021
9.421,1.022
9.451,1.018
9.481,1.021
9.511,1.021
9.541,1.021
9.571,1.020
9.601,1.017
9.631,1.024
9.661,1.025
9.691,1.024
9.721,1.021
9.751,1.020
9.781,1.021
9.811,1.019
9.841,1.018
9.871,1.022
9.901,1.022
9.931,1.015
9.961,1.024
9.991,1.022
10.021,1.017
10.051,1.020
10.081,1.023
10.111,1.021
10.141,1.022
10.171,1.021
10.201,1.021
10.231,1.020
10.261,1.018
10.291,1.021
10.321,1.021
10.351,1.020
10.381,1.019
10.411,1.020
10.441,1.026
10.471,1.023
10.501,1.024
10.531,1.016
10.561,1.022
10.591,1.023
10.621,1.022
10.651,1.023
10.681,1.018
10.711,1.028
10.741,1.021
10.771,1.023
10.801,1.019
10.831,1.018
10.861,1.022
10.891,1.026
10.921,1.023
10.951,1.021
10.981,1.021
11.011,1.021
11.041,1.021
11.071,1.021
11.101,1.019
11.131,1.023
11.161,1.022
11.191,1.017
11.221,1.018
11.251,1.026
11.281,1.021
11.311,1.018
11.341,1.022
11.371,1.019
11.401,1.021
11.431,1.022
11.461,1.016
11.491,1.017
11.521,1.023
11.551,1.021
11.581,1.020
11.611,1.021
11.641,1.021
11.671,1.021
11.701,1.022
11.731,1.021
11.761,1.022
11.791,1.019
11.821,1.021
11.851,1.021
11.881,1.019
11.911,1.022
11.941,1.021
11.971,1.020
12.001,1.021
12.031,1.024
12.061,1.021
12.091,1.020
12.121,1.021
12.151,1.020
12.181,1.021
12.211,1.018
12.241,1.021
12.271,1.026
12.301,1.018
12.331,1.023
12.361,1.019
12.391,1.021
12.421,1.021
12.451,1.022
12.481,1.025
12.511,1.020
12.541,1.021
12.571,1.022
12.601,1.020
12.631,1.021
12.661,1.022
12.691,1.022
12.721,1.020
12.751,1.026
12.781,1.025
12.811,1.021
12.841,1.023
12.871,1.022
12.901,1.021
12.931,1.015
12.961,1.019
12.991,1.024
13.021,1.019
13.051,1.020
13.081,1.017
13.111,1.020
13.141,1.022
13.171,1.023
13.201,1.017
13.231,1.018
13.261,1.022
13.291,1.023
13.321,1.021
13.351,1.021
13.381,1.020
13.411,1.018
13.441,1.021
13.471,1.023
13.501,1.017
13.531,1.018
13.561,1.023
13.591,1.024
13.621,1.021
13.651,1.021
13.681,1.016
13.711,1.014
13.741,1.021
13.771,1.022
13.801,1.021
13.831,1.022
13.861,1.023
13.891,1.012
13.921,1.022
13.951,1.023
13.981,1.019
14.011,1.019
14.041,1.021
14.071,1.024
14.101,1.021
14.131,1.019
14.161,1.021
14.191,1.022
14.221,1.021
14.251,1.022
14.281,1.023
14.311,1.021
14.341,1.016
14.371,1.025
14.401,1.023
14.431,1.022
14.461,1.021
14.491,1.019
14.521,1.020
14.551,1.022
14.581,1.022
