df_hash,22ZHK4.6K1ZK0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.U0TA
person_label,v114
date_time_start,2026-03-10_16-38-29.786000_+03
date_time_start_unix,1773146309.786
date_time_end,2026-03-10_16-44-01.631000_+03
length_difference_noticed,no

time,quality
8.613,100
9.493,14
10.710,0
11.636,0
12.514,0
13.683,48
14.561,55
15.467,65
16.703,57
17.535,56
18.412,55
19.631,13
20.557,13
21.678,18
22.607,22
23.628,25
24.411,24
25.725,29
26.505,47
27.623,41
28.553,53
29.530,50
30.357,40
31.575,39
32.453,24
33.330,34
34.556,0
35.428,4
36.304,0
37.569,38
38.401,33
39.329,31
40.497,26
41.570,2
42.373,0
43.471,19
44.386,31
45.278,28
46.547,0
47.372,0
48.249,0
49.419,0
50.343,0
52.442,25
53.319,24
54.197,25
55.805,24
56.295,6
57.268,18
58.390,8
59.293,28
60.143,0
61.605,34
62.241,40
63.188,50
64.337,45
65.415,42
66.141,48
67.311,35
68.189,31
69.357,55
70.285,0
71.328,0
72.093,27
73.273,29
74.251,0
75.079,39
76.244,36
77.159,37
78.037,33
79.212,41
80.135,30
81.109,40
82.376,0
83.107,31
84.277,27
85.207,0
86.227,0
87.009,0
88.180,0
89.247,23
89.981,26
91.153,0
92.321,25
92.958,29
94.366,0
95.051,65
95.929,12
97.340,17
98.033,5
98.903,0
100.073,0
100.999,38
101.925,0
103.290,6
104.022,10
104.879,16
106.072,25
107.142,24
108.020,13
109.044,15
109.978,6
110.850,17
112.017,15
112.953,0
113.824,0
115.092,22
115.917,22
116.941,25
118.014,23
118.843,19
119.769,25
120.939,30
121.825,31
122.744,29
124.303,29
124.885,0
125.717,0
127.228,24
127.813,26
128.692,25
130.153,29
130.790,25
131.696,25
132.884,35
133.764,38
134.736,17
135.882,17
136.735,16
137.661,10
139.026,4
139.764,3
140.611,29
141.806,0
142.924,6
143.623,1
144.779,0
145.702,0
146.582,38
147.753,42
148.923,39
149.559,38
150.878,38
151.653,23
152.678,0
153.701,0
154.725,15
155.505,17
157.116,0
157.795,1
158.529,5
159.697,0
160.577,30
161.693,22
162.687,16
163.549,19
164.475,17
165.645,23
166.524,0
167.546,24
168.621,0
169.800,2
170.426,12
171.988,0
172.521,5
173.397,3
174.570,6
175.518,13
176.468,0
177.982,0
178.467,0
179.393,0
180.645,0
181.439,0
196.600,50
197.239,53
198.458,36
199.336,21
200.213,31
201.478,6
202.309,10
203.187,12
204.449,5
205.283,0
206.207,0
207.476,24
208.350,56
209.156,50
210.497,57
211.376,18
212.108,0
213.325,0
214.210,32
215.135,32
216.347,26
217.177,26
218.103,0
219.316,44
220.152,41
221.078,4
222.251,44
223.178,48
224.053,41
225.221,32
226.147,33
227.025,33
228.198,24
229.123,23
229.998,32
231.218,0
232.162,35
232.974,48
234.194,0
235.072,0
236.241,0
237.165,0
238.096,0
238.923,25
240.336,0
241.116,21
241.943,20
243.159,0
243.990,3
244.963,40
246.088,24
246.965,23
247.893,0
249.160,2
249.987,0
250.867,2
252.081,4
252.961,6
253.884,0
255.059,0
255.981,0
256.813,37
258.080,38
259.052,0
259.784,0
