df_hash,22ZHK4.6K1ZK0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.U0TA
person_label,v114
date_time_start,2026-03-10_16-38-29.786000_+03
date_time_start_unix,1773146309.786
date_time_end,2026-03-10_16-44-01.631000_+03
length_difference_noticed,no

time,battery
6.279,60
16.365,60
26.271,60
36.253,60
46.254,60
56.242,60
66.285,60
76.279,60
86.273,60
96.268,60
106.264,60
116.387,60
126.250,59
136.245,59
146.239,59
156.233,59
166.276,59
176.270,59
186.265,59
196.259,59
206.253,59
216.248,59
226.339,59
236.333,59
246.233,59
256.273,59
266.267,59
276.262,59
286.256,59
296.250,59
306.321,59
316.311,59
326.233,59
