df_hash,22ZHK4.6K1ZK0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.U0TA
person_label,v114
date_time_start,2026-03-10_16-38-29.786000_+03
date_time_start_unix,1773146309.786
date_time_end,2026-03-10_16-44-01.631000_+03
length_difference_noticed,no

time,ppg_quality
57.499,44
58.509,34
59.519,38
60.529,32
62.549,15
64.569,3
65.579,8
66.589,7
68.599,6
70.619,6
73.649,13
74.659,8
76.679,24
77.689,24
79.709,33
81.729,32
84.759,60
86.779,60
87.789,62
89.809,56
90.819,48
92.839,35
94.859,11
100.919,1
102.939,7
103.949,1
105.969,3
108.999,12
111.019,9
115.059,20
117.079,9
118.089,19
121.119,11
122.129,26
124.149,47
126.169,57
127.179,73
128.189,78
129.199,82
130.209,87
131.219,79
133.239,45
135.259,17
137.279,7
140.309,4
142.329,33
143.339,24
144.349,25
145.359,40
146.369,51
148.389,42
149.399,47
150.409,55
151.419,59
152.429,64
154.449,83
156.469,86
158.489,90
159.499,98
161.519,60
163.539,15
165.559,18
168.589,6
172.629,41
174.649,50
176.669,51
178.689,47
180.709,42
182.729,37
183.739,32
184.749,27
185.759,24
187.779,12
188.789,25
190.809,40
191.819,44
194.849,30
196.869,18
205.959,16
207.979,45
208.989,57
211.009,38
212.019,58
214.039,60
216.059,36
219.089,48
221.109,53
222.119,38
224.139,46
225.149,67
226.159,70
228.179,47
229.189,48
232.219,70
234.239,76
236.259,71
238.279,78
240.299,72
242.319,63
244.339,52
245.349,53
246.359,49
247.369,56
249.389,51
250.399,49
251.409,61
253.429,75
255.449,94
257.469,115
259.489,126
262.519,100
263.529,91
264.539,86
265.549,63
266.559,59
268.579,71
270.599,41
272.619,45
274.639,52
276.659,48
278.679,49
279.689,63
281.709,65
283.729,82
285.749,100
287.769,99
289.789,75
290.799,72
292.819,62
293.829,49
295.849,31
296.859,21
298.879,11
300.899,29
302.919,37
304.939,41
307.969,24
309.989,31
310.999,15
312.009,14
314.029,10
316.049,35
317.059,50
319.079,43
320.089,44
321.099,56
323.119,61
325.139,44
327.159,40
