df_hash,22ZHK4.6K1ZK0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.U0TA
person_label,v114
date_time_start,2026-03-10_16-38-29.786000_+03
date_time_start_unix,1773146309.786
date_time_end,2026-03-10_16-44-01.631000_+03
length_difference_noticed,no

time,acc_mag
4.404,1.006
4.434,0.998
4.464,1.004
4.494,1.010
4.524,1.001
4.554,0.999
4.584,1.001
4.614,0.994
4.644,1.000
4.674,1.008
4.704,1.005
4.734,1.006
4.764,0.994
4.794,1.006
4.824,1.004
4.854,1.002
4.884,1.001
4.914,1.002
4.944,1.006
4.974,1.001
5.004,0.999
5.034,1.001
5.064,1.001
5.094,1.002
5.124,0.999
5.154,1.001
5.184,1.006
5.214,1.003
5.244,1.005
5.274,1.009
5.304,1.002
5.334,1.001
5.364,1.003
5.394,0.998
5.424,1.005
5.454,1.002
5.484,1.004
5.514,1.001
5.544,1.010
5.574,0.999
5.604,0.998
5.634,1.006
5.664,1.003
5.694,1.002
5.724,0.994
5.754,0.999
5.784,1.008
5.814,1.006
5.844,1.004
5.874,1.000
5.904,1.003
5.934,1.003
5.964,1.008
5.994,1.004
6.024,1.004
6.054,1.004
6.084,1.000
6.114,1.005
6.144,1.004
6.174,1.006
6.204,1.004
6.234,1.004
6.264,1.004
6.294,0.995
6.324,0.994
6.354,1.003
6.384,1.002
6.414,1.007
6.444,1.006
6.474,1.005
6.504,1.008
6.534,0.996
6.564,1.001
6.594,0.999
6.624,1.002
6.654,1.009
6.684,1.008
6.714,1.002
6.744,1.000
6.774,0.999
6.804,1.005
6.834,1.003
6.864,1.000
6.894,1.000
6.924,1.004
6.954,1.002
6.984,1.003
7.014,1.000
7.044,1.003
7.074,1.001
7.104,1.007
7.134,1.000
7.164,1.001
7.194,1.008
7.224,1.003
7.254,1.001
7.284,1.005
7.314,1.007
7.344,0.999
7.374,1.001
7.404,1.000
7.434,1.002
7.464,1.003
7.494,1.005
7.524,1.002
7.554,1.006
7.584,0.998
7.614,0.997
7.644,1.000
7.674,1.001
7.704,1.004
7.734,1.007
7.764,1.004
7.794,1.002
7.824,1.009
7.854,1.002
7.884,1.002
7.914,1.002
7.944,1.005
7.974,1.005
8.004,1.000
8.034,1.001
8.064,1.002
8.094,1.003
8.124,1.004
8.154,1.001
8.184,1.001
8.214,1.002
8.244,1.001
8.274,0.998
8.304,1.001
8.334,0.999
8.364,1.009
8.394,1.001
8.424,1.001
8.454,1.005
8.484,1.002
8.514,1.010
8.544,1.007
8.574,1.002
8.604,1.005
8.634,1.000
8.664,1.006
8.694,1.000
8.724,0.998
8.754,1.002
8.784,1.006
8.814,1.006
8.844,1.001
8.874,1.002
8.904,1.002
8.934,1.005
8.964,1.002
8.994,1.004
9.024,1.001
9.054,1.004
9.084,1.003
9.114,0.999
9.144,1.003
9.174,1.001
9.204,1.007
9.234,1.009
9.264,1.002
9.294,0.999
9.324,1.002
9.354,1.001
9.384,1.005
9.414,1.005
9.444,1.003
9.474,0.998
9.504,1.002
9.534,1.005
9.564,1.006
9.594,1.000
9.624,1.003
9.654,1.002
9.684,0.996
9.714,0.997
9.744,1.006
9.774,1.007
9.804,0.998
9.834,0.999
9.864,1.004
9.894,1.008
9.924,1.007
9.954,1.005
9.984,1.007
10.014,1.008
10.044,0.997
10.074,1.000
10.104,1.001
10.134,0.996
10.164,1.005
10.194,1.005
10.224,1.006
10.254,0.996
10.284,1.005
10.314,0.999
10.344,1.000
10.374,1.004
10.404,1.008
10.434,1.012
10.464,1.002
10.494,0.995
10.524,0.994
10.554,1.004
10.584,1.007
10.614,1.000
10.644,1.003
10.674,1.003
10.704,1.007
10.734,1.003
10.764,0.994
10.794,0.998
10.824,1.002
10.854,0.999
10.884,1.002
10.914,1.007
10.944,1.003
10.974,0.996
11.004,1.007
11.034,1.004
11.064,1.002
11.094,1.000
11.124,1.003
11.154,1.004
11.184,1.003
11.214,0.999
11.244,0.999
11.274,1.003
11.304,1.005
11.334,1.004
11.364,0.998
11.394,1.001
11.424,1.005
11.454,1.006
11.484,1.001
11.514,1.007
11.544,1.008
11.574,1.010
11.604,0.999
11.634,0.997
11.664,1.008
11.694,1.007
11.724,1.000
11.754,1.006
11.784,1.000
11.814,1.010
11.844,1.002
11.874,1.000
11.904,1.000
11.934,1.009
11.964,1.006
11.994,1.006
12.024,0.999
12.054,0.999
12.084,1.003
12.114,1.003
12.144,1.004
12.174,1.001
12.204,1.002
12.234,0.999
12.264,1.004
12.294,1.011
12.324,1.007
12.354,0.996
12.384,0.999
12.414,1.007
12.444,0.998
12.474,1.002
12.504,1.009
12.534,1.003
12.564,1.004
12.594,0.998
12.624,0.997
12.654,1.004
12.684,1.003
12.714,1.002
12.744,1.002
12.774,1.003
12.804,1.000
12.834,1.000
12.864,1.006
12.894,1.007
12.924,1.001
12.954,1.002
12.984,1.000
13.014,1.003
13.044,1.007
13.074,1.000
13.104,1.001
13.134,1.001
13.164,1.000
13.194,1.002
13.224,0.997
13.254,0.999
13.284,1.003
13.314,1.005
13.344,1.007
13.374,1.002
13.404,1.000
13.434,1.002
13.464,1.003
13.494,0.999
13.524,1.004
13.554,1.004
13.584,1.002
13.614,1.005
13.644,1.005
13.674,0.998
13.704,0.996
13.734,1.000
13.764,1.005
