df_hash,22ZHK4.6K1ZK0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.U0TA
person_label,v114
date_time_start,2026-03-10_16-38-29.786000_+03
date_time_start_unix,1773146309.786
date_time_end,2026-03-10_16-44-01.631000_+03
length_difference_noticed,no

time,rr_int
11.243,6630
11.954,10
12.754,730
13.537,805
13.589,730
14.168,10
14.997,715
15.680,775
16.514,710
17.093,705
17.922,725
18.604,805
18.608,685
18.794,10
19.141,190
19.436,305
20.408,395
20.415,945
20.506,10
20.750,10
21.387,290
22.212,675
23.772,830
24.308,1580
24.454,695
24.460,10
25.430,870
26.259,10
26.857,880
27.636,625
27.675,785
28.509,10
28.891,840
28.894,355
29.330,10
30.160,445
30.455,920
30.843,215
31.965,415
32.356,1085
32.940,495
34.304,550
35.278,1405
35.286,1005
35.435,15
35.571,200
37.386,625
38.349,1165
38.642,985
38.886,285
39.861,290
41.135,985
41.320,1225
41.810,255
42.301,565
42.786,330
43.224,580
44.200,395
44.492,960
44.495,300
44.641,10
46.004,10
47.297,1580
48.100,1270
48.930,750
49.611,930
50.148,655
51.123,555
52.149,1010
52.536,890
52.833,420
53.511,380
54.779,625
55.169,1335
56.151,455
56.299,830
56.388,280
57.122,10
57.558,800
57.802,415
58.825,245
58.828,1040
59.752,10
60.727,975
61.612,915
61.849,905
63.115,265
63.945,1245
64.773,850
65.065,755
65.069,325
65.358,10
65.361,10
65.407,170
65.409,10
65.455,15
65.458,10
65.536,230
67.260,1015
67.552,785
67.991,255
69.407,470
71.025,1385
71.161,1610
71.168,15
71.211,195
71.214,10
71.217,10
71.339,20
71.355,20
71.358,15
71.458,15
71.653,15
73.019,315
73.258,1615
73.267,10
74.963,875
74.967,850
74.972,10
75.089,10
75.096,105
75.352,10
75.360,275
75.401,10
75.646,10
76.332,255
77.449,755
79.107,1020
79.545,1740
80.228,465
81.349,595
82.031,1235
82.036,600
83.836,10
85.639,1830
86.761,1890
87.882,1055
88.423,1125
89.252,530
90.222,810
90.514,1040
91.344,265
92.465,795
92.757,1150
93.906,290
93.976,1110
95.243,170
95.638,1305
95.974,340
95.978,265
96.218,10
97.876,325
97.879,1650
97.926,10
98.997,10
99.680,1115
101.240,785
101.489,1470
102.751,260
102.754,1235
102.757,10
102.898,140
105.238,1310
105.530,1055
106.944,355
108.035,1435
109.479,1090
109.483,1385
109.577,15
109.587,10
109.590,10
109.677,10
109.681,10
109.684,15
109.861,10
109.918,305
110.405,10
111.088,580
111.095,645
112.453,10
113.184,1380
114.013,700
114.723,865
115.281,735
116.310,535
116.648,1055
116.792,425
116.948,10
117.084,15
117.182,520
118.019,725
118.061,10
118.303,285
118.603,300
119.132,10
119.863,605
120.554,695
121.378,680
121.424,895
122.203,10
122.207,745
122.351,10
122.360,220
122.363,15
122.496,10
122.499,75
123.181,580
124.982,1265
125.812,710
125.958,745
126.104,365
127.371,300
127.762,990
128.590,395
128.737,735
129.711,200
129.718,930
129.857,10
130.297,15
131.223,650
131.954,750
132.198,830
133.617,365
135.029,1260
135.854,1555
136.683,830
137.073,835
138.340,340
139.170,1345
139.609,760
139.998,455
140.002,385
141.951,85
142.929,1830
143.752,1025
144.337,850
144.727,570
145.710,475
147.214,960
147.945,1455
149.456,720
150.142,1620
150.724,640
150.727,615
152.385,10
152.966,1575
154.039,660
154.821,1055
155.014,730
156.136,255
157.121,1110
157.308,1060
157.407,10
158.383,255
158.643,980
159.061,240
159.255,425
159.353,175
159.890,140
160.328,475
160.479,645
161.698,525
162.695,695
163.497,1005
164.621,870
164.911,1290
166.178,440
167.154,940
167.405,975
167.450,200
167.836,35
168.909,380
170.202,1105
170.859,1355
172.321,615
172.565,1465
173.101,280
173.107,505
173.151,10
173.540,15
173.543,355
173.547,10
173.638,150
175.344,935
175.880,820
176.855,555
177.147,1000
179.244,235
179.634,2065
179.637,485
180.511,10
180.517,795
180.562,10
180.573,30
180.580,10
180.609,10
180.658,10
180.663,15
180.669,10
180.672,15
180.904,20
180.907,15
181.048,25
182.462,380
182.559,1370
182.563,235
183.534,15
183.538,960
183.681,10
183.827,240
184.802,760
185.338,210
185.875,615
186.167,715
187.827,575
188.801,1000
188.948,1210
190.067,10
190.071,1180
190.167,10
190.176,10
190.242,65
190.359,240
191.725,630
191.728,750
192.017,10
192.029,270
192.310,10
192.554,190
193.383,410
193.529,765
193.675,205
194.113,45
194.406,480
194.503,315
194.942,20
194.948,430
195.771,10
196.642,825
196.652,840
197.283,10
198.163,790
198.550,790
199.527,430
200.939,915
202.450,1470
202.456,1480
202.619,15
202.892,185
203.133,25
203.972,465
204.015,860
204.026,10
204.029,75
204.108,15
204.113,20
204.254,115
204.260,15
204.351,10
204.356,10
204.549,25
205.381,325
205.765,790
206.061,435
206.741,310
207.034,750
207.046,195
207.049,15
207.084,15
207.569,20
208.155,465
208.983,695
209.666,730
209.812,735
210.114,370
211.908,750
212.591,1090
212.599,735
213.051,10
214.395,460
214.833,1310
214.931,515
215.077,160
218.002,1340
218.005,1630
218.446,10
219.563,495
219.567,1125
219.660,10
219.663,10
219.708,25
219.712,25
219.806,10
219.810,10
219.813,10
220.245,55
220.781,450
221.536,635
222.877,700
223.560,1320
223.853,735
224.145,295
225.510,300
225.656,1445
225.659,10
225.949,290
