df_hash,22ZHK4.D641S7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.TFPA
person_label,v106
date_time_start,2026-03-02_13-35-48.770000_+03
date_time_start_unix,1772444148.77
date_time_end,2026-03-02_13-44-33.021000_+03
length_difference_noticed,no

time,quality
17.358,53
18.287,53
19.117,12
20.286,9
21.164,6
22.144,6
23.310,0
24.187,32
25.064,44
26.238,41
27.160,47
28.195,43
29.211,46
30.377,64
31.012,84
32.231,85
33.109,84
33.986,83
35.252,82
36.373,85
36.961,87
38.177,87
39.055,85
39.981,84
41.151,87
42.223,85
43.006,70
44.129,34
45.005,25
46.121,0
47.342,35
47.978,28
48.904,60
50.121,65
51.264,68
51.877,78
53.097,78
54.264,76
54.850,74
56.068,67
56.946,66
57.823,63
59.042,59
59.924,55
60.797,63
62.019,55
62.897,68
63.772,60
64.990,55
65.868,70
66.842,83
68.058,80
68.841,70
69.862,65
71.278,71
71.865,74
72.741,75
74.204,70
74.837,71
75.715,83
76.887,79
77.813,77
78.689,77
79.909,81
80.786,83
81.856,82
82.880,85
83.758,86
84.638,79
85.860,79
86.770,80
87.611,76
88.829,77
89.901,68
90.683,71
91.850,76
92.694,72
93.654,64
94.934,39
95.653,51
96.579,53
97.896,42
98.627,60
99.845,79
100.915,74
101.747,63
102.527,51
103.697,34
104.623,55
105.501,40
106.720,35
107.596,41
108.521,46
109.887,37
110.573,48
111.455,46
112.667,41
113.788,72
114.422,81
115.682,82
116.567,84
117.397,85
118.616,85
119.493,86
120.418,88
121.589,92
122.711,93
123.391,92
124.656,84
125.440,80
126.366,79
127.535,75
128.558,75
129.631,73
130.509,74
131.436,75
132.315,76
133.488,76
134.460,74
135.289,80
136.507,82
137.383,77
138.455,62
139.479,55
140.360,69
141.235,76
142.456,74
143.330,81
144.258,87
145.426,85
146.304,87
147.422,86
148.400,87
149.279,84
150.206,83
151.400,82
152.494,83
153.474,82
154.349,84
155.370,85
156.151,87
157.325,87
158.247,90
159.125,86
160.295,86
161.221,84
162.098,81
163.317,75
164.195,76
165.072,81
166.388,85
167.218,85
168.046,82
169.314,76
170.388,76
171.020,81
172.332,85
173.119,86
174.047,84
175.212,74
176.184,71
177.016,80
178.235,73
179.161,70
180.036,65
181.552,73
182.232,80
183.012,76
184.179,63
185.062,65
186.289,70
187.153,66
188.033,72
188.961,78
190.276,78
191.059,80
191.982,77
193.493,70
194.078,63
195.056,69
196.079,69
197.249,50
197.881,55
199.499,62
200.273,67
200.900,66
202.070,56
202.997,38
203.828,51
205.048,50
205.974,38
206.802,64
208.022,79
209.095,79
209.874,82
211.287,80
212.021,84
212.795,84
213.968,83
214.846,83
215.723,80
216.942,80
217.926,83
218.698,84
219.915,88
220.793,90
221.670,88
222.889,86
223.767,82
224.790,78
225.864,75
226.837,76
227.667,79
228.887,84
229.857,81
230.640,81
231.859,87
232.880,86
233.760,83
234.808,81
235.714,73
236.600,74
237.758,80
238.684,80
239.857,85
240.780,83
241.657,74
242.585,57
243.800,35
244.681,25
245.510,0
246.874,28
247.846,28
248.528,37
249.798,36
250.579,15
251.456,0
252.677,0
253.853,0
254.481,0
255.649,0
256.526,1
257.452,0
258.672,20
259.502,0
260.472,0
261.597,53
262.524,63
263.400,76
264.860,78
265.502,79
266.375,75
267.736,72
268.471,69
269.348,70
270.570,44
271.444,39
272.616,26
273.540,19
274.538,2
275.296,2
276.514,41
277.589,48
278.269,41
279.679,32
280.369,0
281.245,0
282.463,8
283.339,11
284.216,43
285.435,34
286.312,29
287.333,30
288.410,30
289.389,31
290.224,31
291.382,27
292.357,0
293.186,10
294.356,12
295.377,9
296.160,10
297.330,5
298.259,47
299.138,63
300.306,62
301.232,48
302.110,54
303.330,66
304.205,67
305.130,62
306.300,60
307.323,84
308.054,82
309.565,81
310.152,81
311.028,79
312.248,60
313.125,50
314.051,48
315.221,45
316.098,33
317.025,27
318.196,22
319.073,34
320.239,37
321.363,46
322.143,71
323.218,67
324.580,56
325.069,28
325.950,25
327.505,0
328.042,0
328.970,29
330.138,41
331.016,60
331.945,65
333.122,57
333.990,54
335.160,44
336.086,39
336.963,48
337.935,52
339.060,53
339.988,56
341.155,65
342.035,75
342.960,75
343.884,78
345.153,77
346.274,67
346.813,67
348.032,73
348.959,69
349.785,67
351.055,65
352.121,37
352.808,34
354.366,56
355.049,39
355.881,45
357.143,30
357.830,31
358.755,39
359.932,53
360.896,51
361.871,63
362.944,69
363.824,86
364.701,85
366.015,80
366.892,77
367.678,77
368.894,81
369.821,84
370.649,82
371.869,72
372.843,71
373.767,74
374.941,80
375.743,84
376.742,81
377.912,77
378.885,69
379.670,67
380.815,76
381.858,79
382.638,84
383.862,84
384.640,77
385.566,74
386.740,70
387.806,77
388.546,71
389.740,65
390.682,56
391.591,56
392.782,61
393.805,63
394.514,69
395.709,70
396.586,58
397.464,60
398.826,50
399.632,58
400.438,55
401.848,65
402.571,76
403.458,77
404.628,84
405.797,81
406.477,76
407.602,55
408.527,33
409.407,0
410.816,2
411.453,12
412.671,14
413.549,0
414.572,42
415.404,50
416.525,59
417.697,69
418.370,68
419.497,18
420.666,0
421.303,0
422.529,0
423.640,0
424.275,0
425.529,0
426.374,0
427.249,0
428.469,0
429.390,22
430.316,0
431.537,0
432.318,30
