df_hash,22ZHK4.D641S7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.TFPA
person_label,v106
date_time_start,2026-03-02_13-35-48.770000_+03
date_time_start_unix,1772444148.77
date_time_end,2026-03-02_13-44-33.021000_+03
length_difference_noticed,no

time,acc_mag
5.036,0.992
5.066,0.993
5.096,0.987
5.126,0.995
5.156,0.994
5.186,0.991
5.216,0.986
5.246,0.989
5.276,0.990
5.306,0.990
5.336,0.989
5.366,0.996
5.396,0.988
5.426,0.997
5.456,0.992
5.486,0.988
5.516,0.986
5.546,0.991
5.576,0.993
5.606,0.992
5.636,0.989
5.666,0.991
5.696,0.991
5.726,0.993
5.756,0.992
5.786,0.992
5.816,0.988
5.846,0.993
5.876,0.990
5.906,0.990
5.936,0.991
5.966,0.982
5.996,0.991
6.026,0.998
6.056,0.990
6.086,0.988
6.116,0.992
6.146,0.993
6.176,0.988
6.206,0.993
6.236,0.994
6.266,0.989
6.296,0.995
6.326,0.988
6.356,0.989
6.386,0.989
6.416,0.991
6.446,0.990
6.476,0.993
6.506,0.989
6.536,0.990
6.566,0.987
6.596,0.996
6.626,0.990
6.656,0.995
6.686,0.991
6.716,0.990
6.746,0.991
6.776,0.992
6.806,0.991
6.836,0.995
6.866,0.989
6.896,0.991
6.926,0.995
6.956,0.990
6.986,0.991
7.016,0.991
7.046,0.988
7.076,0.999
7.106,0.993
7.136,0.989
7.166,0.987
7.196,0.992
7.226,0.989
7.256,0.990
7.286,0.994
7.316,0.997
7.346,0.988
7.376,0.993
7.406,0.990
7.436,0.991
7.466,0.993
7.496,0.990
7.526,0.993
7.556,0.994
7.586,0.995
7.616,0.992
7.646,0.993
7.676,0.994
7.706,0.992
7.736,0.991
7.766,0.988
7.796,0.991
7.826,0.993
7.856,0.991
7.886,0.991
7.916,0.990
7.946,0.992
7.976,0.993
8.006,0.991
8.036,0.987
8.066,0.997
8.096,0.987
8.126,0.990
8.156,0.995
8.186,0.988
8.216,0.989
8.246,0.991
8.276,0.993
8.306,0.990
8.336,0.995
8.366,0.998
8.396,0.990
8.426,0.995
8.456,0.991
8.486,0.991
8.516,0.992
8.546,0.995
8.576,0.993
8.606,0.988
8.636,0.993
8.666,0.991
8.696,0.992
8.726,0.994
8.756,0.993
8.786,0.991
8.816,0.990
8.846,0.992
8.876,0.994
8.906,0.994
8.936,0.991
8.966,0.989
8.996,0.992
9.026,0.993
9.056,0.994
9.086,0.996
9.116,0.986
9.146,0.992
9.176,0.999
9.206,0.993
9.236,0.988
9.266,0.993
9.296,0.991
9.326,0.992
9.356,0.995
9.386,0.997
9.416,0.991
9.446,0.998
9.476,0.992
9.506,0.987
9.536,0.990
9.566,0.991
9.596,0.989
9.626,0.993
9.656,0.992
9.686,0.991
9.716,0.991
9.746,0.991
9.776,0.991
9.806,0.991
9.836,0.993
9.866,0.992
9.896,0.990
9.926,0.991
9.956,0.990
9.986,0.994
10.016,0.993
10.046,0.984
10.076,0.993
10.106,1.002
10.136,0.988
10.166,0.992
10.196,0.991
10.226,0.992
10.256,0.993
10.286,0.991
10.316,0.996
10.346,0.993
10.376,0.993
10.406,0.990
10.436,0.993
10.466,0.994
10.496,0.988
10.526,0.995
10.556,0.993
10.586,0.991
10.616,0.990
10.646,0.991
10.676,0.993
10.706,0.991
10.736,0.990
10.766,0.993
10.796,0.991
10.826,0.993
10.856,0.990
10.886,0.996
10.916,0.987
10.946,0.989
10.976,1.000
11.006,0.994
11.036,0.991
11.066,0.989
11.096,0.992
11.126,0.993
11.156,0.990
11.186,0.997
11.216,0.996
11.246,0.994
11.276,0.990
11.306,0.995
11.336,0.988
11.366,0.994
11.396,1.002
11.426,1.003
11.456,1.003
11.486,0.999
11.516,0.988
11.546,0.987
11.576,0.981
11.606,0.985
11.636,0.982
11.666,0.984
11.696,0.982
11.726,0.985
11.756,0.988
11.786,0.994
11.816,0.991
11.846,0.992
11.876,0.991
11.906,0.987
11.936,0.994
11.966,0.993
11.996,0.991
12.026,0.987
12.056,0.989
12.086,0.995
12.116,0.988
12.146,0.986
12.176,0.993
12.206,0.991
12.236,0.995
12.266,0.989
12.296,0.989
12.326,0.991
12.356,0.990
12.386,0.991
12.416,0.994
12.446,0.987
12.476,0.993
12.506,0.991
12.536,0.985
12.566,0.991
12.596,0.991
12.626,0.990
12.656,0.991
12.686,0.989
12.716,0.991
12.746,0.988
12.776,0.993
12.806,0.988
12.836,0.987
12.866,0.992
12.896,0.990
12.926,0.989
12.956,0.995
12.986,0.989
13.016,0.990
13.046,0.991
13.076,0.988
13.106,0.984
13.136,0.991
13.166,0.992
13.196,0.992
13.226,0.988
13.256,0.990
13.286,0.992
13.316,0.991
13.346,0.989
13.376,0.993
13.406,0.994
13.436,0.991
13.466,0.988
13.496,0.989
13.526,0.988
13.556,0.971
13.586,0.982
13.616,1.000
13.646,0.986
13.676,0.995
13.706,1.012
13.736,1.002
13.766,0.990
13.796,0.978
13.826,0.992
13.856,0.996
13.886,0.990
13.916,0.988
13.946,0.994
13.976,0.983
14.006,0.986
14.036,0.988
14.066,0.984
14.096,0.986
14.126,0.990
14.156,0.982
14.186,0.993
14.216,0.994
14.246,1.004
14.276,1.007
14.306,1.002
14.336,0.992
14.366,0.999
14.396,0.989
14.426,0.977
