df_hash,22ZHK4.D641S7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.TFPA
person_label,v106
date_time_start,2026-03-02_13-35-48.770000_+03
date_time_start_unix,1772444148.77
date_time_end,2026-03-02_13-44-33.021000_+03
length_difference_noticed,no

time,ppg_med
6.006,631
6.031,725
6.056,874
6.081,955
6.106,924
6.131,891
6.156,978
6.181,1136
6.206,1196
6.231,1099
6.256,995
6.281,1050
6.306,1196
6.331,1205
6.356,996
6.381,775
6.406,762
6.431,871
6.456,792
6.481,420
6.506,30
6.531,-80
6.556,-30
6.581,-227
6.606,-806
6.631,-1403
6.656,-1630
6.681,-1639
6.706,-1961
6.731,-2769
6.756,-3586
6.781,-3910
6.806,-3942
6.831,-4357
6.856,-5374
6.881,-6382
6.906,-6741
6.931,-6704
6.956,-7129
6.981,-8289
7.006,-9408
7.031,-9680
7.056,-9425
7.081,-9721
7.106,-10907
7.131,-12009
7.156,-12020
7.181,-11341
7.206,-11320
7.231,-12378
7.256,-13301
7.281,-12836
7.306,-11482
7.331,-10924
7.356,-11689
7.381,-12267
7.406,-11092
7.431,-8791
7.456,-7474
7.481,-7808
7.506,-7905
7.531,-5800
7.556,-2279
7.581,-9
7.606,151
7.631,585
7.656,3803
7.681,8809
7.706,12172
7.731,12751
7.756,13622
7.781,18085
7.806,24864
7.831,29394
7.856,30078
7.881,31041
7.906,32767
7.931,32767
7.956,32767
7.981,32767
8.006,32767
8.031,32767
8.056,32767
8.081,32767
8.106,32767
8.131,32767
8.156,32767
8.181,32767
8.206,32767
8.231,32767
8.256,16801
8.281,-32768
8.306,-32768
8.331,-32768
8.356,-32768
8.381,-32768
8.406,-32768
8.431,-32768
8.456,-32768
8.481,-32768
8.506,-32768
8.531,-32768
8.556,-32768
8.581,-32768
8.606,-32768
8.631,-32609
8.656,-29937
8.681,-29805
8.706,-26940
8.731,-20505
8.756,-14635
8.781,-12498
8.806,-12295
8.831,-10153
8.856,-5401
8.881,-1112
8.906,301
8.931,192
8.956,1535
8.981,4867
9.006,7807
9.031,8467
9.056,7903
9.081,8471
9.106,10610
9.131,12442
9.156,12461
9.181,11501
9.206,11443
9.231,12647
9.256,13618
9.281,13156
9.306,11928
9.331,11442
9.356,11990
9.381,12374
9.406,11628
9.431,10289
9.456,9566
9.481,9697
9.506,9724
9.531,8873
9.556,7567
9.581,6770
9.606,6681
9.631,6557
9.656,5795
9.681,4730
9.706,4104
9.731,4039
9.756,3930
9.781,3303
9.806,2437
9.831,1930
9.856,1882
9.881,1818
9.906,1364
9.931,731
9.956,382
9.981,396
10.006,406
10.031,125
10.056,-286
10.081,-484
10.106,-412
10.131,-350
10.156,-510
10.181,-770
10.206,-866
10.231,-757
10.256,-651
10.281,-711
10.306,-846
10.331,-866
10.356,-741
10.381,-625
10.406,-636
10.431,-706
10.456,-693
10.481,-575
10.506,-467
10.531,-455
10.556,-489
10.581,-463
10.606,-362
10.631,-273
10.656,-261
10.681,-277
10.706,-226
10.731,-85
10.756,65
10.781,152
10.806,189
10.831,224
10.856,237
10.881,254
10.906,279
10.931,306
10.956,326
10.981,339
11.006,350
11.031,365
11.056,383
11.081,400
11.106,407
11.131,400
11.156,383
11.181,362
11.206,347
11.231,343
11.256,344
11.281,343
11.306,334
11.331,317
11.356,296
11.381,277
11.406,261
11.431,247
11.456,230
11.481,213
11.506,198
11.531,186
11.556,178
11.581,169
11.606,158
11.631,141
11.656,118
11.681,89
11.706,64
11.731,52
11.756,62
11.781,93
11.806,135
11.831,174
11.856,202
11.881,219
11.906,234
11.931,251
11.956,269
11.981,283
12.006,288
12.031,289
12.056,292
12.081,301
12.106,314
12.131,327
12.156,336
12.181,339
12.206,339
12.231,336
12.256,332
12.281,325
12.306,314
12.331,301
12.356,285
12.381,267
12.406,250
12.431,235
12.456,219
12.481,200
12.506,176
12.531,149
12.556,123
12.581,102
12.606,88
12.631,82
12.656,86
12.681,105
12.706,140
12.731,185
12.756,231
12.781,268
12.806,292
12.831,305
12.856,313
12.881,319
12.906,322
12.931,322
12.956,320
12.981,316
13.006,314
13.031,317
13.056,323
13.081,329
13.106,333
13.131,332
13.156,326
13.181,317
13.206,306
13.231,292
13.256,276
13.281,259
13.306,243
13.331,227
13.356,210
13.381,192
13.406,173
13.431,155
13.456,136
13.481,113
13.506,91
13.531,79
13.556,90
13.581,125
13.606,173
13.631,215
13.656,244
13.681,261
13.706,279
13.731,302
13.756,327
13.781,346
13.806,356
13.831,360
13.856,364
13.881,368
13.906,371
13.931,371
13.956,367
13.981,362
14.006,352
14.031,334
14.056,311
14.081,290
14.106,278
14.131,273
14.156,267
14.181,254
14.206,236
14.231,219
14.256,206
14.281,193
14.306,177
14.331,156
14.356,134
14.381,114
14.406,91
14.431,61
14.456,30
14.481,10
14.506,13
14.531,38
14.556,74
14.581,110
14.606,142
14.631,175
14.656,211
14.681,247
14.706,278
14.731,303
14.756,322
14.781,339
14.806,354
14.831,367
14.856,379
14.881,391
14.906,405
14.931,415
14.956,418
14.981,414
15.006,408
15.031,402
15.056,397
15.081,389
15.106,379
15.131,366
15.156,351
15.181,333
15.206,313
15.231,294
15.256,278
15.281,264
15.306,247
15.331,225
15.356,200
15.381,175
15.406,151
15.431,123
15.456,92
15.481,63
