df_hash,22ZHK4.WCZFFA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XKHD
person_label,V44
date_time_start,2025-10-27_14-47-56.312000_+03
date_time_start_unix,1761562076.312
date_time_end,2025-10-27_14-56-44.155000_+03
length_difference_noticed,no

time,quality
8.987,100
9.865,100
11.086,100
12.152,0
12.838,0
14.008,0
14.934,58
16.053,80
16.984,78
17.908,83
19.078,80
20.002,85
20.931,95
22.052,85
23.124,86
24.196,87
24.779,89
25.952,93
26.830,85
27.707,84
29.028,89
30.105,91
30.824,94
31.899,89
32.778,89
33.655,88
34.874,88
35.751,86
36.629,87
37.897,78
38.775,78
39.603,62
41.210,56
41.699,55
42.723,60
43.847,58
44.673,60
45.599,70
46.768,82
47.652,82
48.572,78
49.749,81
50.763,91
51.592,82
52.718,82
53.597,86
54.519,81
55.884,86
56.567,86
57.494,88
58.664,90
59.684,84
60.467,89
61.683,87
62.515,89
63.441,90
64.656,77
65.490,80
66.415,79
67.677,82
68.462,88
69.430,88
70.560,84
71.487,87
72.374,90
73.773,90
74.459,91
75.336,92
76.601,86
77.481,87
78.311,88
79.526,85
80.457,87
81.335,91
82.456,83
83.408,82
84.258,85
85.477,86
86.354,92
87.232,89
88.789,90
89.328,92
90.500,88
91.473,85
92.304,88
93.180,82
94.641,81
95.324,86
96.252,79
97.374,78
98.249,82
99.177,90
100.347,93
101.319,89
102.151,88
103.321,91
104.198,89
105.124,90
106.295,88
107.413,90
108.096,80
109.363,76
110.339,74
111.123,75
112.242,76
113.415,73
114.044,87
115.515,82
116.092,82
117.022,88
118.189,94
119.114,90
120.287,91
121.161,95
122.088,89
122.965,86
124.184,86
125.061,88
126.285,92
127.352,96
128.133,91
128.914,91
130.083,92
131.009,93
132.325,92
133.105,92
134.008,91
135.103,90
136.176,90
136.956,90
137.883,87
139.052,85
140.225,86
140.856,88
142.027,89
142.905,84
143.830,85
145.001,88
146.267,80
146.788,59
147.986,43
148.851,37
149.823,35
151.237,37
151.825,42
153.092,49
153.922,66
155.094,84
155.677,87
156.897,86
157.876,89
158.699,95
159.915,95
161.038,88
161.770,84
162.843,89
163.792,88
164.646,88
165.817,88
166.788,87
167.620,85
168.888,88
169.716,93
170.644,90
171.816,88
172.785,86
173.598,85
174.784,80
175.664,87
176.662,79
177.712,72
178.736,71
179.658,70
180.787,75
181.661,73
182.489,83
183.711,84
184.652,88
185.509,87
186.634,86
187.585,83
188.534,80
189.607,89
190.534,89
191.413,83
192.608,84
193.514,86
194.530,89
195.652,92
196.631,92
197.455,89
198.769,81
199.503,77
200.334,80
201.745,83
202.428,79
203.600,78
204.525,75
205.402,78
206.624,76
207.499,73
208.427,77
209.255,85
210.521,90
211.425,88
212.322,90
213.446,89
214.323,90
215.343,91
216.469,90
217.301,90
218.224,92
219.447,92
220.271,91
221.197,87
222.413,87
223.291,88
224.265,76
225.633,68
226.219,54
227.242,58
228.558,59
229.237,56
230.119,61
231.289,91
232.312,88
233.144,86
234.457,89
235.237,91
236.407,89
237.238,27
238.257,22
239.283,0
240.258,0
241.137,0
242.310,0
243.232,0
244.112,35
245.086,24
246.206,0
247.327,0
247.961,0
249.182,26
250.082,0
251.061,0
252.153,0
253.130,0
254.101,36
255.374,63
256.103,59
256.980,71
258.101,74
259.271,75
259.905,73
261.075,68
262.046,23
263.073,0
264.194,2
264.935,6
265.852,1
267.027,0
268.148,26
268.872,37
270.096,41
271.166,43
271.799,47
273.015,63
274.188,75
274.840,83
276.024,90
276.870,87
277.799,71
278.921,33
279.895,32
280.766,31
281.891,19
282.865,31
283.741,0
284.963,0
285.837,0
286.719,35
287.887,25
288.816,40
289.643,53
290.861,60
291.739,59
292.617,56
293.786,60
294.758,48
295.590,56
296.809,53
297.687,59
298.760,46
299.783,30
300.719,21
301.635,20
302.856,24
303.685,23
304.563,34
305.922,63
306.750,62
307.582,63
308.703,62
309.630,67
310.459,67
311.678,67
312.652,69
313.433,87
314.700,85
315.554,83
316.456,87
317.719,91
318.529,80
319.432,61
320.599,54
321.478,56
322.405,51
323.605,46
324.452,45
325.376,54
326.739,55
327.426,56
328.396,57
329.569,60
330.495,48
331.370,45
332.783,51
333.469,48
334.541,34
335.947,41
336.488,45
337.272,48
338.446,46
339.413,36
340.246,44
341.417,31
342.679,28
343.314,0
344.532,0
345.610,44
346.194,44
347.412,59
348.295,49
349.215,37
350.674,30
351.263,0
352.141,1
353.359,11
354.237,8
355.413,0
356.378,0
357.212,0
358.380,53
359.307,73
360.184,42
361.210,0
362.281,19
363.245,0
364.085,0
365.446,0
366.135,63
367.060,46
368.230,37
369.154,39
370.035,40
371.203,40
372.180,31
373.014,34
374.283,26
375.104,26
376.030,29
377.149,22
378.077,42
379.050,48
380.172,66
381.049,43
382.122,13
383.584,22
384.419,20
385.046,24
386.510,24
387.192,21
387.875,28
389.047,25
390.017,0
390.894,48
392.359,56
392.945,49
393.876,59
395.090,66
396.110,65
397.091,67
398.166,53
399.042,55
399.769,53
400.988,60
401.866,54
403.087,61
404.156,51
404.946,44
405.811,33
407.082,38
407.840,35
408.740,0
409.909,37
410.792,33
411.714,35
412.883,39
414.001,37
414.696,34
416.097,35
416.929,0
417.661,0
419.120,0
419.757,0
420.685,26
421.808,56
422.728,48
