df_hash,22ZHK4.WCZFFA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XKHD
person_label,V44
date_time_start,2025-10-27_14-47-56.312000_+03
date_time_start_unix,1761562076.312
date_time_end,2025-10-27_14-56-44.155000_+03
length_difference_noticed,no

time,acc_mag
4.782,0.988
4.812,0.980
4.842,0.988
4.872,0.993
4.902,0.992
4.932,0.988
4.962,0.986
4.992,0.991
5.022,0.986
5.052,0.984
5.082,0.982
5.112,0.990
5.142,0.984
5.172,0.988
5.202,0.986
5.232,0.984
5.262,0.986
5.292,0.986
5.322,0.993
5.352,0.990
5.382,0.989
5.412,0.992
5.442,0.984
5.472,0.986
5.502,0.988
5.532,0.988
5.562,0.985
5.592,0.989
5.622,0.996
5.652,0.986
5.682,0.982
5.712,0.989
5.742,0.993
5.772,0.989
5.802,0.987
5.832,0.992
5.862,0.984
5.892,0.987
5.922,0.992
5.952,0.987
5.982,0.982
6.012,0.990
6.042,0.990
6.072,0.987
6.102,0.986
6.132,0.986
6.162,0.986
6.192,0.984
6.222,0.984
6.252,0.986
6.282,0.979
6.312,0.983
6.342,0.995
6.372,0.992
6.402,0.968
6.432,0.983
6.462,0.991
6.492,0.986
6.522,0.988
6.552,0.987
6.582,0.986
6.612,0.987
6.642,0.991
6.672,0.987
6.702,0.983
6.732,0.986
6.762,0.991
6.792,0.983
6.822,0.989
6.852,0.987
6.882,0.991
6.912,0.986
6.942,0.985
6.972,0.987
7.002,0.989
7.032,0.987
7.062,0.985
7.092,0.991
7.122,0.989
7.152,0.987
7.182,0.989
7.212,0.989
7.242,0.985
7.272,0.991
7.302,0.996
7.332,0.985
7.362,0.985
7.392,0.986
7.422,0.986
7.452,0.986
7.482,0.984
7.512,0.987
7.542,0.992
7.572,0.988
7.602,0.984
7.632,0.989
7.662,0.982
7.692,0.985
7.722,0.988
7.752,0.989
7.782,0.988
7.812,0.986
7.842,0.990
7.872,0.992
7.902,0.985
7.932,0.988
7.962,0.990
7.992,1.002
8.022,0.990
8.052,0.983
8.082,0.978
8.112,0.989
8.142,0.989
8.172,0.987
8.202,0.995
8.232,0.991
8.262,0.985
8.292,0.991
8.322,0.986
8.352,0.991
8.382,0.995
8.412,0.987
8.442,0.985
8.472,0.987
8.502,0.993
8.532,0.991
8.562,0.979
8.592,0.988
8.622,0.997
8.652,0.987
8.682,0.989
8.712,0.991
8.742,0.991
8.772,0.987
8.802,0.993
8.832,0.992
8.862,0.984
8.892,0.989
8.922,0.994
8.952,0.984
8.982,0.982
9.012,0.990
9.042,0.990
9.072,0.991
9.102,0.992
9.132,0.990
9.162,0.991
9.192,0.990
9.222,0.989
9.252,0.986
9.282,0.991
9.312,0.990
9.342,0.989
9.372,0.991
9.402,1.000
9.432,0.989
9.462,0.985
9.492,0.993
9.522,0.997
9.552,0.990
9.582,0.986
9.612,0.991
9.642,0.986
9.672,0.990
9.702,0.994
9.732,0.992
9.762,0.992
9.792,0.992
9.822,0.989
9.852,0.986
9.882,0.989
9.912,0.990
9.942,0.996
9.972,0.990
10.002,0.983
10.032,0.988
10.062,0.990
10.092,0.988
10.122,0.986
10.152,0.994
10.182,0.996
10.212,0.984
10.242,0.992
10.272,0.994
10.302,0.990
10.332,0.985
10.362,0.994
10.392,0.990
10.422,0.984
10.452,0.994
10.482,0.990
10.512,0.988
10.542,0.986
10.572,0.989
10.602,0.990
10.632,0.988
10.662,0.988
10.692,0.990
10.722,0.986
10.752,0.988
10.782,0.992
10.812,0.991
10.842,0.992
10.872,0.988
10.902,0.991
10.932,0.988
10.962,0.993
10.992,0.985
11.022,0.988
11.052,0.992
11.082,0.993
11.112,0.990
11.142,0.997
11.172,0.994
11.202,0.980
11.232,0.987
11.262,0.992
11.292,0.991
11.322,0.988
11.352,0.992
11.382,0.994
11.412,0.994
11.442,0.994
11.472,0.996
11.502,0.988
11.532,0.990
11.562,0.990
11.592,0.987
11.622,0.990
11.652,0.995
11.682,0.988
11.712,0.984
11.742,0.990
11.772,0.994
11.802,0.989
11.832,0.986
11.862,0.994
11.892,0.991
11.922,0.991
11.952,0.984
11.982,0.989
12.012,0.991
12.042,0.995
12.072,0.995
12.102,0.987
12.132,0.989
12.162,0.991
12.192,0.989
12.222,0.991
12.252,0.987
12.282,0.995
12.312,0.987
12.342,0.985
12.372,0.987
12.402,0.991
12.432,0.991
12.462,0.993
12.492,0.988
12.522,0.988
12.552,0.990
12.582,0.995
12.612,0.984
12.642,0.976
12.672,0.996
12.702,0.987
12.732,0.987
12.762,0.992
12.792,0.994
12.822,0.988
12.852,0.993
12.882,0.989
12.912,0.986
12.942,0.991
12.972,0.991
13.002,0.987
13.032,0.991
13.062,0.991
13.092,0.989
13.122,0.989
13.152,0.995
13.182,0.987
13.212,0.986
13.242,0.992
13.272,0.987
13.302,0.987
13.332,0.988
13.362,0.993
13.392,0.987
13.422,0.989
13.452,0.994
13.482,0.989
13.512,0.987
13.542,0.987
13.572,0.993
13.602,0.989
13.632,0.991
13.662,0.995
13.692,0.985
13.722,0.987
13.752,0.987
13.782,0.993
13.812,0.989
13.842,0.993
13.872,0.995
13.902,0.989
13.932,0.989
13.962,0.991
13.992,0.991
14.022,0.989
14.052,0.981
14.082,0.987
14.112,0.995
14.142,0.989
