df_hash,22ZHK4.7EH0JY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5CYM
person_label,V57
date_time_start,2025-10-31_15-01-59.533000_+03
date_time_start_unix,1761908519.533
date_time_end,2025-10-31_15-11-16.488000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
6.482,-0.457,0.900,0.271
6.492,-0.455,0.902,0.273
6.502,-0.457,0.898,0.273
6.512,-0.455,0.898,0.273
6.522,-0.453,0.896,0.273
6.532,-0.457,0.900,0.271
6.542,-0.457,0.896,0.273
6.552,-0.459,0.895,0.273
6.561,-0.459,0.893,0.270
6.571,-0.459,0.896,0.271
6.581,-0.463,0.898,0.271
6.591,-0.463,0.896,0.268
6.601,-0.463,0.898,0.268
6.611,-0.467,0.898,0.268
6.621,-0.467,0.898,0.270
6.631,-0.467,0.900,0.268
6.641,-0.469,0.900,0.268
6.651,-0.467,0.900,0.268
6.661,-0.467,0.900,0.270
6.671,-0.467,0.900,0.270
6.681,-0.467,0.898,0.268
6.691,-0.469,0.893,0.264
6.701,-0.471,0.896,0.268
6.710,-0.471,0.900,0.270
6.720,-0.471,0.898,0.268
6.730,-0.469,0.896,0.266
6.740,-0.469,0.895,0.264
6.750,-0.473,0.896,0.264
6.760,-0.475,0.898,0.262
6.770,-0.471,0.898,0.264
6.780,-0.473,0.895,0.268
6.790,-0.473,0.893,0.262
6.800,-0.473,0.895,0.264
6.810,-0.477,0.893,0.264
6.820,-0.475,0.893,0.264
6.830,-0.477,0.893,0.268
6.840,-0.477,0.895,0.264
6.850,-0.477,0.893,0.264
6.860,-0.477,0.895,0.262
6.869,-0.475,0.895,0.264
6.879,-0.477,0.896,0.264
6.889,-0.477,0.891,0.260
6.899,-0.479,0.895,0.262
6.909,-0.477,0.893,0.262
6.919,-0.477,0.889,0.262
6.929,-0.479,0.895,0.262
6.939,-0.479,0.895,0.260
6.949,-0.480,0.893,0.264
6.959,-0.477,0.891,0.262
6.969,-0.479,0.893,0.262
6.979,-0.477,0.891,0.264
6.989,-0.480,0.893,0.264
6.999,-0.482,0.891,0.264
7.009,-0.480,0.895,0.262
7.019,-0.480,0.893,0.264
7.028,-0.479,0.893,0.264
7.038,-0.479,0.893,0.264
7.048,-0.480,0.893,0.262
7.058,-0.480,0.891,0.264
7.068,-0.477,0.891,0.264
7.078,-0.480,0.893,0.264
7.088,-0.482,0.891,0.264
7.098,-0.482,0.893,0.262
7.108,-0.480,0.891,0.262
7.118,-0.482,0.889,0.264
7.128,-0.480,0.891,0.266
7.138,-0.480,0.891,0.266
7.148,-0.482,0.893,0.266
7.158,-0.484,0.891,0.266
7.168,-0.484,0.891,0.264
7.177,-0.482,0.893,0.266
7.187,-0.484,0.891,0.264
7.197,-0.480,0.891,0.264
7.207,-0.480,0.891,0.266
7.217,-0.482,0.893,0.266
7.227,-0.484,0.895,0.266
7.237,-0.479,0.895,0.266
7.247,-0.482,0.891,0.268
7.257,-0.477,0.891,0.270
7.267,-0.479,0.893,0.266
7.277,-0.482,0.896,0.270
7.287,-0.480,0.887,0.266
7.297,-0.480,0.887,0.264
7.307,-0.484,0.891,0.268
7.317,-0.486,0.893,0.270
7.327,-0.482,0.891,0.266
7.336,-0.482,0.889,0.266
7.346,-0.482,0.891,0.271
7.356,-0.480,0.887,0.264
7.366,-0.482,0.887,0.268
7.376,-0.482,0.889,0.268
7.386,-0.480,0.885,0.268
7.396,-0.482,0.885,0.266
7.406,-0.482,0.887,0.268
7.416,-0.480,0.887,0.268
7.426,-0.482,0.889,0.270
7.436,-0.482,0.889,0.268
7.446,-0.479,0.889,0.271
7.456,-0.482,0.895,0.268
7.466,-0.479,0.889,0.271
7.476,-0.479,0.893,0.271
7.486,-0.475,0.895,0.266
7.495,-0.479,0.895,0.268
7.505,-0.484,0.889,0.268
7.515,-0.480,0.889,0.270
7.525,-0.486,0.891,0.270
7.535,-0.482,0.896,0.271
7.545,-0.479,0.893,0.271
7.555,-0.475,0.889,0.270
7.565,-0.480,0.887,0.270
7.575,-0.484,0.887,0.270
7.585,-0.480,0.893,0.268
7.595,-0.484,0.891,0.270
7.605,-0.480,0.889,0.271
7.615,-0.482,0.889,0.268
7.625,-0.482,0.893,0.266
7.635,-0.482,0.893,0.271
7.645,-0.482,0.889,0.264
7.654,-0.480,0.891,0.264
7.664,-0.480,0.893,0.270
7.674,-0.480,0.889,0.268
7.684,-0.482,0.891,0.270
7.694,-0.482,0.893,0.266
7.704,-0.482,0.891,0.268
7.714,-0.480,0.893,0.266
7.724,-0.480,0.891,0.266
7.734,-0.480,0.893,0.266
7.744,-0.480,0.891,0.264
7.754,-0.480,0.889,0.262
7.764,-0.480,0.889,0.266
7.774,-0.482,0.887,0.266
7.784,-0.480,0.889,0.268
7.794,-0.482,0.891,0.268
7.803,-0.482,0.889,0.266
7.813,-0.482,0.889,0.266
7.823,-0.484,0.889,0.270
7.833,-0.484,0.891,0.268
7.843,-0.482,0.891,0.268
7.853,-0.484,0.891,0.268
7.863,-0.482,0.893,0.266
7.873,-0.482,0.889,0.266
7.883,-0.484,0.893,0.266
7.893,-0.480,0.891,0.270
7.903,-0.484,0.889,0.268
7.913,-0.482,0.891,0.266
7.923,-0.484,0.891,0.268
7.933,-0.479,0.891,0.266
7.943,-0.480,0.891,0.264
7.953,-0.480,0.889,0.266
7.962,-0.482,0.889,0.268
7.972,-0.482,0.889,0.266
7.982,-0.482,0.891,0.268
7.992,-0.484,0.891,0.266
8.002,-0.482,0.889,0.268
8.012,-0.484,0.887,0.270
8.022,-0.484,0.891,0.266
8.032,-0.482,0.895,0.270
