df_hash,22ZHK4.7EH0JY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5CYM
person_label,V57
date_time_start,2025-10-31_15-01-59.533000_+03
date_time_start_unix,1761908519.533
date_time_end,2025-10-31_15-11-16.488000_+03
length_difference_noticed,no

time,rr_int
11.367,4250
13.024,2175
13.027,1565
13.268,225
13.272,10
13.298,55
14.438,480
14.441,835
14.611,140
15.316,280
16.291,390
16.388,975
16.778,155
16.781,285
17.071,400
18.338,270
18.925,945
19.557,575
20.141,670
20.386,630
20.532,230
20.534,195
20.538,10
20.824,250
22.921,1245
24.090,925
25.163,1090
25.167,1095
26.674,10
26.870,1640
28.868,550
29.599,1555
29.746,790
29.900,275
29.993,10
30.038,100
30.043,15
30.136,115
30.282,185
31.305,935
31.354,10
31.362,10
31.406,10
32.768,15
32.771,1425
33.064,10
33.499,305
33.893,370
34.182,350
34.621,455
35.693,385
36.425,1035
37.302,815
37.499,840
37.546,255
37.549,15
37.552,25
37.556,15
39.255,370
39.350,1215
39.595,405
41.299,1725
41.982,10
41.986,720
42.275,10
42.518,235
42.525,270
42.615,10
42.718,205
43.493,735
44.078,10
44.084,645
44.370,10
44.375,220
44.571,10
44.581,10
45.492,545
45.882,570
46.126,440
47.247,280
48.807,1060
49.343,1625
49.347,545
49.636,220
50.855,1285
51.878,20
52.574,945
52.658,765
52.807,10
53.438,255
53.682,485
55.051,360
55.632,1290
56.363,685
57.826,665
57.841,1475
58.264,10
58.362,485
58.365,10
58.410,10
58.414,10
58.462,10
58.465,10
58.468,10
58.606,185
59.337,865
60.215,10
60.532,825
60.538,200
60.555,10
60.559,10
60.750,10
61.189,10
61.238,770
61.287,10
61.725,10
61.729,495
62.750,10
63.237,940
64.017,520
64.797,750
64.944,840
65.626,210
65.820,610
65.892,220
66.505,20
66.991,560
68.404,615
68.697,1625
68.819,170
68.824,10
68.830,10
70.501,935
71.334,800
72.161,805
73.035,820
73.039,820
73.137,10
73.183,130
73.186,15
73.669,20
73.673,620
74.499,10
74.644,795
74.790,260
74.794,10
74.942,10
75.474,485
75.522,200
75.527,10
76.595,440
76.935,695
76.939,200
76.984,10
77.286,15
77.571,400
78.106,315
78.935,570
79.812,800
80.644,855
82.152,850
82.981,1585
84.151,775
85.370,1190
86.055,1225
86.442,645
86.445,380
86.637,10
87.709,285
88.441,1000
89.666,815
90.799,1220
91.903,1095
92.196,1080
93.470,360
94.534,1245
94.827,1060
94.830,290
96.192,10
96.848,1405
97.801,590
98.300,915
99.269,675
99.556,890
99.562,240
100.092,10
100.921,580
100.924,830
101.067,10
101.071,140
101.116,20
101.119,15
101.122,10
101.216,10
101.652,15
102.871,520
104.285,1315
104.968,1335
105.845,675
106.772,945
107.794,860
108.431,1005
109.599,610
110.383,1240
110.671,905
110.675,245
111.012,10
112.088,615
112.915,800
113.742,765
113.745,820
114.431,10
114.717,740
114.740,10
115.546,310
115.550,845
115.692,10
115.741,10
115.744,20
116.082,15
116.813,395
116.817,805
116.960,15
116.964,10
117.106,180
118.330,970
118.620,255
118.959,405
120.300,275
120.567,1370
122.078,280
123.493,1470
123.882,1500
124.038,365
124.175,260
126.271,1440
126.274,660
127.100,10
127.782,790
128.634,805
129.440,845
130.317,745
130.320,865
130.415,10
130.512,180
130.515,20
130.710,245
131.974,1295
132.126,10
132.511,15
133.803,425
134.903,1330
134.913,1155
136.122,10
136.167,1185
136.704,10
137.581,555
137.584,815
137.587,10
137.727,185
137.732,10
138.214,585
138.507,15
138.512,145
139.043,15
139.048,550
139.336,10
139.969,335
140.750,550
140.847,795
140.944,170
140.948,10
140.993,40
140.997,15
141.000,10
141.432,10
141.438,490
142.367,10
142.943,745
142.946,740
143.674,10
143.677,775
143.919,10
144.503,235
144.651,525
144.698,175
144.702,15
144.799,10
144.802,10
144.804,15
145.332,20
145.479,585
146.161,255
146.997,575
147.673,830
147.964,815
147.968,170
148.013,10
148.016,20
148.019,20
148.549,10
148.552,580
149.405,10
149.622,800
150.207,240
150.353,555
150.357,175
150.402,10
150.406,10
150.410,10
150.921,15
151.719,560
152.401,770
153.327,760
153.377,760
153.961,220
154.205,570
154.789,200
155.472,600
155.764,785
155.768,205
155.813,25
156.301,15
157.132,480
157.568,680
157.572,685
158.448,10
158.592,690
158.597,190
159.226,25
159.813,500
159.913,725
159.918,190
160.494,15
160.542,490
161.181,10
161.872,705
162.005,745
162.836,10
163.419,750
164.101,775
164.930,760
165.139,750
165.612,205
165.758,580
165.904,10
165.907,170
165.953,10
165.956,20
165.966,10
166.002,10
166.441,10
166.659,560
167.318,185
167.330,615
168.008,10
168.030,745
168.683,10
169.517,715
169.658,720
169.662,190
169.807,20
169.810,15
170.195,30
170.929,485
171.755,780
171.762,825
172.584,10
173.266,790
173.997,745
174.095,680
174.387,100
174.755,310
175.364,235
176.058,685
176.922,740
177.751,810
178.580,845
178.823,850
178.829,235
179.408,10
180.237,585
180.241,845
181.066,10
181.212,815
181.362,250
181.459,10
181.461,10
182.723,595
183.503,840
183.893,770
183.999,10
184.137,400
184.333,345
185.502,960
186.770,270
188.183,1355
188.186,1390
188.191,10
188.577,25
188.866,405
189.451,255
190.234,555
190.380,750
190.749,75
190.824,420
190.962,255
191.937,950
191.941,40
191.986,10
191.989,10
