df_hash,22ZHK4.7EH0JY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5CYM
person_label,V57
date_time_start,2025-10-31_15-01-59.533000_+03
date_time_start_unix,1761908519.533
date_time_end,2025-10-31_15-11-16.488000_+03
length_difference_noticed,no

time,temperature
5.030,34.000
6.004,34.000
7.028,34.031
8.051,34.000
9.027,34.031
10.002,34.031
11.071,34.031
12.001,34.094
13.030,34.125
13.999,34.125
15.025,34.125
16.003,34.188
17.022,34.156
17.997,34.219
19.059,34.250
20.003,34.312
21.020,34.312
22.277,34.312
23.021,34.344
23.993,34.375
25.017,34.375
26.238,34.375
27.016,34.406
28.091,34.375
29.015,34.375
30.088,34.312
31.062,34.312
32.049,34.344
33.061,34.344
34.035,34.406
35.011,34.406
36.083,34.375
37.010,34.375
38.035,34.438
39.251,34.469
40.035,34.531
41.148,34.562
42.080,34.531
43.006,34.594
44.031,34.531
45.273,34.562
46.052,34.625
47.003,34.656
48.322,34.688
49.002,34.688
50.123,34.688
51.001,34.688
52.051,34.719
53.048,34.719
54.023,34.750
55.047,34.781
56.071,34.812
57.485,34.812
58.021,34.844
58.997,34.844
60.021,34.875
61.080,34.875
62.018,34.875
62.995,34.875
64.066,34.875
64.996,34.906
66.065,34.875
66.996,34.844
68.015,34.844
68.990,34.844
70.013,34.875
70.989,34.875
72.158,34.875
73.133,34.938
74.012,35.000
74.986,35.000
76.010,35.000
76.990,35.062
78.057,35.094
79.327,35.094
80.007,35.062
81.080,35.062
82.006,35.125
83.030,35.000
84.005,34.969
85.077,34.969
86.052,35.000
87.027,35.000
88.093,35.000
89.026,35.031
90.348,35.062
91.074,35.031
91.999,35.031
93.023,35.125
94.002,35.125
95.022,35.188
95.997,35.188
97.047,35.156
98.288,35.188
99.165,35.219
100.043,35.250
101.019,35.312
101.994,35.312
103.017,35.344
103.992,35.344
105.016,35.281
105.991,35.312
107.063,35.250
108.087,35.281
109.013,35.250
110.183,35.281
111.040,35.250
112.085,35.250
113.255,35.250
113.986,35.250
115.328,35.281
115.985,35.250
117.057,35.312
117.984,35.312
119.056,35.344
120.035,35.281
121.055,35.281
121.981,35.312
123.005,35.344
124.028,35.375
125.003,35.375
126.027,35.375
127.002,35.375
128.075,35.375
129.052,35.375
130.078,35.375
131.002,35.375
132.121,35.250
133.047,35.250
134.022,35.219
135.049,35.219
136.021,35.281
137.044,35.250
138.064,35.344
138.995,35.344
140.018,35.344
141.120,35.375
142.346,35.438
142.992,35.438
144.064,35.438
144.991,35.469
146.075,35.438
147.187,35.438
148.062,35.406
149.288,35.406
150.061,35.438
151.084,35.469
152.016,35.500
153.135,35.531
154.009,35.500
154.992,35.469
156.106,35.500
156.999,35.531
158.007,35.531
158.983,35.562
160.350,35.562
160.985,35.594
162.008,35.562
163.324,35.562
164.004,35.594
164.979,35.594
166.014,35.625
166.977,35.625
168.147,35.562
168.976,35.594
170.000,35.562
170.975,35.562
171.999,35.594
172.974,35.594
174.001,35.625
175.045,35.656
176.045,35.625
177.020,35.594
178.011,35.625
179.070,35.531
179.994,35.594
181.018,35.594
181.993,35.594
183.016,35.594
184.026,35.562
185.015,35.500
186.387,35.531
187.014,35.562
187.988,35.562
189.012,35.625
190.231,35.625
191.011,35.625
192.184,35.625
193.160,35.625
194.134,35.625
195.029,35.656
196.040,35.625
197.205,35.656
197.983,35.688
199.006,35.688
200.273,35.656
201.102,35.625
201.980,35.625
203.024,35.656
203.979,35.688
205.055,35.656
205.982,35.656
207.420,35.625
207.985,35.625
209.000,35.656
209.978,35.688
210.999,35.719
212.023,35.750
213.046,35.750
213.985,35.750
214.996,35.781
215.971,35.750
216.995,35.750
218.019,35.719
218.994,35.656
219.969,35.656
220.993,35.656
221.975,35.594
222.991,35.562
223.966,35.562
224.990,35.562
226.014,35.562
226.989,35.562
228.013,35.594
228.988,35.594
230.016,35.625
230.988,35.625
232.017,35.625
232.989,35.625
234.009,35.656
234.984,35.625
236.008,35.625
236.986,35.688
238.006,35.688
238.981,35.719
240.008,35.688
240.980,35.688
242.013,35.656
242.979,35.625
244.002,35.625
245.016,35.625
246.026,35.625
246.983,35.594
248.097,35.562
248.975,35.562
250.195,35.562
250.974,35.562
252.136,35.594
253.121,35.594
253.996,35.562
254.972,35.531
255.995,35.562
256.970,35.594
258.001,35.594
258.969,35.594
259.998,35.625
260.968,35.625
262.040,35.656
263.112,35.656
263.990,35.688
264.965,35.719
265.989,35.656
267.042,35.656
267.996,35.625
269.020,35.656
270.003,35.625
270.961,35.656
271.985,35.625
273.109,35.594
273.984,35.594
275.007,35.531
275.983,35.562
277.006,35.594
277.981,35.594
279.006,35.469
279.980,35.469
281.004,35.500
281.979,35.500
283.003,35.562
283.999,35.562
285.002,35.688
285.977,35.688
287.005,35.656
287.975,35.688
289.037,35.781
290.074,35.781
291.020,35.719
291.973,35.719
293.054,35.688
294.020,35.656
295.100,35.531
296.168,35.531
297.066,35.562
298.312,35.562
299.004,35.594
299.991,35.562
301.014,35.594
302.164,35.594
302.990,35.562
303.966,35.562
305.138,35.594
305.992,35.562
306.988,35.531
307.968,35.469
308.986,35.469
310.011,35.375
310.986,35.406
312.016,35.406
312.984,35.406
314.016,35.438
314.983,35.469
315.975,35.531
317.003,35.562
317.968,35.625
