df_hash,22ZHK4.7EH0JY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5CYM
person_label,V57
date_time_start,2025-10-31_15-01-59.533000_+03
date_time_start_unix,1761908519.533
date_time_end,2025-10-31_15-11-16.488000_+03
length_difference_noticed,no

time,battery
9.904,17
20.000,17
29.989,17
40.032,17
49.928,17
59.922,17
69.916,17
79.910,17
89.907,17
99.897,17
109.942,17
120.031,17
130.074,17
139.973,17
149.917,17
159.908,17
169.911,17
179.945,17
189.890,17
199.884,17
209.975,17
219.873,17
230.011,17
240.005,17
249.921,17
259.897,17
269.937,17
279.886,17
289.877,17
299.870,17
309.887,17
319.955,17
329.900,17
339.989,17
349.888,17
359.888,17
369.876,17
379.870,17
389.863,17
399.857,17
409.871,16
419.991,16
429.936,16
439.978,16
459.879,16
469.874,16
479.916,16
489.861,16
500.488,16
519.921,16
529.869,16
539.860,16
549.856,16
