df_hash,22ZHK4.7EH0JY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5CYM
person_label,V57
date_time_start,2025-10-31_15-01-59.533000_+03
date_time_start_unix,1761908519.533
date_time_end,2025-10-31_15-11-16.488000_+03
length_difference_noticed,no

time,quality
9.761,100
11.063,100
11.857,0
12.783,0
13.953,0
14.977,33
15.998,36
16.928,38
17.805,24
18.731,29
19.996,30
20.778,23
22.096,28
22.875,26
23.778,37
24.730,49
25.909,57
26.775,49
27.654,43
28.822,44
29.892,26
30.626,30
31.933,34
32.723,0
33.694,0
34.819,0
35.891,26
36.633,30
37.800,26
38.716,31
39.891,30
40.812,37
41.644,27
42.713,0
43.740,29
44.715,0
45.545,0
46.711,0
47.647,40
48.564,67
49.687,19
50.663,55
51.491,5
52.749,44
53.587,42
54.514,24
55.684,25
56.562,34
57.695,23
58.852,20
59.535,22
60.757,42
61.631,24
62.510,48
63.437,40
64.650,36
65.619,51
66.409,47
67.973,28
68.485,0
69.440,0
70.552,0
71.576,0
72.363,0
73.551,20
74.453,30
75.379,72
76.550,62
77.477,37
78.329,44
79.524,37
80.402,33
81.328,35
82.498,35
83.374,22
84.349,37
85.471,51
86.494,48
87.274,0
88.468,21
89.321,28
90.641,28
91.491,34
92.439,40
93.465,32
94.392,0
95.324,0
96.489,6
97.365,0
98.295,35
99.263,22
100.388,29
101.508,41
102.337,53
103.361,34
104.239,0
105.117,24
106.383,22
107.214,21
108.139,30
109.529,35
110.379,35
111.252,50
112.285,49
113.355,38
114.157,51
115.368,49
116.184,43
117.162,38
118.325,36
119.272,25
120.278,38
121.253,28
122.134,0
123.105,0
124.517,0
125.104,16
126.225,4
127.200,5
128.370,0
129.004,31
130.214,32
131.103,0
132.028,0
133.149,1
134.135,0
135.002,0
136.413,0
137.242,0
137.977,0
139.205,0
140.025,0
141.115,31
142.361,30
143.287,55
143.974,47
145.092,57
146.065,70
146.989,68
148.113,73
149.283,79
149.869,80
151.185,79
152.011,74
152.892,74
154.110,78
154.986,76
155.914,80
157.329,73
157.928,61
158.839,58
160.009,70
160.932,75
161.864,74
162.983,75
163.957,75
164.788,74
166.010,78
166.879,79
167.761,78
168.930,82
169.906,69
170.734,67
171.955,70
172.833,68
173.787,71
174.924,64
175.885,34
176.681,37
177.929,34
178.780,33
179.708,53
180.875,72
181.752,71
182.629,78
183.991,76
184.727,41
185.654,25
186.821,0
187.794,0
188.626,5
189.795,3
190.819,0
191.599,0
192.863,0
193.646,31
194.967,48
195.934,40
196.705,40
197.546,48
198.765,36
199.643,31
200.663,32
201.789,34
202.671,31
203.495,29
204.713,42
205.591,36
206.518,32
207.980,32
208.807,38
209.588,42
210.668,39
211.538,40
212.465,40
213.883,17
214.513,22
215.438,0
216.802,0
217.535,25
218.460,31
219.728,29
220.508,35
221.529,0
222.556,0
223.483,0
224.359,1
225.529,0
226.458,0
227.385,0
228.551,25
229.478,25
230.453,26
231.526,28
232.498,45
233.281,42
234.546,48
235.376,37
236.303,6
237.473,0
238.646,0
239.329,0
240.593,0
241.324,0
242.397,11
243.466,20
244.347,5
245.322,3
246.394,7
247.369,4
248.490,35
249.414,33
250.440,42
251.221,26
252.393,35
253.268,22
254.151,24
255.366,26
256.287,28
257.169,28
258.389,34
259.311,39
260.145,45
261.320,57
262.189,54
263.261,53
264.285,69
265.211,73
266.333,53
267.260,40
268.383,31
269.223,39
270.327,26
271.166,32
272.037,35
273.208,0
274.145,38
275.060,7
276.229,5
277.107,43
278.276,36
279.203,0
280.103,0
280.959,0
282.233,0
283.054,8
283.990,11
285.151,11
286.128,5
287.000,24
288.175,28
289.048,30
289.977,22
291.098,0
292.025,34
293.049,36
294.166,30
295.095,20
295.900,26
297.098,24
298.020,0
298.996,21
300.309,0
300.995,0
301.872,0
303.289,0
303.920,0
304.849,0
306.016,0
306.893,43
307.963,46
309.132,42
309.974,48
310.843,47
312.009,47
312.891,46
314.007,45
314.939,34
315.909,34
316.741,0
317.962,0
318.841,0
319.715,0
320.933,1
321.811,11
322.689,4
324.005,0
324.831,10
325.711,27
326.977,27
327.756,14
333.897,60
334.727,62
335.848,23
336.730,31
337.606,29
338.824,30
339.703,34
340.580,32
341.805,37
342.715,32
343.553,29
344.772,0
345.891,0
346.576,22
347.746,23
348.632,33
349.550,31
350.719,27
351.645,0
352.572,6
353.696,16
354.571,21
355.499,53
356.667,53
357.595,32
358.517,31
359.882,19
360.569,0
361.737,30
362.616,38
363.787,42
364.418,21
365.639,27
366.517,0
367.681,27
368.611,34
369.493,35
370.366,42
371.638,31
372.487,33
373.389,23
374.559,0
375.436,2
376.362,24
377.532,31
378.410,33
379.337,36
380.506,30
381.432,22
382.604,0
383.480,0
384.570,23
385.528,19
386.596,6
387.500,36
388.306,20
389.476,23
390.399,37
391.231,37
392.739,32
393.373,26
394.253,14
395.424,19
396.301,22
397.253,14
398.401,12
399.418,0
400.250,0
401.614,0
402.346,0
403.198,0
404.591,0
405.563,0
406.194,0
407.364,0
408.439,0
409.122,32
410.292,38
411.232,37
412.191,36
413.363,0
414.483,0
415.268,35
416.290,34
417.212,23
418.239,26
419.504,30
420.140,31
421.310,28
422.282,29
423.114,30
424.040,26
425.499,23
426.133,13
427.013,21
428.207,24
429.062,0
