df_hash,22ZHK4.7EH0JY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5CYM
person_label,V57
date_time_start,2025-10-31_15-01-59.533000_+03
date_time_start_unix,1761908519.533
date_time_end,2025-10-31_15-11-16.488000_+03
length_difference_noticed,no

time,heart_rate
9.758,46
11.058,46
11.854,46
12.780,46
13.950,46
14.894,46
15.748,46
16.924,46
17.801,46
18.728,46
19.903,46
20.775,46
21.726,46
22.872,46
23.775,46
24.724,46
25.883,53
26.772,50
27.649,49
28.819,49
29.750,49
30.623,49
31.929,49
32.719,49
33.645,49
34.815,49
35.699,49
36.621,49
37.789,49
38.667,49
39.888,49
40.763,49
41.640,49
42.620,49
43.737,49
44.712,49
45.540,46
47.637,53
48.514,51
49.684,47
50.660,49
51.488,49
52.746,50
53.584,51
54.510,50
55.680,50
56.558,50
57.684,50
58.657,50
59.532,50
60.754,50
61.628,50
62.505,50
63.432,50
64.602,50
65.616,65
66.406,59
67.968,57
68.479,57
69.428,58
70.549,57
71.496,57
72.354,57
73.548,57
74.449,65
75.375,70
76.545,73
77.472,77
78.324,79
79.519,81
80.397,79
81.323,79
82.493,79
83.371,79
84.346,79
85.467,79
86.491,79
87.270,79
88.464,79
89.318,76
90.637,77
91.486,70
92.341,64
93.462,58
94.388,62
95.314,62
96.195,61
97.362,60
98.291,57
99.169,58
100.384,58
101.266,65
102.192,70
103.358,70
104.236,67
105.113,67
106.334,67
107.209,67
108.136,67
109.525,67
110.187,67
111.249,65
112.280,65
113.259,66
114.154,70
115.355,72
116.179,73
117.110,71
118.277,71
119.204,71
120.275,71
121.249,71
122.128,71
123.102,71
124.224,71
125.101,71
126.031,71
127.197,71
128.079,71
129.001,76
130.211,78
131.097,76
132.023,75
133.144,75
134.119,75
134.997,75
136.172,75
137.050,75
137.971,75
139.190,75
140.022,75
141.112,75
142.351,75
142.995,76
143.967,77
145.088,79
146.014,78
146.896,78
148.065,77
148.992,76
149.866,75
151.088,75
151.964,75
152.888,76
154.013,77
154.941,77
155.816,77
157.326,77
157.909,78
158.836,79
160.006,80
160.883,81
161.860,82
162.980,82
163.908,82
164.783,82
166.005,81
166.831,81
167.757,80
168.927,79
169.902,79
170.731,79
171.949,79
172.827,79
173.753,79
174.875,78
175.850,78
176.678,78
177.924,78
178.775,78
179.701,76
180.871,76
181.749,74
182.626,73
183.899,72
184.722,71
185.648,71
186.818,71
187.745,71
188.622,71
189.792,71
190.816,71
191.596,71
192.773,71
193.643,73
194.962,73
195.744,73
196.698,72
197.543,73
198.762,75
199.640,74
200.591,73
201.785,73
202.663,73
203.491,73
204.710,78
205.587,80
206.513,78
207.976,78
208.564,77
209.585,75
210.657,76
211.535,77
212.461,76
213.682,76
214.508,76
215.435,76
216.607,76
217.531,76
218.457,76
219.582,76
220.505,76
221.432,76
222.552,76
223.478,76
224.356,76
225.526,76
226.452,76
227.378,76
228.548,82
229.475,80
230.451,80
231.522,73
232.442,77
233.278,75
234.496,65
235.373,59
236.300,64
237.470,64
238.643,63
239.278,62
240.447,62
241.321,62
242.255,62
243.417,62
244.343,62
245.318,62
246.391,62
247.366,62
248.249,57
249.389,55
250.312,54
251.217,55
252.387,55
253.265,54
254.144,54
255.361,54
256.253,54
257.165,54
258.358,54
259.288,54
260.139,54
261.309,68
262.186,75
263.258,77
264.282,77
265.163,76
266.088,77
267.256,78
268.191,77
269.217,77
270.235,77
271.157,77
272.034,77
273.204,77
274.130,77
275.010,77
276.226,77
277.104,77
277.984,77
279.200,77
280.099,77
280.955,77
282.224,77
283.051,77
283.979,77
285.147,77
286.031,77
286.982,77
288.121,77
289.042,77
289.974,77
291.095,77
292.021,77
293.045,70
294.070,65
295.028,68
295.896,66
297.095,66
298.002,66
298.859,66
300.067,66
300.948,66
301.869,66
303.285,66
303.916,66
304.843,66
306.012,66
306.890,66
307.820,66
308.990,66
309.964,66
310.839,66
311.960,66
312.886,66
313.899,66
314.934,66
315.860,66
316.737,66
317.957,66
318.834,66
319.711,66
320.930,66
321.807,66
322.685,66
324.002,33
325.708,46
326.879,46
333.755,87
334.683,87
335.799,87
336.725,87
337.603,87
338.821,87
339.699,87
340.576,87
341.795,87
342.710,87
343.550,87
344.769,87
345.669,87
346.573,87
347.742,88
348.620,88
349.546,82
350.716,85
351.643,84
352.569,84
353.690,83
354.568,83
355.494,74
356.664,71
357.590,74
358.468,74
359.648,73
360.564,73
361.445,73
362.611,73
363.782,73
364.415,73
365.634,67
366.511,69
367.443,74
368.608,64
369.486,60
370.363,60
371.631,62
372.483,61
373.385,60
374.555,60
375.433,60
376.359,60
377.529,60
378.406,67
379.333,71
380.503,74
381.429,71
382.322,70
383.476,70
384.557,70
385.285,70
386.502,70
387.497,63
388.303,65
389.473,66
390.359,67
391.228,67
392.448,66
393.324,66
394.250,66
395.420,66
396.298,66
397.250,66
398.394,66
399.275,66
400.246,66
401.414,66
402.248,66
403.195,66
404.343,66
405.295,66
406.153,66
407.321,66
408.253,66
409.119,68
410.289,59
411.215,55
412.094,54
413.360,56
414.192,56
415.264,61
416.286,58
417.163,57
418.236,57
419.281,57
420.136,57
421.017,57
422.233,64
423.110,67
424.037,64
425.206,63
426.120,63
427.010,63
428.203,63
429.058,63
429.988,63
431.243,63
432.084,60
