df_hash,22ZHK4.AG46P6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MUXT
person_label,V93(2)
date_time_start,2025-11-04_16-52-25.276000_+03
date_time_start_unix,1762260745.276
date_time_end,2025-11-04_17-01-09.877000_+03
length_difference_noticed,no

time,quality
14.475,58
15.598,68
16.615,80
17.447,80
18.374,77
19.543,74
20.715,73
21.347,82
22.517,78
23.444,76
24.324,79
25.831,76
26.465,77
27.340,81
28.465,73
29.686,65
30.363,64
31.533,78
32.364,78
33.241,76
34.464,77
35.384,79
36.361,73
37.437,65
38.315,76
39.241,76
40.410,77
41.334,77
42.307,77
43.382,77
44.359,86
45.188,83
46.407,77
47.333,78
48.160,78
49.389,79
50.498,80
51.133,76
52.592,68
53.375,72
54.156,80
55.325,78
56.252,77
57.273,81
58.302,84
59.230,82
60.152,76
61.419,78
62.199,80
63.174,78
64.247,81
65.173,78
66.051,65
67.320,61
68.195,72
69.217,71
70.243,66
71.173,51
72.001,34
73.269,47
74.095,53
75.167,33
76.241,43
77.212,66
78.138,75
79.210,73
80.091,73
81.014,78
82.138,77
83.207,74
83.954,78
85.112,76
86.182,66
86.916,67
88.135,76
89.012,82
89.910,83
91.108,79
92.135,78
93.211,72
94.132,80
94.962,79
95.888,65
97.058,53
97.933,64
98.871,72
100.030,72
100.958,78
101.833,81
103.049,80
103.930,71
104.808,68
106.026,70
107.001,72
107.830,62
109.007,66
109.877,70
110.804,60
111.974,64
113.199,71
113.777,68
115.147,72
116.065,69
116.752,54
117.925,68
118.993,80
119.736,78
120.895,66
121.821,69
122.698,68
123.871,71
124.797,55
125.772,26
126.894,31
127.811,46
128.648,63
130.019,58
130.743,64
131.668,80
132.840,76
133.718,74
134.643,47
135.955,40
136.788,53
137.617,49
138.788,25
139.714,30
140.591,63
141.954,58
142.686,37
143.565,44
144.788,66
145.663,63
146.540,56
147.758,66
148.636,69
149.852,70
150.730,71
151.622,71
152.537,76
153.705,74
154.631,76
155.556,76
156.824,77
157.604,72
158.481,80
159.652,81
160.577,74
161.549,66
162.628,73
163.555,60
164.429,48
165.648,57
166.573,74
167.700,78
168.622,75
169.806,78
170.619,81
171.595,84
172.473,83
173.401,68
174.666,69
175.498,76
176.375,79
177.838,77
178.470,79
179.354,65
180.520,64
181.447,73
182.320,63
183.542,49
184.416,52
185.295,71
186.562,81
187.390,81
188.317,78
189.486,76
190.374,71
191.339,73
192.506,77
193.339,68
194.559,64
195.629,76
196.384,77
197.432,77
198.657,78
199.349,78
200.406,74
201.431,73
202.500,75
203.282,75
204.406,70
205.379,70
206.257,75
207.621,73
208.307,71
209.206,78
210.353,77
211.570,78
212.159,76
213.326,75
214.252,79
215.132,81
216.300,80
217.566,84
218.103,81
219.374,80
220.393,82
221.077,81
222.296,77
223.173,80
224.099,80
225.415,72
226.211,69
227.074,76
228.243,76
229.172,75
230.050,69
231.265,68
232.143,68
233.217,61
234.240,62
235.117,73
236.035,76
237.214,80
238.213,80
239.017,81
240.333,78
241.158,80
241.991,77
243.206,81
244.087,80
244.965,78
246.134,79
247.155,78
247.938,78
249.187,79
250.034,81
250.936,79
252.180,77
253.154,73
253.980,72
255.153,38
256.174,49
256.909,51
258.089,51
259.005,52
259.928,70
261.201,81
262.462,77
263.149,64
264.169,60
265.004,65
265.833,66
267.049,69
267.926,75
268.849,85
270.068,81
271.189,69
271.826,67
273.046,65
273.873,70
274.845,65
276.009,62
277.090,65
277.834,68
278.944,79
280.012,77
280.747,77
281.966,72
282.937,73
283.721,72
285.037,69
286.109,67
286.745,74
287.918,63
288.791,60
289.717,63
291.131,56
291.814,46
292.691,51
293.910,54
294.884,57
295.666,60
296.897,26
297.761,32
298.790,26
299.906,25
300.735,20
301.612,31
303.026,41
303.709,49
304.729,50
305.805,38
306.682,29
307.704,30
308.779,31
309.806,24
310.583,36
311.846,40
312.679,42
313.557,42
314.780,62
315.652,62
316.530,49
317.749,35
318.626,0
319.533,0
321.063,0
321.743,0
322.526,51
323.696,48
324.574,45
325.500,41
326.764,38
327.596,42
328.474,44
329.646,35
330.570,22
331.448,17
333.056,0
333.743,28
334.445,22
335.640,37
336.517,41
337.397,43
338.621,0
339.494,0
340.661,24
341.588,23
342.758,29
343.585,33
344.851,27
345.489,23
346.366,26
347.924,32
348.461,32
349.339,22
350.510,21
351.436,45
352.605,57
353.531,50
354.410,58
355.286,68
356.505,41
357.532,0
358.310,0
359.575,29
360.380,12
361.339,9
362.456,41
363.379,29
364.548,0
365.436,30
366.401,45
367.231,0
368.401,32
369.374,32
370.204,37
371.423,32
372.301,34
373.372,29
374.396,32
375.468,46
376.214,42
377.419,43
378.393,42
379.174,50
380.587,43
381.222,42
382.196,26
383.318,23
384.342,26
385.167,29
386.438,29
387.417,16
388.097,32
389.277,32
390.522,32
391.171,38
392.290,50
393.409,56
394.042,64
395.502,40
396.139,42
397.104,41
398.237,41
399.164,45
400.039,49
401.209,64
402.132,69
403.013,60
404.231,63
405.109,67
406.179,79
407.214,52
408.088,49
408.967,52
410.188,17
411.057,0
411.935,0
413.154,0
414.039,0
414.909,0
416.127,43
417.006,69
417.979,69
419.146,53
419.978,24
420.904,29
422.098,25
423.144,44
423.905,44
425.050,45
426.138,43
426.946,43
428.165,44
429.094,48
