df_hash,22ZHK4.QMMKCW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W7UH
person_label,V68
date_time_start,2025-10-31_17-48-12.872000_+03
date_time_start_unix,1761918492.872
date_time_end,2025-10-31_17-56-29.553000_+03
length_difference_noticed,no

time,quality
26.046,54
27.139,41
28.167,43
29.288,59
30.044,54
31.088,42
32.160,53
32.939,55
33.771,52
34.988,58
35.963,61
36.791,54
38.056,53
39.088,61
39.765,57
41.034,56
41.862,63
42.983,47
43.958,42
45.032,63
45.713,59
46.884,59
47.810,72
48.688,58
49.856,55
50.787,58
51.758,58
52.951,56
53.905,54
54.634,48
55.853,55
56.731,62
57.949,61
58.827,60
59.753,65
60.630,63
61.801,63
62.679,68
63.608,70
64.830,70
65.701,66
66.624,65
67.895,45
68.675,29
69.603,45
70.725,57
71.746,43
72.718,35
73.746,56
74.671,53
75.500,33
76.767,31
77.598,54
78.522,52
79.705,40
80.621,38
81.498,24
82.761,27
83.835,26
84.470,0
85.641,23
86.517,0
87.443,49
88.763,50
89.541,55
90.417,62
91.594,61
92.657,62
93.391,53
94.610,54
95.682,59
96.365,51
98.022,53
98.461,60
99.433,61
100.701,62
101.436,65
102.361,63
103.780,62
104.457,65
105.335,65
106.508,63
107.432,63
108.311,65
109.527,63
110.405,64
111.283,63
112.547,62
113.378,64
114.258,62
115.777,60
116.352,59
117.332,58
118.449,62
119.326,61
120.253,65
121.572,62
122.349,63
123.227,57
124.398,51
125.605,64
126.200,70
127.427,67
128.296,65
129.173,63
130.470,58
131.365,53
132.199,57
133.366,64
134.252,59
135.171,41
136.483,31
137.312,48
138.436,60
139.510,55
140.334,54
141.118,58
142.288,62
143.215,50
144.091,42
145.311,52
146.192,49
147.361,41
148.427,54
149.164,55
150.039,57
151.352,62
152.181,57
153.062,46
154.232,56
155.110,42
156.276,51
157.216,48
158.177,43
159.010,48
160.180,61
161.106,54
162.278,43
163.202,54
164.080,52
165.249,48
166.177,55
167.053,46
167.979,41
169.149,55
170.173,45
170.953,38
172.124,46
173.050,26
174.073,29
175.438,27
176.166,31
176.901,24
178.363,28
179.094,48
179.875,44
181.108,24
181.971,32
183.091,55
184.068,46
184.944,32
185.916,48
187.041,65
187.919,58
188.847,59
190.015,66
190.945,61
191.821,45
193.284,61
193.917,56
194.794,29
195.963,35
196.889,55
197.766,44
199.130,44
199.862,41
200.739,38
202.007,24
202.979,27
203.714,29
205.232,24
206.055,29
206.736,58
207.955,72
208.784,57
209.710,59
210.881,64
212.127,57
212.781,54
213.999,60
214.782,55
215.657,56
216.925,61
217.800,56
218.631,49
219.899,58
220.919,61
221.605,64
222.832,67
223.945,65
224.870,64
225.992,57
226.769,59
227.744,65
228.771,61
229.651,61
230.576,56
231.792,42
232.767,42
233.597,41
234.743,26
235.647,28
236.522,0
237.746,32
238.619,0
239.737,27
240.715,0
241.592,0
242.762,0
243.688,0
244.566,29
245.687,17
246.663,30
247.589,26
248.466,31
249.638,27
250.705,19
251.444,18
252.659,27
253.536,46
254.416,69
255.881,82
256.512,85
257.387,37
258.606,29
259.627,23
260.364,27
261.970,27
262.557,30
263.337,0
264.556,45
265.480,62
266.357,67
267.527,44
268.451,43
269.332,40
270.503,47
271.473,46
272.306,46
273.475,36
274.403,47
275.328,45
276.491,25
277.375,25
278.255,26
279.472,21
280.349,0
281.227,26
282.445,27
283.322,34
284.441,31
285.465,29
286.296,25
287.223,31
288.393,47
289.367,64
290.197,65
291.513,66
292.246,53
293.170,65
294.341,62
295.267,62
296.144,79
297.341,86
298.241,87
299.166,85
300.288,84
301.214,76
302.140,79
303.310,79
304.190,81
305.069,85
306.284,91
307.162,86
308.285,87
309.259,91
310.159,97
311.207,97
312.232,84
313.155,85
314.081,62
315.205,59
316.132,61
317.011,68
318.205,74
319.108,67
319.986,75
321.153,74
322.085,66
322.960,52
324.131,51
325.059,60
325.932,55
327.244,53
328.073,59
328.959,57
330.123,45
331.001,28
331.878,20
333.098,36
333.974,35
334.900,37
336.071,27
337.240,24
337.920,40
339.190,61
339.962,45
340.848,59
342.022,69
342.944,49
343.822,51
344.992,53
346.110,49
346.844,52
348.209,50
348.892,49
349.864,33
350.989,41
351.960,45
352.744,43
353.962,41
354.885,54
355.719,69
356.936,71
358.109,37
358.740,42
359.913,44
360.789,42
361.715,35
362.886,50
364.102,64
364.784,60
365.860,44
366.810,44
367.706,43
368.832,44
369.757,37
370.635,70
371.855,67
372.731,72
373.610,59
375.067,64
375.753,66
376.874,59
377.803,60
378.972,70
379.605,74
380.969,64
381.746,55
382.579,50
383.750,25
384.676,19
385.744,21
386.771,18
387.649,23
388.526,25
389.745,34
390.645,35
391.504,42
392.862,41
393.851,56
394.474,58
396.079,46
396.764,48
397.501,52
398.680,61
399.544,58
400.472,64
401.640,59
402.567,53
403.587,53
404.710,43
405.540,56
406.419,48
407.587,53
408.705,46
409.392,57
410.610,66
411.633,61
412.414,15
413.585,0
414.558,0
415.339,0
416.557,0
417.727,0
418.361,37
419.531,12
420.698,9
421.338,0
422.526,0
423.432,0
424.358,0
425.527,4
426.697,4
427.380,7
428.742,3
429.431,0
430.258,0
431.767,26
432.353,35
433.282,33
434.459,39
435.473,42
436.253,32
437.520,28
438.353,41
439.419,37
440.399,55
