df_hash,22ZHK4.QMMKCW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W7UH
person_label,V68
date_time_start,2025-10-31_17-48-12.872000_+03
date_time_start_unix,1761918492.872
date_time_end,2025-10-31_17-56-29.553000_+03
length_difference_noticed,no

time,rr_int
11.146,4385
11.539,1890
11.682,350
11.685,180
13.193,1185
13.196,290
13.293,10
13.635,240
14.461,540
14.997,515
15.436,510
16.021,480
16.557,530
17.095,530
17.776,635
18.605,720
19.043,710
19.482,520
19.487,350
19.873,35
20.555,450
21.140,615
21.390,580
21.679,175
22.115,370
22.651,505
23.295,555
24.211,505
24.235,530
24.935,530
25.430,580
26.015,615
26.697,620
27.383,620
27.818,615
28.395,595
28.989,565
29.529,530
30.210,530
30.647,540
31.426,530
31.761,560
32.255,610
32.946,590
33.523,600
34.059,590
34.643,580
35.180,560
35.716,555
36.304,550
36.740,540
37.276,535
37.813,535
38.399,500
38.544,515
38.548,225
39.082,255
39.814,495
40.445,485
40.884,540
41.420,545
42.007,565
42.542,570
43.244,550
43.370,565
43.373,270
43.520,245
44.638,535
45.077,500
45.661,495
46.160,510
46.587,515
47.173,515
47.709,530
48.392,540
48.586,765
48.830,10
49.367,320
49.951,560
50.098,550
50.585,185
51.025,410
51.613,595
52.194,575
52.731,555
53.267,540
54.049,490
54.263,540
54.828,510
55.362,525
55.899,540
56.487,565
57.069,575
57.605,580
58.142,570
58.682,545
59.268,535
59.799,525
60.238,545
60.872,545
61.359,545
61.895,555
62.480,540
63.016,530
63.409,530
64.138,520
64.527,510
65.016,500
65.603,500
66.088,520
66.629,580
67.307,605
67.901,625
68.428,620
69.127,590
69.549,570
69.890,515
70.086,310
70.670,270
71.256,535
71.694,510
72.181,500
72.722,500
73.306,520
73.839,560
74.571,605
75.106,630
75.692,630
76.374,615
76.520,590
76.523,260
76.618,10
77.929,295
78.470,1095
79.006,530
79.560,520
80.002,495
80.664,525
81.688,635
82.176,965
82.321,555
82.324,185
82.472,10
82.517,70
82.520,15
82.523,15
82.765,250
84.177,585
84.418,625
85.003,585
85.540,575
86.079,530
86.660,480
87.051,565
87.636,525
88.171,545
88.468,560
88.633,285
88.768,255
89.927,555
90.268,515
90.853,505
91.418,550
92.077,555
92.677,595
93.193,590
93.730,590
94.314,550
94.704,555
95.290,495
96.121,550
96.411,530
96.947,550
97.486,545
98.068,555
98.614,545
99.043,540
99.580,515
100.164,525
100.708,510
101.285,585
101.971,545
102.408,545
103.041,550
103.044,555
103.547,10
103.774,540
103.918,10
104.509,535
105.040,530
105.624,520
106.014,510
106.600,505
107.135,560
107.672,555
108.208,560
108.842,555
109.330,565
109.914,555
110.500,550
110.503,530
110.987,10
111.426,520
112.160,520
112.552,540
113.232,550
113.717,565
114.205,580
114.887,580
115.326,565
115.862,545
116.447,505
116.984,575
117.568,550
118.105,550
118.646,555
119.079,535
119.275,520
119.616,10
119.666,510
120.201,10
120.737,500
121.176,515
121.712,535
122.297,550
122.980,580
123.538,600
124.101,570
124.637,560
125.081,560
125.759,510
126.343,640
126.880,575
127.464,575
128.150,560
128.537,550
129.122,550
129.658,545
130.195,540
130.634,530
131.267,525
131.816,500
132.437,510
132.730,480
133.266,585
134.099,570
134.534,615
135.216,620
135.801,625
136.488,595
137.001,575
137.458,565
138.092,575
138.597,560
139.171,545
139.175,525
139.704,10
140.091,530
140.676,495
141.214,535
141.749,550
142.340,580
143.016,610
143.601,610
143.604,600
143.699,10
143.844,245
143.848,10
143.851,15
144.674,275
145.113,545
145.650,495
146.234,540
146.793,520
147.370,535
147.891,555
148.432,565
149.012,585
149.549,575
150.140,580
150.670,565
150.673,540
151.254,10
151.791,535
152.230,510
152.766,490
153.302,550
153.888,535
154.424,535
154.570,575
154.573,215
154.862,10
155.402,275
155.415,530
155.935,10
156.032,510
156.035,10
156.081,10
156.084,25
156.301,205
156.325,10
156.328,15
156.331,25
156.376,10
156.404,170
156.471,10
157.885,505
157.888,990
158.031,10
158.034,180
158.183,15
158.226,10
158.229,15
158.233,15
158.236,10
158.372,225
159.493,510
160.050,550
160.130,560
160.566,10
161.349,570
161.541,575
161.548,310
161.687,15
161.690,10
161.694,10
161.698,210
162.761,570
163.248,490
163.735,485
164.368,500
164.908,520
165.295,530
165.977,570
166.563,580
166.806,580
166.811,275
167.098,15
167.638,290
168.220,575
168.631,540
168.656,180
168.764,335
169.195,10
170.026,495
170.178,495
170.706,495
171.291,530
172.108,620
172.656,705
173.391,705
174.078,650
174.216,565
174.220,270
174.223,15
174.606,25
174.901,315
175.045,315
175.048,15
175.052,200
176.172,520
176.556,495
177.093,485
177.531,495
178.369,500
178.701,550
179.335,590
179.921,615
180.651,630
180.655,615
181.139,10
181.724,595
182.416,580
182.845,555
183.381,550
183.821,515
184.357,525
184.892,510
185.331,510
185.933,520
186.453,535
186.989,560
187.577,585
188.110,565
188.695,560
189.280,555
189.768,530
190.207,510
190.742,490
191.184,470
191.772,515
192.303,505
192.839,530
193.375,585
194.108,600
194.643,620
195.250,600
195.764,590
196.303,550
196.739,510
197.326,525
197.860,510
198.396,530
199.135,555
199.228,540
199.957,355
200.054,710
200.064,35
200.103,30
200.108,10
200.113,10
200.229,215
201.614,910
202.151,450
202.735,535
202.984,530
202.987,275
