df_hash,22ZHK4.QMMKCW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W7UH
person_label,V68
date_time_start,2025-10-31_17-48-12.872000_+03
date_time_start_unix,1761918492.872
date_time_end,2025-10-31_17-56-29.553000_+03
length_difference_noticed,no

time,acc_mag
4.817,0.987
4.847,0.989
4.877,0.992
4.907,0.997
4.937,0.988
4.967,0.981
4.997,0.986
5.027,0.992
5.057,0.987
5.087,0.990
5.117,0.991
5.147,0.991
5.177,0.989
5.207,0.990
5.237,0.997
5.267,0.982
5.297,0.976
5.327,0.995
5.357,0.991
5.387,0.988
5.417,0.987
5.447,1.006
5.477,0.989
5.507,0.984
5.537,0.986
5.567,0.985
5.597,0.987
5.627,0.986
5.657,0.985
5.687,0.986
5.717,0.988
5.747,0.999
5.777,0.985
5.807,0.974
5.837,0.989
5.867,0.992
5.897,0.985
5.927,0.987
5.957,0.999
5.987,0.983
6.017,0.979
6.047,0.991
6.077,0.989
6.107,0.986
6.137,0.988
6.167,0.987
6.197,0.988
6.227,0.992
6.257,0.997
6.287,0.974
6.317,0.980
6.347,0.994
6.377,0.997
6.407,0.978
6.437,0.989
6.467,0.994
6.497,0.981
6.527,0.979
6.557,0.993
6.587,0.987
6.617,0.987
6.647,0.994
6.677,0.991
6.707,0.985
6.737,0.996
6.767,0.981
6.797,0.974
6.827,0.996
6.857,0.988
6.887,0.992
6.917,0.980
6.947,0.988
6.977,0.996
7.007,0.981
7.037,0.989
7.067,0.984
7.097,0.986
7.127,0.989
7.157,0.991
7.187,0.990
7.217,0.987
7.247,0.993
7.277,0.979
7.307,0.990
7.337,0.980
7.367,0.993
7.397,0.985
7.427,0.984
7.457,0.997
7.487,0.983
7.517,0.977
7.547,0.988
7.577,0.991
7.607,0.983
7.637,0.989
7.667,0.997
7.697,0.993
7.727,0.976
7.757,0.997
7.787,0.992
7.817,0.979
7.847,0.987
7.877,0.987
7.907,0.990
7.937,0.982
7.967,0.990
7.997,0.996
8.027,0.990
8.057,0.988
8.087,0.990
8.117,0.989
8.147,0.981
8.177,0.993
8.207,0.993
8.237,0.997
8.267,0.996
8.297,0.978
8.327,1.000
8.357,0.992
8.387,0.982
8.417,0.990
8.447,0.986
8.477,0.991
8.507,0.993
8.537,0.996
8.567,0.992
8.597,0.986
8.627,0.991
8.657,0.991
8.687,0.987
8.717,0.985
8.747,0.987
8.777,0.985
8.807,0.987
8.837,0.995
8.867,1.003
8.897,0.977
8.927,1.000
8.957,0.993
8.987,0.980
9.017,0.992
9.047,0.983
9.077,0.986
9.107,0.996
9.137,0.995
9.167,0.993
9.197,0.992
9.227,0.984
9.257,0.992
9.287,0.992
9.317,0.987
9.347,0.992
9.377,0.989
9.407,0.988
9.437,0.991
9.467,0.990
9.497,0.987
9.527,0.986
9.557,1.003
9.587,0.981
9.617,0.981
9.647,0.991
9.677,0.980
9.707,0.992
9.737,0.993
9.767,1.001
9.797,0.990
9.827,0.986
9.857,0.987
9.887,0.995
9.917,0.988
9.947,0.987
9.977,0.991
10.007,0.990
10.037,0.985
10.067,0.988
10.097,0.992
10.127,0.987
10.157,0.991
10.187,0.992
10.217,0.978
10.247,0.991
10.277,0.994
10.307,0.992
10.337,0.992
10.367,0.990
10.397,0.997
10.427,0.986
10.457,0.989
10.487,0.987
10.517,0.990
10.547,0.986
10.577,0.988
10.607,0.993
10.637,0.989
10.667,0.996
10.697,0.990
10.727,0.989
10.757,0.994
10.787,0.991
10.817,0.976
10.847,0.987
10.877,0.991
10.907,0.992
10.937,0.984
10.967,0.988
10.997,1.001
11.027,0.987
11.057,0.988
11.087,0.982
11.117,0.986
11.147,0.993
11.177,0.985
11.207,0.983
11.237,0.983
11.267,0.987
11.297,0.991
11.327,0.988
11.357,0.983
11.387,0.975
11.417,0.980
11.447,0.984
11.477,0.981
11.507,0.992
11.537,0.987
11.567,0.988
11.597,0.986
11.627,0.984
11.657,0.980
11.687,0.985
11.717,0.984
11.747,0.981
11.777,0.984
11.807,0.990
11.837,0.988
11.867,0.983
11.897,0.984
11.927,0.993
11.957,0.979
11.987,0.981
12.017,0.980
12.047,0.990
12.077,0.989
12.107,0.985
12.137,0.984
12.167,0.979
12.197,0.979
12.227,0.979
12.257,0.987
12.287,0.984
12.317,0.984
12.347,0.980
12.377,0.980
12.407,0.989
12.437,0.980
12.467,0.987
12.497,0.979
12.527,0.970
12.557,0.981
12.587,0.988
12.617,0.992
12.647,0.977
12.677,0.993
12.707,0.989
12.737,0.979
12.767,0.979
12.797,0.989
12.827,0.986
12.857,0.981
12.887,0.983
12.917,0.982
12.947,0.986
12.977,0.981
13.007,0.992
13.037,0.981
13.067,0.973
13.097,0.987
13.127,0.979
13.157,0.988
13.187,0.981
13.217,0.989
13.247,0.988
13.277,0.983
13.307,0.979
13.337,0.983
13.367,0.985
13.397,0.985
13.427,0.974
13.457,0.981
13.487,0.994
13.517,0.981
13.547,0.992
13.577,0.984
13.607,0.970
13.637,0.986
13.667,0.989
13.697,0.983
13.727,0.981
13.757,0.988
13.787,0.988
13.817,0.980
13.847,0.986
13.877,0.985
13.907,0.984
13.937,0.992
13.967,0.979
13.997,0.985
14.027,0.989
14.057,0.992
14.087,0.983
14.117,0.972
14.147,0.989
14.177,0.984
