df_hash,22ZHK4.QMMKCW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W7UH
person_label,V68
date_time_start,2025-10-31_17-48-12.872000_+03
date_time_start_unix,1761918492.872
date_time_end,2025-10-31_17-56-29.553000_+03
length_difference_noticed,no

time,heart_rate
26.042,111
27.040,111
28.163,111
29.285,108
30.039,107
30.795,108
32.037,107
32.895,108
33.766,107
34.985,106
35.960,105
36.743,105
38.012,106
39.085,107
39.762,109
41.030,111
41.859,112
42.756,110
43.906,110
44.785,110
45.710,110
46.880,111
47.807,112
48.684,113
49.854,113
50.780,112
51.659,111
52.947,110
53.900,110
54.631,110
55.850,110
56.728,110
57.642,110
58.824,110
59.704,110
60.627,110
61.798,110
62.675,110
63.602,110
64.823,110
65.698,111
66.575,112
67.892,111
68.672,111
69.598,108
70.719,107
71.743,108
72.529,107
73.741,109
74.668,110
75.496,109
76.764,109
77.593,106
78.519,105
79.689,105
80.615,107
81.493,105
82.665,105
83.548,105
84.466,105
85.636,105
86.514,105
87.440,106
88.759,107
89.537,108
90.414,109
91.584,109
92.554,110
93.388,109
94.606,109
95.487,108
96.362,108
97.581,108
98.458,109
99.336,109
100.571,110
101.432,110
102.358,110
103.777,110
104.454,110
105.332,110
106.502,110
107.428,110
108.305,111
109.524,111
110.402,111
111.280,110
112.502,110
113.375,110
114.253,110
115.772,110
116.349,109
117.327,109
118.445,109
119.323,109
120.249,110
121.569,111
122.346,111
123.224,112
124.393,111
125.593,110
126.197,109
127.416,108
128.293,107
129.171,107
130.467,107
131.271,108
132.193,109
133.363,110
134.242,111
135.167,110
136.339,110
137.263,107
138.197,106
139.332,105
140.247,106
141.115,107
142.284,108
143.211,108
144.088,107
145.307,106
146.186,106
147.354,106
148.282,107
149.158,108
150.036,108
151.258,108
152.132,108
153.058,108
154.228,109
155.106,108
156.087,110
157.202,111
158.130,110
159.006,113
160.176,114
161.102,115
162.275,114
163.198,113
164.076,112
164.957,113
166.172,113
167.050,113
167.976,112
169.146,111
170.170,111
170.950,111
172.120,112
173.046,111
173.978,111
175.133,111
176.047,111
176.897,111
178.183,111
178.995,112
179.871,113
181.091,112
181.967,109
182.849,107
184.064,106
184.941,107
185.867,108
187.037,110
187.915,110
188.841,110
190.011,110
190.938,110
191.816,110
193.000,112
193.912,112
194.789,111
195.959,111
196.885,109
197.762,108
198.983,109
199.859,110
200.736,109
202.004,109
202.834,109
203.710,109
204.983,109
205.867,109
206.733,111
207.951,112
208.780,112
209.706,111
210.876,111
212.106,111
212.778,112
213.855,112
214.776,112
215.654,111
216.921,110
217.774,110
218.628,110
219.895,110
220.726,111
221.601,111
222.820,111
223.756,111
224.675,112
225.814,112
226.675,112
227.606,111
228.768,111
229.645,111
230.571,112
231.746,111
232.672,111
233.594,111
234.739,111
235.642,111
236.519,111
237.738,107
238.615,109
239.496,108
240.712,108
241.589,108
242.470,108
243.685,108
244.563,108
245.444,108
246.659,101
247.586,100
248.463,98
249.633,99
250.514,98
251.437,98
252.655,98
253.533,98
254.410,104
255.876,106
256.507,108
257.384,109
258.603,107
259.483,107
260.358,107
261.730,107
262.552,107
263.332,107
264.550,111
265.432,113
266.354,115
267.524,116
268.426,116
269.328,116
270.498,115
271.439,115
272.302,114
273.472,114
274.398,116
275.324,114
276.487,114
277.372,114
278.250,114
279.468,114
280.346,114
281.223,114
282.442,108
283.319,107
284.199,103
285.419,102
286.293,103
287.219,102
288.389,109
289.364,110
290.193,113
291.464,114
292.241,115
293.167,115
294.337,116
295.263,118
296.141,119
297.338,120
298.238,120
299.118,120
300.285,120
301.211,119
302.137,119
303.307,119
304.185,119
305.062,119
306.281,120
307.158,120
308.282,120
309.255,121
310.156,121
311.063,121
312.228,121
313.126,121
314.036,120
315.202,120
316.128,120
317.006,121
318.200,121
319.102,121
319.980,121
321.150,121
322.076,119
322.954,118
324.123,117
325.050,115
325.927,114
327.146,114
328.024,115
328.940,115
330.120,114
330.997,114
331.875,114
333.094,114
333.971,114
334.897,114
336.067,114
336.970,114
337.884,117
339.047,118
339.945,118
340.845,117
342.015,116
342.941,116
343.819,116
344.989,116
345.935,116
346.795,115
348.013,115
348.889,115
349.794,115
350.985,115
351.866,114
352.740,113
353.959,113
354.836,113
355.714,114
356.932,114
358.105,113
358.736,115
359.906,115
360.784,114
361.710,114
362.880,113
363.830,113
364.704,113
365.854,112
366.805,112
367.661,112
368.829,111
369.754,111
370.632,112
371.851,113
372.728,114
373.606,114
374.825,113
375.741,113
376.657,113
377.798,113
378.968,114
379.601,114
380.775,114
381.652,114
382.575,114
383.746,114
384.672,114
385.550,114
386.722,114
387.645,114
388.523,114
389.742,117
390.641,112
391.497,110
392.723,108
393.595,107
394.470,106
395.693,106
396.568,107
397.493,108
398.663,109
399.540,110
400.467,111
401.637,111
402.563,112
403.453,112
404.616,111
405.537,113
406.414,113
407.584,114
408.514,113
409.388,115
410.607,115
411.490,116
412.411,115
413.581,115
414.462,115
415.335,115
416.554,115
417.435,115
418.358,115
419.528,115
420.460,115
421.332,115
422.523,115
423.428,115
424.354,115
425.524,115
426.432,115
427.377,115
428.526,115
429.424,115
430.253,115
431.476,109
432.349,115
433.276,115
434.453,117
435.469,118
436.249,117
437.426,117
438.346,111
439.235,114
440.393,110
