df_hash,22ZHK4.QMMKCW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W7UH
person_label,V68
date_time_start,2025-10-31_17-48-12.872000_+03
date_time_start_unix,1761918492.872
date_time_end,2025-10-31_17-56-29.553000_+03
length_difference_noticed,no

time,temperature
5.541,31.844
6.466,31.828
7.490,31.875
8.711,31.844
9.489,31.875
10.464,31.891
11.536,31.906
12.511,31.922
13.504,31.938
14.464,31.938
15.487,31.938
16.460,31.984
17.484,31.953
18.460,32.031
19.750,31.984
20.506,31.984
21.484,31.984
22.456,32.000
23.775,32.000
24.515,31.984
25.479,32.000
26.454,32.031
27.478,32.062
28.502,32.062
29.526,32.094
30.452,32.125
31.511,32.156
32.458,32.125
33.474,32.188
34.449,32.219
35.621,32.188
36.470,32.188
37.471,32.156
38.495,32.156
39.568,32.188
40.519,32.156
41.469,32.156
42.493,32.219
43.516,32.219
44.491,32.188
45.467,32.281
46.490,32.312
47.465,32.344
48.489,32.375
49.512,32.406
50.536,32.406
51.609,32.406
52.535,32.344
53.561,32.344
54.485,32.375
55.560,32.375
56.484,32.344
57.459,32.344
58.483,32.344
59.701,32.312
60.482,32.344
61.457,32.406
62.498,32.438
63.455,32.469
64.479,32.469
65.600,32.500
66.478,32.531
67.748,32.562
68.479,32.562
69.452,32.562
70.476,32.594
71.517,32.594
72.523,32.594
73.498,32.625
74.473,32.656
75.448,32.625
76.475,32.656
77.460,32.656
78.473,32.688
79.544,32.719
80.471,32.719
81.444,32.781
82.468,32.781
83.540,32.781
84.762,32.750
85.491,32.812
86.466,32.812
87.489,32.750
88.613,32.750
89.488,32.750
90.463,32.750
91.506,32.781
92.462,32.750
93.487,32.781
94.462,32.781
95.484,32.875
96.460,32.875
97.483,32.938
98.608,32.969
99.482,33.062
100.554,33.062
101.481,33.062
102.456,33.094
103.523,33.062
104.506,33.094
105.478,32.969
106.456,32.969
107.477,32.969
108.452,33.000
109.477,33.000
110.514,33.000
111.475,33.000
112.471,32.969
113.473,33.000
114.451,32.938
115.767,33.000
116.450,33.000
117.471,33.000
118.641,33.000
119.473,33.000
120.445,33.000
121.578,33.031
122.444,33.031
123.467,33.062
124.442,33.125
125.610,33.094
126.489,33.094
127.487,33.125
128.443,33.125
129.465,33.125
130.476,33.125
131.462,33.125
132.464,33.188
133.510,33.219
134.485,33.188
135.483,33.219
136.492,33.219
137.463,33.188
138.583,33.094
139.701,33.125
140.481,33.125
141.459,33.125
142.505,33.125
143.506,33.094
144.527,33.125
145.454,33.125
146.535,33.125
147.486,33.188
148.476,33.312
149.451,33.312
150.475,33.344
151.453,33.344
152.473,33.375
153.449,33.312
154.473,33.344
155.485,33.375
156.474,33.375
157.501,33.406
158.470,33.438
159.886,33.406
160.469,33.375
161.545,33.375
162.468,33.375
163.443,33.406
164.466,33.375
165.441,33.375
166.513,33.375
167.440,33.375
168.634,33.375
169.439,33.375
170.463,33.438
171.832,33.438
172.461,33.438
173.437,33.500
174.460,33.562
175.533,33.500
176.459,33.500
177.434,33.531
178.468,33.531
179.433,33.500
180.458,33.531
181.431,33.531
182.482,33.562
183.479,33.531
184.454,33.531
185.478,33.594
186.459,33.594
187.574,33.469
188.452,33.469
189.480,33.562
190.450,33.500
191.766,33.531
192.498,33.531
193.473,33.531
194.448,33.531
195.471,33.562
196.447,33.562
197.470,33.656
198.446,33.656
199.469,33.625
200.492,33.625
201.517,33.625
202.444,33.625
203.467,33.625
204.442,33.625
205.499,33.625
206.441,33.594
207.616,33.594
208.439,33.594
209.463,33.625
210.588,33.625
211.465,33.656
212.437,33.656
213.460,33.688
214.438,33.688
215.460,33.656
216.483,33.688
217.604,33.719
218.433,33.719
219.480,33.719
220.629,33.719
221.456,33.750
222.432,33.750
223.747,33.750
224.429,33.781
225.501,33.812
226.671,33.812
227.452,33.781
228.427,33.781
229.454,33.812
230.523,33.781
231.449,33.781
232.473,33.750
233.448,33.781
234.472,33.656
235.447,33.656
236.471,33.656
237.446,33.688
238.469,33.688
239.493,33.656
240.517,33.750
241.443,33.719
242.467,33.750
243.442,33.719
244.466,33.844
245.440,33.844
246.465,33.812
247.440,33.812
248.612,33.812
249.438,33.812
250.511,33.750
251.635,33.750
252.461,33.750
253.437,33.750
254.459,33.781
255.583,33.750
256.458,33.781
257.433,33.781
258.457,33.750
259.439,33.812
260.456,33.844
261.724,33.812
262.466,33.812
263.430,33.781
264.453,33.781
265.487,33.781
266.459,33.750
267.427,33.688
268.455,33.719
269.433,33.688
270.450,33.688
271.577,33.656
272.449,33.688
273.424,33.688
274.447,33.688
275.422,33.719
276.453,33.750
277.570,33.750
278.449,33.750
279.423,33.750
280.444,33.781
281.467,33.812
282.591,33.781
283.663,33.656
284.447,33.656
285.469,33.594
286.451,33.594
287.539,33.562
288.439,33.531
289.467,33.562
290.492,33.531
291.529,33.531
292.552,33.562
293.461,33.625
294.435,33.625
295.459,33.688
296.628,33.688
297.506,33.750
298.532,33.781
299.456,33.719
300.431,33.750
301.496,33.781
302.478,33.781
303.454,33.781
304.429,33.781
305.501,33.750
306.428,33.750
307.451,33.688
308.426,33.656
309.450,33.656
310.522,33.625
311.648,33.594
312.424,33.562
313.456,33.562
314.423,33.562
315.446,33.594
316.446,33.562
317.445,33.594
318.420,33.594
