df_hash,22ZHK4.QMMKCW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W7UH
person_label,V68
date_time_start,2025-10-31_17-48-12.872000_+03
date_time_start_unix,1761918492.872
date_time_end,2025-10-31_17-56-29.553000_+03
length_difference_noticed,no

time,battery
11.390,31
21.481,31
31.439,31
41.372,31
51.365,31
61.365,31
71.501,31
81.347,31
91.414,31
101.383,31
111.377,31
121.566,31
131.369,30
141.359,31
151.360,31
161.448,31
171.340,31
181.334,31
191.328,30
201.371,30
211.364,30
221.358,30
231.352,30
241.346,30
251.343,30
261.334,30
271.435,30
281.321,30
291.461,30
301.413,30
311.645,30
321.345,29
331.353,29
341.333,29
351.327,29
361.326,29
371.315,29
381.408,29
391.353,29
401.395,29
411.389,29
421.433,29
431.326,29
441.423,29
451.317,28
461.453,28
471.301,28
481.295,28
491.343,28
