df_hash,22ZHK4.EG2MBW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SYEB
person_label,V123
date_time_start,2026-04-06_14-06-02.091000_+03
date_time_start_unix,1775466362.091
date_time_end,2026-04-06_14-14-17.869000_+03
length_difference_noticed,no

time,ppg_med
6.220,850
6.245,976
6.270,1178
6.295,1287
6.320,1245
6.345,1201
6.370,1318
6.395,1531
6.420,1613
6.445,1482
6.470,1343
6.495,1416
6.520,1614
6.545,1627
6.570,1345
6.595,1047
6.620,1031
6.645,1179
6.670,1072
6.695,571
6.720,46
6.745,-103
6.770,-35
6.795,-301
6.820,-1082
6.845,-1887
6.870,-2192
6.895,-2204
6.920,-2639
6.945,-3728
6.970,-4829
6.995,-5267
7.020,-5309
7.045,-5870
7.070,-7242
7.095,-8601
7.120,-9086
7.145,-9036
7.170,-9612
7.195,-11176
7.220,-12686
7.245,-13054
7.270,-12712
7.295,-13113
7.320,-14713
7.345,-16201
7.370,-16217
7.395,-15303
7.420,-15277
7.445,-16705
7.470,-17953
7.495,-17326
7.520,-15503
7.545,-14753
7.570,-15787
7.595,-16568
7.620,-14985
7.645,-11885
7.670,-10111
7.695,-10563
7.720,-10696
7.745,-7858
7.770,-3112
7.795,-52
7.820,162
7.845,748
7.870,5087
7.895,11837
7.920,16371
7.945,17152
7.970,18329
7.995,24349
8.020,32767
8.045,32767
8.070,32767
8.095,32767
8.120,32767
8.145,32767
8.170,32767
8.195,32767
8.220,32767
8.245,32767
8.270,32767
8.295,32767
8.320,32767
8.345,32767
8.370,32767
8.395,32767
8.420,32767
8.445,32767
8.470,22758
8.495,-32768
8.520,-32768
8.545,-32768
8.570,-32768
8.595,-32768
8.620,-32768
8.645,-32768
8.670,-32768
8.695,-32768
8.720,-32768
8.745,-32768
8.770,-32768
8.795,-32768
8.820,-32768
8.845,-32768
8.870,-32768
8.895,-32768
8.920,-32768
8.945,-28069
8.970,-20291
8.995,-17540
9.020,-17386
9.045,-14627
9.070,-8367
9.095,-2713
9.120,-838
9.145,-859
9.170,1216
9.195,6015
9.220,10231
9.245,11284
9.270,10633
9.295,11501
9.320,14497
9.345,17067
9.370,17162
9.395,15912
9.420,15872
9.445,17540
9.470,18897
9.495,18316
9.520,16694
9.545,16062
9.570,16805
9.595,17300
9.620,16251
9.645,14394
9.670,13368
9.695,13484
9.720,13445
9.745,12218
9.770,10398
9.795,9294
9.820,9141
9.845,8894
9.870,7728
9.895,6121
9.920,5109
9.945,4867
9.970,4555
9.995,3542
10.020,2261
10.045,1600
10.070,1728
10.095,1933
10.120,1597
10.145,927
10.170,552
10.195,637
10.220,729
10.245,433
10.270,-67
10.295,-315
10.320,-215
10.345,-116
10.370,-304
10.395,-623
10.420,-731
10.445,-572
10.470,-430
10.495,-528
10.520,-753
10.545,-842
10.570,-743
10.595,-658
10.620,-749
10.645,-928
10.670,-992
10.695,-896
10.720,-794
10.745,-825
10.770,-937
10.795,-979
10.820,-910
10.845,-845
10.870,-898
10.895,-1029
10.920,-1075
10.945,-926
10.970,-617
10.995,-259
11.020,73
11.045,343
11.070,484
11.095,571
11.120,659
11.145,757
11.170,835
11.195,867
11.220,867
11.245,866
11.270,882
11.295,908
11.320,928
11.345,932
11.370,920
11.395,891
11.420,840
11.445,770
11.470,690
11.495,605
11.520,513
11.545,412
11.570,308
11.595,214
11.620,132
11.645,49
11.670,-45
11.695,-145
11.720,-232
11.745,-306
11.770,-396
11.795,-519
11.820,-641
11.845,-672
11.870,-542
11.895,-262
11.920,65
11.945,329
11.970,482
11.995,559
12.020,617
12.045,681
12.070,732
12.095,750
12.120,738
12.145,720
12.170,716
12.195,726
12.220,744
12.245,759
12.270,764
12.295,749
12.320,708
12.345,650
12.370,590
12.395,534
12.420,472
12.445,394
12.470,303
12.495,216
12.520,141
12.545,67
12.570,-13
12.595,-97
12.620,-172
12.645,-243
12.670,-335
12.695,-455
12.720,-557
12.745,-553
12.770,-384
12.795,-82
12.820,245
12.845,493
12.870,630
12.895,697
12.920,749
12.945,804
12.970,842
12.995,847
13.020,831
13.045,820
13.070,828
13.095,848
13.120,861
13.145,857
13.170,833
13.195,793
13.220,738
13.245,670
13.270,592
13.295,504
13.320,411
13.345,319
13.370,236
13.395,161
13.420,84
13.445,-1
13.470,-89
13.495,-168
13.520,-241
13.545,-326
13.570,-433
13.595,-524
13.620,-519
13.645,-358
13.670,-68
13.695,241
13.720,457
13.745,549
13.770,570
13.795,595
13.820,641
13.845,671
13.870,657
13.895,618
13.920,605
13.945,639
13.970,690
13.995,714
14.020,698
14.045,662
14.070,626
14.095,585
14.120,523
14.145,441
14.170,359
14.195,286
14.220,208
14.245,112
14.270,10
14.295,-70
14.320,-123
14.345,-183
14.370,-283
14.395,-393
14.420,-419
14.445,-281
14.470,3
14.495,323
14.520,554
14.545,658
14.570,684
14.595,705
14.620,739
14.645,761
14.670,745
14.695,706
14.720,679
14.745,680
14.770,696
14.795,704
14.820,695
14.845,667
14.870,619
14.895,548
14.920,460
14.945,369
14.970,279
14.995,183
15.020,74
15.045,-36
15.070,-127
15.095,-200
15.120,-287
15.145,-406
15.170,-516
15.195,-523
15.220,-358
15.245,-53
15.270,266
15.295,486
15.320,582
15.345,621
15.370,673
15.395,746
15.420,797
