df_hash,22ZHK4.EG2MBW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SYEB
person_label,V123
date_time_start,2026-04-06_14-06-02.091000_+03
date_time_start_unix,1775466362.091
date_time_end,2026-04-06_14-14-17.869000_+03
length_difference_noticed,no

time,omega
27.212,0.711
28.038,0.714
28.912,0.711
29.605,0.709
30.482,0.711
31.306,0.709
32.142,0.708
32.875,0.708
33.647,0.708
34.592,0.707
35.156,0.705
35.986,0.702
36.913,0.701
37.639,0.700
38.373,0.699
39.247,0.698
40.222,0.694
40.963,0.694
41.648,0.694
42.614,0.694
43.211,0.697
44.268,0.697
45.003,0.698
45.743,0.697
46.812,0.697
47.391,0.697
48.076,0.697
48.565,0.694
52.267,0.694
53.143,0.697
54.849,0.698
55.554,0.698
56.409,0.698
57.103,0.700
58.064,0.700
58.655,0.702
59.458,0.702
60.163,0.703
61.038,0.704
61.780,0.704
62.653,0.703
63.382,0.702
64.257,0.700
65.035,0.700
65.867,0.699
66.647,0.694
67.383,0.690
68.158,0.690
68.934,0.690
70.010,0.689
70.695,0.688
71.274,0.686
71.916,0.684
72.888,0.682
73.671,0.682
74.690,0.682
75.322,0.681
76.201,0.680
76.981,0.679
78.005,0.678
78.736,0.678
79.336,0.679
80.105,0.680
80.737,0.680
81.712,0.682
82.340,0.683
83.078,0.683
83.763,0.683
84.647,0.682
85.322,0.682
86.045,0.682
86.826,0.681
87.568,0.682
88.436,0.682
89.752,0.683
90.597,0.684
91.265,0.684
91.995,0.684
92.932,0.684
93.568,0.684
94.336,0.681
95.015,0.680
95.941,0.678
96.784,0.676
97.552,0.675
98.576,0.675
99.212,0.675
100.047,0.675
100.767,0.675
101.502,0.675
102.136,0.675
102.968,0.678
103.793,0.676
104.474,0.676
105.306,0.676
106.327,0.676
107.202,0.678
108.034,0.682
108.864,0.682
109.743,0.684
110.486,0.686
111.296,0.686
112.097,0.686
112.858,0.686
113.647,0.687
114.466,0.686
115.303,0.686
116.273,0.687
117.198,0.687
118.134,0.687
118.807,0.687
119.681,0.690
120.561,0.690
121.339,0.690
122.073,0.690
122.804,0.690
123.872,0.692
124.471,0.689
125.351,0.689
126.166,0.689
127.192,0.687
127.918,0.688
128.604,0.688
129.479,0.688
130.246,0.690
130.959,0.690
131.873,0.690
132.601,0.688
133.476,0.690
134.218,0.688
134.896,0.688
135.724,0.688
136.647,0.690
137.294,0.690
138.204,0.690
138.899,0.690
139.769,0.688
140.406,0.688
141.276,0.688
142.207,0.687
142.888,0.688
143.767,0.687
144.496,0.689
145.328,0.689
146.015,0.689
146.695,0.691
148.247,0.690
148.934,0.690
149.763,0.688
150.694,0.689
151.273,0.688
152.003,0.688
152.937,0.687
153.661,0.686
154.374,0.683
155.201,0.680
155.907,0.679
156.640,0.682
157.267,0.686
159.564,0.687
160.211,0.686
161.264,0.687
162.097,0.687
162.831,0.687
163.894,0.687
164.339,0.687
165.264,0.688
166.144,0.689
166.825,0.690
167.525,0.690
168.236,0.691
168.928,0.691
169.748,0.692
170.625,0.693
171.502,0.693
172.288,0.695
173.074,0.697
174.184,0.698
174.623,0.698
175.416,0.698
176.231,0.698
177.225,0.698
177.794,0.698
178.619,0.698
179.354,0.699
180.424,0.699
181.154,0.698
181.980,0.698
182.715,0.698
183.413,0.698
184.225,0.698
184.909,0.698
186.032,0.698
186.667,0.698
187.251,0.699
188.073,0.701
188.907,0.699
189.588,0.698
190.321,0.696
191.388,0.695
192.225,0.695
192.952,0.695
193.829,0.696
194.709,0.696
195.347,0.696
196.166,0.695
196.998,0.695
197.875,0.694
198.852,0.695
199.444,0.696
200.066,0.696
200.943,0.696
201.712,0.695
202.506,0.693
203.282,0.693
204.220,0.691
204.807,0.693
205.675,0.695
207.187,0.696
207.819,0.696
208.648,0.697
209.329,0.698
211.083,0.704
217.374,0.711
224.008,0.711
225.574,0.711
226.298,0.711
227.075,0.711
227.810,0.711
228.642,0.703
229.515,0.695
230.196,0.685
231.122,0.677
231.804,0.674
232.541,0.673
233.217,0.669
234.195,0.667
234.777,0.664
235.798,0.661
236.323,0.661
237.262,0.661
237.952,0.660
238.828,0.660
239.650,0.660
251.609,0.661
253.156,0.663
254.078,0.663
254.146,0.665
258.229,0.665
260.078,0.666
261.541,0.669
263.147,0.671
264.028,0.672
265.095,0.676
265.794,0.676
267.582,0.682
268.040,0.682
272.363,0.684
273.191,0.687
274.465,0.694
280.405,0.704
280.702,0.711
284.298,0.714
285.722,0.714
286.556,0.711
287.575,0.704
288.162,0.694
289.037,0.687
290.109,0.687
290.544,0.684
291.426,0.683
292.249,0.681
293.117,0.681
293.759,0.681
294.591,0.681
295.339,0.677
297.858,0.681
298.543,0.681
300.010,0.677
301.940,0.674
302.589,0.674
303.326,0.671
303.902,0.671
305.899,0.671
309.315,0.671
311.020,0.671
311.756,0.668
312.823,0.668
313.451,0.668
314.294,0.668
320.283,0.671
320.969,0.675
322.033,0.675
322.716,0.679
323.458,0.681
324.280,0.682
325.060,0.682
326.632,0.682
329.752,0.686
330.615,0.686
331.591,0.686
334.666,0.695
339.048,0.705
343.887,0.717
356.207,0.717
356.795,0.705
358.550,0.705
358.993,0.705
359.860,0.709
360.697,0.709
362.218,0.709
365.816,0.709
366.596,0.704
367.328,0.704
