df_hash,22ZHK4.GBZGPG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8F48
person_label,V13
date_time_start,2025-05-22_11-00-48.415000_+03
date_time_start_unix,1747900848.415
date_time_end,2025-05-22_11-08-33.854000_+03
length_difference_noticed,no

time,rr_int
9.756,5250
10.746,10
11.023,935
11.413,340
11.901,315
12.397,535
12.685,465
13.509,330
14.777,850
16.825,1275
17.410,2065
17.416,535
17.510,10
18.775,665
18.921,735
19.067,195
19.072,35
19.213,15
19.454,20
20.042,330
20.763,670
21.407,660
21.992,685
22.675,640
23.357,665
24.088,695
24.771,715
25.453,665
25.990,675
26.721,680
27.257,645
27.842,625
28.379,540
28.915,570
29.613,575
30.183,590
31.014,585
31.307,545
31.864,600
32.425,605
33.107,535
33.790,660
34.328,685
35.106,565
35.886,715
36.276,865
36.279,340
36.861,10
37.549,665
38.079,660
38.083,580
38.229,10
38.274,145
38.278,10
38.811,440
39.347,10
39.357,585
39.493,10
39.640,225
39.786,255
41.151,745
41.687,610
42.418,615
42.955,640
43.639,625
44.222,605
44.759,610
45.490,615
46.026,625
46.709,630
47.394,655
48.073,665
48.084,665
48.658,10
49.346,610
49.979,625
50.609,650
51.145,615
51.879,620
52.266,730
52.948,450
52.952,675
53.680,10
54.216,615
54.898,635
55.586,630
56.215,720
56.702,565
57.385,625
57.970,615
58.506,605
59.240,615
59.922,615
60.456,655
60.459,645
61.139,10
61.870,675
62.555,630
63.090,650
63.771,655
64.359,660
64.505,640
65.039,10
65.624,640
66.306,620
66.842,650
67.574,630
68.256,695
69.497,625
70.060,1265
70.450,615
71.037,355
71.297,290
72.010,640
72.263,680
72.449,385
72.693,245
73.911,670
74.496,590
75.032,565
75.619,600
76.300,595
76.836,600
77.421,545
77.957,595
78.640,570
79.371,675
79.517,705
79.956,235
80.736,430
80.788,820
80.833,15
80.888,10
80.931,15
80.935,20
80.940,20
80.944,15
81.129,15
81.419,15
82.150,570
82.686,665
83.369,625
84.057,635
84.636,640
85.318,680
86.148,680
86.977,770
87.805,810
88.683,840
89.365,855
90.206,785
90.878,765
91.584,715
92.331,690
92.972,700
93.804,710
94.337,715
94.340,720
95.069,10
96.047,690
96.434,690
97.116,665
97.853,660
98.384,715
99.219,680
99.798,765
100.480,620
100.578,715
101.065,10
101.308,475
101.358,290
101.361,10
101.458,10
101.461,20
101.602,260
103.503,655
103.510,1310
103.648,10
104.087,120
104.770,420
105.319,635
106.038,610
106.573,650
107.256,600
107.260,735
108.012,15
108.670,605
109.353,710
110.035,690
110.038,685
110.717,10
110.721,720
111.449,10
112.145,690
112.814,690
113.399,710
114.081,665
114.764,645
115.300,625
116.032,630
116.177,690
116.180,130
116.184,15
116.187,10
116.275,15
116.863,100
117.396,350
118.080,780
118.832,700
119.492,700
120.029,685
120.865,630
121.443,665
122.272,635
122.661,825
122.665,410
122.668,10
122.811,10
123.929,730
124.319,525
125.294,515
125.297,925
125.735,10
125.784,360
126.269,10
126.417,685
126.464,10
126.468,10
126.854,20
127.440,400
128.365,560
128.658,1055
128.807,290
128.901,245
128.905,10
129.632,695
129.730,150
131.292,265
131.535,1220
132.509,270
132.655,1095
132.659,25
132.801,15
132.805,60
132.808,35
132.950,30
132.954,40
133.102,240
134.605,735
134.609,795
135.045,10
135.872,505
136.566,745
137.397,820
138.066,755
138.070,675
138.755,10
138.800,685
139.486,10
140.163,695
140.845,695
141.138,775
142.112,195
142.941,1105
142.945,770
143.477,10
143.481,565
144.211,10
144.745,715
145.429,590
146.114,620
146.841,680
147.525,760
148.401,730
149.188,815
149.279,755
149.864,10
150.010,820
150.693,10
151.444,765
152.644,650
153.081,1255
153.231,650
154.779,730
155.034,795
155.569,10
156.396,755
158.054,850
158.785,1680
159.616,795
160.442,815
160.446,825
161.272,10
161.974,815
162.783,760
163.639,785
164.464,820
165.269,805
166.000,840
166.829,810
167.365,735
168.048,625
168.051,730
168.779,10
169.608,690
170.290,815
171.119,720
171.948,815
172.631,805
173.459,750
174.292,840
175.019,770
175.022,790
175.850,10
175.854,730
176.389,10
176.531,665
177.896,10
178.193,1425
178.578,365
179.309,335
179.330,735
179.992,10
180.966,755
181.128,1015
181.259,215
181.264,20
182.332,270
182.478,860
183.214,15
183.891,740
184.720,790
184.723,780
185.549,10
186.378,785
186.382,770
186.524,135
186.528,15
186.575,30
186.579,40
186.582,10
187.066,10
187.206,510
187.210,110
187.213,15
187.645,500
188.330,10
188.337,655
189.010,10
189.013,655
189.162,235
189.206,10
189.303,120
189.449,110
189.839,395
189.843,10
190.668,10
190.671,785
190.717,15
190.721,10
190.724,25
191.350,10
191.356,665
192.081,10
192.764,765
193.446,610
194.136,825
194.860,675
195.543,640
196.088,715
197.347,540
197.788,1270
198.614,465
198.858,875
198.862,230
198.910,10
198.913,15
200.281,10
200.808,1360
201.539,580
202.076,645
202.758,615
202.761,620
202.807,90
202.910,25
203.102,25
203.105,10
203.294,10
203.879,430
204.415,535
204.419,635
204.562,10
204.952,150
205.537,305
206.100,560
206.755,660
206.759,595
207.347,10
208.023,620
208.705,705
208.861,705
208.998,180
209.001,15
209.049,10
209.052,10
209.437,15
210.119,520
210.802,635
211.485,695
211.776,650
212.069,295
212.752,265
213.288,720
214.019,600
214.555,715
214.707,540
