df_hash,22ZHK4.GBZGPG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8F48
person_label,V13
date_time_start,2025-05-22_11-00-48.415000_+03
date_time_start_unix,1747900848.415
date_time_end,2025-05-22_11-08-33.854000_+03
length_difference_noticed,no

time,battery
6.148,36
16.094,36
26.136,36
36.130,36
46.124,36
56.118,36
66.111,36
76.156,36
86.099,36
96.112,36
106.087,36
116.131,36
126.123,36
136.117,36
146.110,36
156.108,36
166.102,36
176.092,36
186.134,36
196.226,36
206.219,36
216.399,35
226.111,35
236.103,35
246.097,35
256.140,35
266.085,35
276.079,35
286.178,35
296.066,35
306.060,35
316.103,35
326.096,35
336.090,35
346.086,35
356.078,35
366.072,35
376.065,35
386.159,35
396.053,35
406.048,35
416.089,35
426.083,35
436.082,35
446.071,35
456.070,35
