df_hash,22ZHK4.GBZGPG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8F48
person_label,V13
date_time_start,2025-05-22_11-00-48.415000_+03
date_time_start_unix,1747900848.415
date_time_end,2025-05-22_11-08-33.854000_+03
length_difference_noticed,no

time,acc_mag
4.339,1.005
4.369,1.007
4.399,1.011
4.429,1.007
4.459,1.003
4.489,1.012
4.519,1.012
4.549,1.004
4.579,1.001
4.609,1.007
4.639,1.009
4.669,1.002
4.699,1.001
4.729,1.014
4.759,1.003
4.789,1.005
4.819,1.012
4.849,1.019
4.879,1.003
4.909,1.007
4.939,1.008
4.969,1.002
4.999,1.007
5.029,1.009
5.059,1.004
5.089,1.005
5.119,1.007
5.149,1.007
5.179,1.008
5.209,1.012
5.239,1.010
5.269,1.004
5.299,1.004
5.329,1.004
5.359,1.012
5.389,1.003
5.419,1.001
5.449,1.004
5.479,1.006
5.509,1.008
5.539,1.011
5.569,1.003
5.599,1.009
5.629,1.011
5.659,0.999
5.689,1.003
5.719,1.010
5.749,1.006
5.779,1.009
5.809,1.009
5.839,1.003
5.869,1.007
5.899,1.007
5.929,1.010
5.959,1.005
5.989,1.004
6.019,1.006
6.049,1.006
6.079,1.000
6.109,1.007
6.139,1.007
6.169,1.005
6.199,1.009
6.229,1.009
6.259,1.000
6.289,1.009
6.319,1.007
6.349,1.002
6.379,1.008
6.409,1.006
6.439,1.004
6.469,1.007
6.499,1.001
6.529,1.002
6.559,1.002
6.589,1.008
6.619,1.016
6.649,1.005
6.679,1.006
6.709,1.006
6.739,1.007
6.769,0.998
6.799,1.009
6.829,1.012
6.859,1.004
6.889,1.007
6.919,1.015
6.949,0.987
6.979,0.973
7.009,0.981
7.039,0.955
7.069,1.005
7.099,1.044
7.129,1.075
7.159,1.056
7.189,1.010
7.219,1.018
7.249,1.035
7.279,1.010
7.309,0.983
7.339,0.995
7.369,0.987
7.399,0.988
7.429,0.998
7.459,1.007
7.489,0.991
7.519,1.003
7.549,1.012
7.579,0.997
7.609,1.005
7.639,1.015
7.669,1.004
7.699,1.005
7.729,1.033
7.759,0.992
7.789,1.000
7.819,0.995
7.849,1.010
7.879,1.004
7.909,1.007
7.939,1.005
7.969,0.979
7.999,1.003
8.029,1.023
8.059,0.998
8.089,1.011
8.119,1.008
8.149,1.007
8.179,1.004
8.209,1.004
8.239,1.022
8.269,1.004
8.299,1.010
8.329,1.003
8.359,1.002
8.389,0.996
8.419,0.996
8.449,1.003
8.479,0.997
8.509,1.003
8.539,1.006
8.569,1.007
8.599,1.011
8.629,1.027
8.659,1.005
8.689,1.003
8.719,1.016
8.749,1.006
8.779,1.011
8.809,1.008
8.839,1.010
8.869,1.004
8.899,0.992
8.929,1.024
8.959,1.010
8.989,1.005
9.019,1.009
9.049,1.010
9.079,0.999
9.109,1.008
9.139,1.014
9.169,1.019
9.199,1.009
9.229,1.021
9.259,1.009
9.289,1.006
9.319,1.005
9.349,1.010
9.379,1.001
9.409,1.013
9.439,1.009
9.469,1.005
9.499,1.007
9.529,1.022
9.559,1.008
9.589,0.998
9.619,1.003
9.649,1.014
9.679,1.020
9.709,1.042
9.739,1.019
9.769,1.008
9.799,1.014
9.829,1.018
9.859,1.005
9.889,1.014
9.919,1.026
9.949,1.040
9.979,1.002
10.009,1.043
10.039,1.003
10.069,1.015
10.099,0.996
10.129,1.012
10.159,1.029
10.189,1.005
10.219,0.989
10.249,0.997
10.279,1.021
10.309,1.027
10.339,1.019
10.369,1.019
10.399,1.015
10.429,1.002
10.459,1.028
10.489,1.030
10.519,1.021
10.549,0.972
10.579,0.999
10.609,1.035
10.639,1.040
10.669,1.021
10.699,1.002
10.729,1.004
10.759,0.997
10.789,1.000
10.819,1.019
10.849,1.033
10.879,1.020
10.909,1.035
10.939,1.023
10.969,1.029
10.999,1.025
11.029,0.981
11.059,0.997
11.089,0.961
11.119,1.005
11.149,1.030
11.179,0.998
11.209,1.020
11.239,1.016
11.269,1.026
11.299,1.007
11.329,0.991
11.359,1.018
11.389,1.018
11.419,1.033
11.449,1.046
11.479,1.015
11.509,0.987
11.539,0.974
11.569,1.010
11.599,1.001
11.629,1.026
11.659,0.987
11.689,0.980
11.719,1.012
11.749,1.028
11.779,1.021
11.809,1.020
11.839,1.031
11.869,1.029
11.899,1.025
11.929,1.031
11.959,1.006
11.989,0.970
12.019,1.007
12.049,0.993
12.079,1.022
12.109,0.998
12.139,1.032
12.169,1.005
12.199,1.017
12.229,1.038
12.259,1.035
12.289,1.009
12.319,1.029
12.349,1.010
12.379,0.996
12.409,0.996
12.439,0.987
12.469,1.009
12.499,1.016
12.529,1.027
12.559,0.998
12.589,1.014
12.619,1.011
12.649,1.033
12.679,1.028
12.709,1.013
12.739,1.014
12.769,1.020
12.799,1.025
12.829,1.015
12.859,1.005
12.889,1.015
12.919,1.012
12.949,1.010
12.979,1.021
13.009,1.026
13.039,1.030
13.069,1.008
13.099,1.021
13.129,1.036
13.159,1.016
13.189,0.986
13.219,1.018
13.249,1.017
13.279,1.013
13.309,1.021
13.339,1.013
13.369,1.020
13.399,1.015
13.429,1.031
13.459,1.044
13.489,1.008
13.519,1.010
13.549,1.010
13.579,1.018
13.609,1.022
13.639,1.014
13.669,1.018
13.699,1.019
