df_hash,22ZHK4.GBZGPG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8F48
person_label,V13
date_time_start,2025-05-22_11-00-48.415000_+03
date_time_start_unix,1747900848.415
date_time_end,2025-05-22_11-08-33.854000_+03
length_difference_noticed,no

time,heart_rate
6.441,46
7.611,46
8.788,46
9.414,46
10.737,46
11.560,46
12.388,46
13.558,46
14.484,46
15.364,46
16.532,46
17.802,46
18.359,46
19.506,46
20.432,46
21.309,46
22.480,46
23.406,46
24.283,91
25.897,90
26.379,89
27.260,89
28.476,89
29.357,89
30.253,89
31.480,93
32.327,95
33.208,97
34.423,98
35.301,99
36.221,98
37.399,98
38.281,98
39.152,98
40.371,98
41.298,98
42.127,98
43.344,98
44.276,98
45.148,98
46.367,98
47.196,98
48.122,97
49.294,96
50.170,95
51.096,95
52.298,95
53.143,95
54.070,96
55.248,96
56.166,96
57.043,96
58.217,95
59.140,95
60.017,95
61.227,95
62.113,95
63.016,95
64.161,94
65.087,93
65.965,93
67.135,93
68.061,93
68.938,93
70.108,93
71.230,93
71.912,93
73.131,93
74.009,93
74.886,93
76.105,93
76.982,94
77.908,96
79.080,97
79.960,96
80.838,96
82.052,94
82.930,92
83.832,91
85.026,91
85.903,91
86.781,91
88.000,89
88.877,90
89.803,85
90.973,83
91.851,81
92.777,81
93.947,81
94.825,82
95.751,83
96.921,84
97.799,84
98.725,85
99.895,85
100.796,86
101.699,86
102.868,85
103.747,85
104.672,85
105.842,85
106.720,85
107.646,88
108.840,90
109.694,90
110.644,90
111.791,89
112.716,89
113.600,88
114.768,88
115.641,88
116.616,89
117.737,89
118.664,89
119.541,89
120.714,88
121.630,88
122.515,88
123.685,89
124.562,88
125.489,88
126.662,88
127.575,88
128.462,88
129.659,88
130.510,88
131.436,83
132.606,81
133.532,83
134.410,82
135.605,82
136.460,82
137.385,82
138.564,75
139.434,80
140.359,79
141.527,81
142.405,81
143.331,83
144.502,84
145.379,83
146.305,83
147.475,86
148.648,86
149.286,85
150.449,84
151.364,82
152.252,82
153.422,82
154.353,82
155.232,82
156.838,82
157.275,78
158.200,78
159.370,76
160.247,76
161.177,75
162.344,75
163.225,76
164.164,76
165.318,76
166.252,76
167.227,76
168.291,76
169.250,76
170.095,79
171.268,81
172.143,80
173.069,80
174.243,79
175.165,78
176.043,77
177.362,77
178.093,78
179.023,79
180.186,80
181.064,81
181.990,81
183.160,80
184.038,79
184.964,78
186.137,78
187.014,77
187.941,77
189.110,78
189.985,77
190.962,79
192.087,77
192.959,79
193.891,79
195.056,80
196.079,79
196.859,79
198.029,79
198.955,79
199.833,79
201.003,79
201.929,79
202.810,79
203.977,79
204.903,79
205.780,79
206.950,79
207.877,79
208.814,79
209.924,81
210.851,83
211.728,84
212.898,86
213.824,87
214.848,89
215.872,90
217.093,91
217.675,90
218.849,92
219.772,90
220.649,90
221.822,90
222.745,94
223.623,91
224.793,92
225.719,91
226.599,91
227.767,91
228.693,91
229.597,93
230.743,91
231.667,96
232.548,93
234.009,92
234.640,92
235.556,92
236.706,93
237.614,95
238.495,96
239.662,95
240.588,95
241.469,95
242.635,95
243.562,95
244.439,95
245.609,95
246.556,95
247.413,95
248.585,95
249.620,95
250.387,99
251.557,101
252.483,104
253.361,105
254.826,103
255.457,103
256.361,104
257.504,105
258.430,106
259.308,107
260.527,107
261.404,106
262.332,105
263.452,103
264.378,104
265.256,103
266.429,103
267.353,99
268.232,101
269.399,98
270.325,99
271.208,92
272.374,96
273.301,92
274.177,92
275.405,90
276.276,88
277.178,86
278.321,85
279.247,84
280.124,84
281.343,84
282.221,84
283.098,84
284.317,80
285.202,78
286.092,76
287.291,75
288.168,76
289.046,76
290.264,75
291.142,70
292.019,67
293.238,66
294.166,67
294.995,68
296.212,70
297.089,71
298.016,71
299.186,70
300.063,70
300.941,70
302.200,70
303.086,70
303.915,70
305.163,73
306.011,72
306.937,71
308.107,71
308.985,74
309.920,77
311.081,79
311.958,79
312.885,79
314.054,78
315.078,78
315.858,78
317.028,79
317.909,79
318.832,80
320.002,80
320.909,81
321.806,81
322.982,81
323.876,80
324.780,80
325.953,80
326.864,80
327.753,80
328.923,80
329.801,80
330.727,79
331.897,78
332.775,77
333.701,76
334.871,76
335.748,76
336.675,76
337.868,75
338.723,74
339.746,72
340.819,70
341.793,71
342.641,71
343.940,71
344.735,70
345.596,70
346.766,70
347.699,70
348.571,70
349.740,70
350.675,80
351.544,81
352.714,81
353.640,80
354.518,80
355.687,80
356.617,81
357.491,82
359.149,82
359.587,83
360.465,82
361.635,82
362.561,80
363.439,80
364.609,80
365.535,80
366.417,81
367.584,81
368.509,82
369.435,82
370.556,81
371.486,81
372.360,80
373.579,79
374.459,80
375.379,80
376.552,80
377.528,81
378.307,81
379.541,80
380.404,80
381.284,80
382.549,80
383.377,80
384.255,80
385.474,80
386.361,80
387.229,81
388.447,81
389.336,81
390.246,81
391.421,81
392.299,81
393.180,82
394.395,82
395.273,83
396.190,84
397.369,84
398.246,84
399.138,84
400.342,84
401.222,85
402.097,85
403.316,84
404.202,84
405.071,83
406.290,82
407.168,81
408.045,81
409.264,81
410.203,81
411.022,81
412.237,81
413.115,81
413.996,81
415.213,81
416.093,81
416.987,81
418.185,81
419.063,84
419.940,84
