df_hash,22ZHK4.GBZGPG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8F48
person_label,V13
date_time_start,2025-05-22_11-00-48.415000_+03
date_time_start_unix,1747900848.415
date_time_end,2025-05-22_11-08-33.854000_+03
length_difference_noticed,no

time,quality
6.444,55
7.614,63
8.795,60
9.418,44
10.741,1
11.564,0
12.392,0
13.562,0
14.489,0
15.657,0
16.537,0
17.807,0
18.533,4
19.509,0
20.436,0
21.315,0
22.488,0
23.409,40
24.287,68
25.904,83
26.385,81
27.410,82
28.482,66
29.601,41
30.331,49
31.794,63
32.330,80
33.256,81
34.426,68
35.304,58
36.224,20
37.544,28
38.375,31
39.156,27
40.374,0
41.307,40
42.224,46
43.349,52
44.281,65
45.152,72
46.370,81
47.200,85
48.125,74
49.341,77
50.174,85
51.099,83
52.310,81
53.147,63
54.073,64
55.581,60
56.170,56
57.049,59
58.265,75
59.146,74
60.020,78
61.230,73
62.116,73
63.019,79
64.164,84
65.091,84
65.970,87
67.142,87
68.066,88
68.943,72
70.114,70
71.237,54
71.915,50
73.136,42
74.017,41
74.891,45
76.108,38
76.986,49
77.920,64
79.086,75
80.203,35
80.882,30
82.057,35
82.933,63
84.051,63
85.031,59
85.907,66
86.784,69
88.005,45
88.882,41
89.807,61
90.977,84
91.854,72
92.781,55
93.951,64
94.828,75
95.754,80
96.924,81
97.802,83
98.728,82
99.898,77
100.799,75
101.702,61
102.872,43
104.041,34
104.676,31
105.845,31
106.723,35
107.649,43
108.843,49
109.697,69
110.647,77
112.131,73
112.721,86
113.890,85
115.059,88
115.644,72
116.619,68
117.743,66
118.669,60
119.546,60
120.860,70
121.636,67
122.519,66
123.689,54
124.566,36
125.492,24
126.710,0
127.581,3
128.466,0
129.662,16
130.513,0
131.440,30
132.610,29
133.536,0
134.414,0
135.608,0
136.560,0
137.390,22
138.749,28
139.480,33
140.653,39
141.533,61
142.408,48
143.334,42
144.505,38
145.382,39
146.309,39
147.478,44
148.651,47
149.477,29
150.452,48
151.424,79
152.256,75
153.426,40
154.595,29
155.278,34
156.844,30
157.521,35
158.206,36
159.374,46
160.251,44
161.223,40
162.347,45
163.370,60
164.197,76
165.333,74
166.268,72
167.236,72
168.298,57
169.513,44
170.098,61
171.414,68
172.146,50
173.081,57
174.287,67
175.168,74
176.046,71
177.365,71
178.188,65
179.167,66
180.189,67
181.075,63
181.996,60
183.172,63
184.041,71
184.967,70
186.234,73
187.060,76
188.182,77
189.156,53
189.988,49
191.207,47
192.180,35
192.964,47
194.129,48
195.067,44
196.083,36
196.862,38
198.033,28
198.959,23
199.836,0
201.006,0
201.932,0
202.904,24
203.980,25
204.913,35
205.783,32
206.955,26
207.881,21
208.853,18
209.928,25
210.854,35
211.733,46
212.901,58
213.828,61
214.852,65
215.875,54
217.097,45
217.678,42
218.994,46
219.775,46
220.652,32
221.916,39
222.749,44
223.629,0
224.799,25
225.723,0
226.645,0
227.770,0
228.696,22
229.604,43
231.084,22
231.670,30
232.593,21
234.014,31
234.645,25
235.565,39
236.737,37
237.617,42
238.797,54
239.665,28
240.593,0
241.761,0
242.639,34
243.565,32
244.443,0
245.613,26
246.783,0
247.418,0
248.732,18
249.805,20
250.390,31
251.561,32
252.486,34
253.364,31
254.829,29
255.460,29
256.627,38
257.508,46
258.434,57
259.311,65
260.530,64
261.407,67
262.574,65
263.501,56
264.381,36
265.259,28
266.475,40
267.647,41
268.236,38
269.403,39
270.329,35
271.353,35
272.422,27
273.549,36
274.180,53
275.411,45
276.471,41
277.200,65
278.324,73
279.250,66
280.131,83
281.346,77
282.224,45
283.102,40
284.321,59
285.341,74
286.170,52
287.294,44
288.172,30
289.049,34
290.268,0
291.145,38
292.023,43
293.262,63
294.175,73
295.188,69
296.218,68
297.093,63
298.019,54
299.192,48
300.066,43
300.944,39
302.204,29
303.089,35
303.919,30
305.166,40
306.014,50
306.940,33
308.110,0
308.988,37
309.948,37
311.084,54
311.963,66
312.888,72
314.058,81
315.082,76
315.862,74
317.035,76
318.006,77
318.842,68
320.005,67
320.913,71
321.810,68
323.122,70
324.149,74
324.786,80
325.999,81
327.122,80
327.762,76
328.929,82
329.804,79
330.731,56
331.902,57
332.778,63
333.706,67
334.874,62
335.752,76
336.680,79
338.088,57
338.726,63
339.753,52
340.825,51
341.798,31
342.918,35
343.945,43
344.866,28
345.645,0
346.769,28
347.702,0
348.864,37
349.745,29
351.010,32
351.548,42
352.717,47
353.689,62
354.525,60
355.694,54
356.857,52
357.497,70
359.153,73
359.593,73
360.471,61
361.638,75
362.564,78
363.443,90
364.612,77
365.584,67
366.476,63
367.829,71
368.512,77
369.439,77
370.560,75
371.583,76
372.364,82
373.582,85
374.508,70
375.480,73
376.558,67
377.533,72
378.314,75
379.627,76
380.409,69
381.430,70
382.555,65
383.387,64
384.258,73
385.484,75
386.400,78
387.234,69
388.454,69
389.471,68
390.250,70
391.425,73
392.305,77
393.228,79
394.398,75
395.276,74
396.197,72
397.372,66
398.250,72
399.186,82
400.349,83
401.320,82
402.101,87
403.322,69
404.243,67
405.075,79
406.293,86
407.171,85
408.051,85
409.267,84
410.437,83
411.120,77
412.298,65
413.118,46
414.044,38
415.309,34
416.187,0
416.992,0
418.189,0
419.067,33
419.945,38
421.405,51
