df_hash,22ZHK4.GBZGPG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8F48
person_label,V13
date_time_start,2025-05-22_11-00-48.415000_+03
date_time_start_unix,1747900848.415
date_time_end,2025-05-22_11-08-33.854000_+03
length_difference_noticed,no

time,ppg_quality
57.419,45
59.439,41
61.459,48
62.469,56
63.479,59
64.489,62
65.499,59
66.509,60
68.519,70
70.539,88
72.559,80
74.579,68
75.589,64
77.609,66
79.629,43
81.649,25
83.669,31
85.689,44
86.699,42
88.719,45
90.739,54
91.749,57
92.759,61
94.779,63
95.789,65
96.799,68
97.809,67
98.819,65
99.829,60
101.839,47
103.859,52
105.879,50
106.889,48
107.899,49
108.909,48
109.919,48
110.929,49
112.949,54
114.969,48
116.989,45
119.009,34
121.029,34
122.039,34
124.059,28
126.079,18
128.099,17
139.199,8
140.209,30
141.219,48
144.249,44
145.259,45
146.269,50
147.279,51
148.289,54
150.309,52
151.319,46
152.329,45
155.359,23
157.379,30
158.389,33
159.399,35
161.419,49
163.439,64
165.459,88
166.469,90
168.489,82
170.509,80
172.529,69
174.549,69
176.569,65
177.579,61
179.599,59
181.619,54
183.639,53
185.659,45
186.669,47
187.679,49
188.689,48
189.699,44
190.709,40
192.729,28
194.749,38
196.769,41
197.779,27
198.789,18
201.819,33
203.839,37
205.859,15
207.879,13
209.899,9
210.909,9
211.919,13
214.949,11
216.969,14
218.989,18
221.009,20
222.019,16
223.029,9
224.039,5
226.059,12
229.089,6
230.099,10
232.119,10
233.129,12
234.139,14
248.279,3
254.339,5
256.359,28
257.369,30
259.389,36
260.399,47
261.409,50
263.429,56
265.449,44
267.469,38
270.499,36
272.519,24
273.529,15
274.539,2
276.559,14
278.579,23
281.609,29
283.629,45
285.649,53
287.669,57
289.689,58
290.699,63
291.709,69
292.719,72
294.739,80
296.759,83
298.779,90
300.799,95
303.829,86
304.839,88
305.849,82
307.869,73
309.889,61
310.899,63
311.909,65
312.919,65
314.939,62
316.959,63
318.979,70
319.989,69
320.999,65
322.009,64
323.019,65
324.029,65
325.039,62
326.049,64
328.069,68
330.089,73
332.109,71
334.129,66
335.139,64
336.149,62
337.159,61
338.169,58
339.179,57
341.199,50
343.219,52
345.239,56
347.259,54
348.269,49
350.289,58
351.299,58
352.309,57
354.329,58
356.349,54
358.369,55
359.379,48
361.399,42
363.419,42
365.439,47
367.459,54
368.469,59
369.479,64
370.489,70
372.509,73
374.529,74
376.549,76
378.569,76
379.579,74
380.589,74
382.609,72
383.619,72
385.639,71
387.659,70
389.679,65
391.699,55
392.709,53
394.729,40
396.749,31
397.759,31
398.769,34
400.789,44
402.809,39
403.819,37
405.839,51
407.859,52
409.879,51
410.889,51
411.899,55
413.919,66
414.929,60
416.949,49
418.969,42
420.989,39
423.009,38
425.029,39
426.039,39
427.049,39
428.059,41
430.079,46
431.089,44
432.099,43
434.119,47
436.139,56
437.149,62
439.169,61
441.189,63
443.209,54
445.229,50
446.239,51
447.249,54
448.259,56
450.279,62
451.289,59
452.299,62
454.319,82
457.349,55
458.359,48
459.369,44
461.389,34
