df_hash,22ZHK4.0K8Q7Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XHK9
person_label,V147
date_time_start,2026-06-08_17-10-02.041000_+03
date_time_start_unix,1780920602.041
date_time_end,2026-06-08_17-29-24.124000_+03
length_difference_noticed,no

time,temperature
5.150,22.000
6.160,21.984
7.123,21.969
8.152,21.938
9.122,21.906
10.147,21.891
11.521,21.875
12.175,21.875
13.220,21.906
14.154,21.938
15.325,21.953
16.143,21.938
17.118,21.969
18.142,21.953
19.119,21.969
20.150,21.969
21.509,21.969
22.141,22.078
23.165,22.281
24.140,22.469
25.115,22.719
26.382,22.969
27.217,23.234
28.334,23.562
29.162,23.875
30.153,24.234
31.160,24.641
32.156,24.906
33.161,25.094
34.135,25.250
35.169,25.406
36.133,25.594
37.158,25.781
38.133,25.906
39.166,26.125
40.143,26.250
41.155,26.375
42.279,26.562
43.154,26.734
44.181,26.938
45.256,27.094
46.129,27.266
47.152,27.438
48.228,27.656
49.151,27.875
50.129,28.125
51.175,28.312
52.129,28.516
53.155,28.703
54.125,28.875
55.154,29.047
56.124,29.203
57.147,29.359
58.223,29.500
59.158,29.562
60.122,29.625
61.146,29.719
62.121,29.812
63.144,29.875
64.120,29.938
65.149,30.016
66.119,30.047
67.142,30.109
68.137,30.125
69.242,30.188
70.411,30.266
71.144,30.328
72.164,30.375
73.139,30.453
74.116,30.500
75.138,30.578
76.162,30.656
77.186,30.812
78.307,30.922
79.141,31.078
80.407,31.125
81.135,31.312
82.256,31.500
83.134,31.672
84.158,31.875
85.526,32.000
86.157,32.188
87.327,32.250
88.157,32.406
89.131,32.438
90.399,32.656
91.136,32.656
92.154,32.688
93.129,32.688
94.153,32.719
95.128,32.719
96.152,32.750
97.127,32.781
98.151,32.812
99.156,32.812
100.247,32.812
101.125,32.844
102.151,32.875
103.225,32.906
104.151,32.938
105.172,33.000
106.147,33.000
107.146,33.031
108.146,33.094
109.122,33.125
110.145,33.125
111.266,33.188
112.293,33.219
113.176,33.281
114.191,33.375
115.118,33.500
116.147,33.594
117.312,33.750
118.141,33.844
119.116,33.938
120.148,34.031
121.115,34.188
122.162,34.312
123.114,34.375
124.145,34.406
125.161,34.375
126.162,34.438
127.210,34.406
128.188,34.438
129.159,34.406
130.135,34.406
131.162,34.438
132.433,34.438
133.353,34.500
134.136,34.531
135.157,34.656
136.132,34.688
137.222,34.812
138.178,34.906
139.158,35.031
140.130,35.125
141.158,35.188
142.129,35.312
143.153,35.344
144.150,35.406
145.156,35.406
146.126,35.469
147.151,35.500
148.275,35.469
149.400,35.469
150.248,35.500
151.193,35.531
152.276,35.562
153.148,35.562
154.220,35.562
155.180,35.594
156.207,35.562
157.145,35.594
158.169,35.625
159.144,35.625
160.162,35.625
161.144,35.625
162.124,35.625
163.439,35.625
164.365,35.656
165.172,35.719
166.263,35.781
167.140,35.781
168.175,35.750
169.288,35.781
170.153,35.781
171.138,35.812
172.213,35.812
173.137,35.812
174.161,35.812
175.165,35.781
176.160,35.750
177.135,35.781
178.235,35.844
179.235,35.812
180.158,35.875
181.133,35.875
182.162,35.906
183.132,35.938
184.156,35.938
185.131,35.969
186.165,36.031
187.130,36.031
188.157,36.031
189.128,36.062
190.153,36.031
191.216,36.031
192.152,36.000
193.130,36.031
194.297,36.031
195.175,36.031
196.154,35.969
197.146,35.969
198.197,36.000
199.186,36.031
200.537,36.000
201.220,36.000
202.193,36.031
203.365,36.000
204.145,36.031
205.147,36.031
206.144,36.000
207.120,36.000
208.206,36.000
209.146,35.969
210.454,35.969
211.123,36.000
212.141,36.000
213.157,36.031
214.189,36.000
215.115,36.031
216.153,36.094
217.163,36.094
218.188,36.125
219.117,36.156
220.188,36.219
221.258,36.250
222.185,36.312
223.160,36.375
224.136,36.406
225.159,36.406
226.380,36.438
227.255,36.469
228.219,36.469
229.205,36.500
230.132,36.500
231.156,36.625
232.131,36.625
233.155,36.625
234.135,36.625
235.158,36.656
236.424,36.656
237.153,36.688
238.133,36.719
239.154,36.750
240.227,36.781
241.199,36.719
242.174,36.719
243.152,36.719
244.125,36.750
245.148,36.781
246.160,36.812
247.439,36.812
248.122,36.812
249.146,36.812
250.127,36.812
251.145,36.812
252.143,36.812
253.144,36.844
254.119,36.844
255.143,36.812
256.410,36.812
257.150,36.781
258.166,36.781
259.160,36.781
260.116,36.781
261.465,36.781
262.118,36.781
263.139,36.781
264.137,36.750
265.138,36.781
266.161,36.750
267.137,36.719
268.113,36.750
269.136,36.719
270.111,36.719
271.184,36.719
272.405,36.719
273.134,36.719
274.163,36.719
275.133,36.719
276.158,36.719
277.137,36.719
278.200,36.750
279.130,36.750
280.154,36.719
281.473,36.750
282.154,36.875
283.130,36.844
284.167,36.875
285.127,36.844
286.151,36.875
287.141,36.812
288.150,36.812
289.236,36.781
290.176,36.812
291.124,36.812
292.178,36.656
293.123,36.688
294.146,36.656
295.122,36.625
296.148,36.656
297.158,36.656
298.145,36.625
299.123,36.688
300.144,36.656
301.124,36.688
302.209,36.688
303.215,36.688
304.143,36.688
305.117,36.719
306.146,36.719
307.123,36.719
308.386,36.656
309.169,36.625
310.144,36.656
311.114,36.656
312.170,36.625
313.118,36.625
314.136,36.625
315.332,36.656
316.144,36.625
317.115,36.656
