df_hash,22ZHK4.1W3XND
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4CB
person_label,V58
date_time_start,2025-10-31_15-16-19.977000_+03
date_time_start_unix,1761909379.977
date_time_end,2025-10-31_15-24-33.566000_+03
length_difference_noticed,no

time,temperature
15.490,34.531
16.466,34.531
17.489,34.500
18.486,34.531
19.488,34.531
20.463,34.469
21.487,34.500
22.511,34.469
23.878,34.438
24.463,34.469
25.485,34.500
26.803,34.531
27.491,34.594
28.459,34.562
29.493,34.594
30.457,34.594
31.480,34.562
32.505,34.594
33.480,34.656
34.672,34.656
35.478,34.656
36.453,34.688
37.477,34.688
38.452,34.750
39.917,34.719
40.599,34.750
41.475,34.750
42.450,34.812
43.473,34.781
44.497,34.781
45.472,34.781
46.740,34.781
47.471,34.781
48.495,34.812
49.498,34.844
50.788,34.875
51.468,34.906
52.492,34.906
53.467,34.938
54.495,34.969
55.563,34.969
56.461,34.969
57.487,34.938
58.510,34.906
59.463,34.906
60.438,34.906
61.708,34.906
62.829,34.875
63.509,34.875
64.533,34.844
65.459,34.875
66.468,34.812
67.462,34.844
68.539,34.812
69.465,34.781
70.481,34.844
71.456,34.844
72.746,34.906
73.455,34.938
74.478,34.969
75.453,35.000
76.477,35.062
77.453,35.062
78.476,35.125
79.451,35.125
80.519,35.094
81.450,35.125
82.522,35.031
83.449,35.031
84.472,35.031
85.447,35.062
86.471,35.062
87.516,35.031
88.470,35.031
89.445,35.062
90.469,35.094
91.444,35.125
92.467,35.156
93.442,35.125
94.709,35.156
95.441,35.156
96.465,35.125
97.441,35.156
98.617,35.188
99.439,35.188
100.462,35.156
101.437,35.156
102.471,35.156
103.485,35.125
104.460,35.094
105.728,35.094
106.459,35.125
107.482,35.125
108.457,35.156
109.627,35.156
110.456,35.188
111.677,35.219
112.456,35.188
113.478,35.219
114.454,35.219
115.477,35.156
116.452,35.156
117.479,35.156
118.451,35.188
119.482,35.188
120.596,35.156
121.474,35.188
122.646,35.188
123.473,35.219
124.447,35.250
125.574,35.344
126.446,35.344
127.470,35.312
128.445,35.281
129.472,35.281
130.492,35.250
131.467,35.250
132.480,35.281
133.466,35.250
134.441,35.250
135.562,35.188
136.644,35.219
137.468,35.219
138.439,35.219
139.467,35.219
140.460,35.250
141.461,35.281
142.448,35.250
143.508,35.281
144.435,35.281
145.458,35.281
146.579,35.312
147.457,35.312
148.569,35.312
149.456,35.375
150.431,35.375
151.464,35.344
152.527,35.375
153.507,35.375
154.526,35.406
155.452,35.375
156.574,35.375
157.503,35.375
158.475,35.375
159.745,35.312
160.473,35.344
161.449,35.344
162.473,35.281
163.694,35.281
164.471,35.250
165.446,35.281
166.474,35.281
167.740,35.281
168.568,35.281
169.444,35.312
170.769,35.344
171.451,35.344
172.466,35.375
173.441,35.375
174.562,35.438
175.488,35.438
176.463,35.438
177.469,35.438
178.462,35.469
179.442,35.469
180.467,35.438
181.485,35.438
182.467,35.438
183.435,35.438
184.459,35.406
185.485,35.406
186.458,35.438
187.433,35.469
188.702,35.438
189.483,35.438
190.512,35.438
191.435,35.438
192.453,35.469
193.451,35.406
194.453,35.438
195.427,35.438
196.451,35.406
197.475,35.406
198.599,35.438
199.720,35.438
200.449,35.406
201.575,35.375
202.448,35.375
203.471,35.438
204.543,35.406
205.421,35.375
206.483,35.375
207.493,35.375
208.443,35.375
209.419,35.375
210.443,35.375
211.569,35.375
212.441,35.406
213.614,35.344
214.735,35.312
215.464,35.250
216.439,35.281
217.463,35.312
218.438,35.281
219.461,35.312
220.442,35.344
221.551,35.344
222.435,35.312
223.459,35.406
224.436,35.438
225.460,35.500
226.434,35.531
227.457,35.500
228.431,35.562
229.458,35.531
230.430,35.500
231.454,35.562
232.429,35.562
233.453,35.562
234.428,35.594
235.500,35.562
236.575,35.531
237.454,35.562
238.425,35.562
239.455,35.594
240.424,35.594
241.448,35.594
242.423,35.594
243.471,35.594
244.422,35.562
245.448,35.594
246.420,35.594
247.460,35.594
248.419,35.562
249.444,35.562
250.421,35.562
251.539,35.531
252.466,35.562
253.440,35.562
254.416,35.562
255.439,35.594
256.463,35.594
257.684,35.562
258.414,35.562
259.437,35.594
260.443,35.562
261.460,35.562
262.487,35.531
263.631,35.531
264.460,35.562
265.433,35.562
266.505,35.562
267.432,35.594
268.455,35.688
269.480,35.688
270.454,35.688
271.430,35.719
272.647,35.750
273.429,35.719
274.452,35.719
275.427,35.750
276.450,35.719
277.425,35.656
278.451,35.594
279.520,35.562
280.448,35.531
281.423,35.500
282.446,35.531
283.666,35.500
284.445,35.500
285.420,35.469
286.444,35.469
287.421,35.500
288.503,35.500
289.436,35.500
290.442,35.531
291.468,35.562
292.441,35.594
293.420,35.594
294.685,35.625
295.414,35.625
296.451,35.656
297.413,35.656
298.436,35.656
299.415,35.656
300.435,35.656
301.410,35.656
302.539,35.625
303.409,35.688
304.433,35.625
305.563,35.625
306.438,35.625
307.455,35.562
308.430,35.625
309.457,35.594
310.429,35.625
311.454,35.625
312.428,35.656
313.451,35.656
314.432,35.656
315.451,35.688
316.425,35.688
317.449,35.719
318.446,35.688
319.447,35.719
320.767,35.688
321.447,35.688
322.422,35.688
323.452,35.656
324.429,35.656
325.444,35.656
326.439,35.656
327.445,35.656
328.418,35.688
