df_hash,22ZHK4.1W3XND
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4CB
person_label,V58
date_time_start,2025-10-31_15-16-19.977000_+03
date_time_start_unix,1761909379.977
date_time_end,2025-10-31_15-24-33.566000_+03
length_difference_noticed,no

time,acc_mag
15.097,1.033
15.127,1.025
15.157,1.041
15.187,1.033
15.217,1.032
15.247,1.032
15.277,1.037
15.307,1.035
15.337,1.033
15.367,1.030
15.397,1.034
15.427,1.034
15.457,1.029
15.487,1.032
15.517,1.031
15.547,1.033
15.577,1.032
15.607,1.033
15.637,1.033
15.667,1.032
15.697,1.033
15.727,1.030
15.757,1.035
15.787,1.033
15.817,1.031
15.847,1.034
15.877,1.032
15.907,1.033
15.937,1.036
15.967,1.032
15.997,1.032
16.027,1.032
16.057,1.030
16.087,1.031
16.117,1.041
16.147,1.034
16.177,1.031
16.207,1.029
16.237,1.029
16.267,1.037
16.297,1.033
16.327,1.034
16.357,1.035
16.387,1.033
16.417,1.032
16.447,1.035
16.477,1.035
16.507,1.033
16.537,1.035
16.567,1.032
16.597,1.037
16.627,1.034
16.657,1.033
16.687,1.029
16.717,1.041
16.747,1.029
16.777,1.032
16.807,1.033
16.837,1.032
16.867,1.028
16.897,1.037
16.927,1.035
16.957,1.031
16.987,1.035
17.017,1.037
17.047,1.025
17.077,1.037
17.107,1.034
17.137,1.034
17.167,1.033
17.197,1.033
17.227,1.036
17.257,1.035
17.287,1.033
17.317,1.035
17.347,1.030
17.377,1.029
17.407,1.030
17.437,1.033
17.467,1.031
17.497,1.033
17.527,1.034
17.557,1.033
17.587,1.034
17.617,1.034
17.647,1.029
17.677,1.040
17.707,1.031
17.737,1.035
17.767,1.035
17.797,1.031
17.827,1.030
17.857,1.035
17.887,1.037
17.917,1.033
17.947,1.032
17.977,1.032
18.007,1.029
18.037,1.040
18.067,1.030
18.097,1.032
18.127,1.034
18.157,1.032
18.187,1.036
18.217,1.033
18.247,1.033
18.277,1.034
18.307,1.034
18.337,1.031
18.367,1.034
18.397,1.035
18.427,1.032
18.457,1.033
18.487,1.033
18.517,1.033
18.547,1.032
18.577,1.039
18.607,1.032
18.637,1.037
18.667,1.038
18.697,1.036
18.727,1.033
18.757,1.035
18.787,1.037
18.817,1.034
18.847,1.037
18.877,1.037
18.907,1.022
18.937,1.040
18.967,1.037
18.997,1.030
19.027,1.034
19.057,1.029
19.087,1.034
19.117,1.035
19.147,1.027
19.177,1.031
19.207,1.033
19.237,1.033
19.267,1.033
19.297,1.034
19.327,1.033
19.357,1.032
19.387,1.037
19.417,1.034
19.447,1.031
19.477,1.034
19.507,1.037
19.537,1.035
19.567,1.031
19.597,1.035
19.627,1.033
19.657,1.028
19.687,1.032
19.717,1.034
19.747,1.036
19.777,1.034
19.807,1.039
19.837,1.029
19.867,1.037
19.897,1.035
19.927,1.034
19.957,1.034
19.987,1.034
20.017,1.035
20.047,1.034
20.077,1.035
20.107,1.034
20.137,1.031
20.167,1.034
20.197,1.035
20.227,1.033
20.257,1.031
20.287,1.036
20.317,1.031
20.347,1.035
20.377,1.034
20.407,1.039
20.437,1.029
20.467,1.035
20.497,1.034
20.527,1.032
20.557,1.030
20.587,1.032
20.617,1.038
20.647,1.034
20.677,1.039
20.707,1.037
20.737,1.027
20.767,1.039
20.797,1.037
20.827,1.031
20.857,1.033
20.887,1.033
20.917,1.030
20.947,1.037
20.977,1.032
21.007,1.034
21.037,1.034
21.067,1.032
21.097,1.033
21.127,1.033
21.157,1.034
21.187,1.032
21.217,1.034
21.247,1.030
21.277,1.030
21.307,1.032
21.337,1.039
21.367,1.033
21.397,1.031
21.427,1.025
21.457,1.034
21.487,1.038
21.517,1.034
21.547,1.036
21.577,1.039
21.607,1.027
21.637,1.039
21.667,1.036
21.697,1.031
21.727,1.031
21.757,1.032
21.787,1.032
21.817,1.036
21.847,1.032
21.877,1.034
21.907,1.031
21.937,1.034
21.967,1.033
21.997,1.033
22.027,1.035
22.057,1.032
22.087,1.035
22.117,1.032
22.147,1.032
22.177,1.037
22.207,1.033
22.237,1.031
22.267,1.038
22.297,1.034
22.327,1.036
22.357,1.031
22.387,1.030
22.417,1.033
22.447,1.039
22.477,1.037
22.507,1.034
22.537,1.032
22.567,1.036
22.597,1.034
22.627,1.031
22.657,1.036
22.687,1.036
22.717,1.036
22.747,1.032
22.777,1.033
22.807,1.034
22.837,1.034
22.867,1.039
22.897,1.030
22.927,1.031
22.957,1.035
22.987,1.035
23.017,1.030
23.047,1.036
23.077,1.037
23.107,1.032
23.137,1.037
23.167,1.036
23.197,1.028
23.227,1.037
23.257,1.034
23.287,1.032
23.317,1.030
23.347,1.035
23.377,1.034
23.407,1.033
23.437,1.035
23.467,1.035
23.497,1.035
23.527,1.033
23.557,1.034
23.587,1.036
23.617,1.035
23.647,1.036
23.677,1.032
23.707,1.037
23.737,1.027
23.767,1.038
23.797,1.033
23.827,1.035
23.857,1.032
23.887,1.032
23.917,1.034
23.947,1.035
23.977,1.036
24.007,1.037
24.037,1.028
24.067,1.033
24.097,1.042
24.127,1.033
24.157,1.033
24.187,1.033
24.217,1.032
24.247,1.035
24.277,1.033
24.307,1.033
24.337,1.033
24.367,1.036
24.397,1.031
24.427,1.034
24.457,1.034
