df_hash,22ZHK4.MYBFT3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F30J
person_label,V40
date_time_start,2025-10-27_13-34-00.815000_+03
date_time_start_unix,1761557640.815
date_time_end,2025-10-27_13-42-19.414000_+03
length_difference_noticed,no

time,battery
12.877,48
22.871,48
32.866,48
42.858,48
52.879,48
62.846,48
72.840,48
82.834,48
92.876,48
102.832,48
112.961,48
122.857,48
132.874,48
142.845,48
152.839,48
162.838,48
172.876,48
182.821,48
192.815,48
202.808,48
212.855,47
222.845,47
232.839,47
242.832,47
252.826,47
262.819,47
272.814,47
282.818,47
292.948,47
302.844,47
312.838,47
322.831,47
332.924,47
342.822,47
352.910,47
362.807,47
372.947,47
382.794,47
392.788,47
402.931,47
412.922,47
422.841,47
432.812,47
442.805,47
452.827,47
462.794,47
472.787,47
482.781,47
492.775,47
