df_hash,22ZHK4.MYBFT3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F30J
person_label,V40
date_time_start,2025-10-27_13-34-00.815000_+03
date_time_start_unix,1761557640.815
date_time_end,2025-10-27_13-42-19.414000_+03
length_difference_noticed,no

time,omega
40.690,0.619
42.475,0.620
43.248,0.623
44.032,0.620
45.006,0.619
45.993,0.618
48.476,0.618
49.150,0.618
50.910,0.617
51.737,0.618
52.516,0.618
53.392,0.619
54.176,0.619
55.058,0.619
55.298,0.619
57.489,0.620
58.416,0.619
59.242,0.621
60.220,0.624
60.853,0.624
61.580,0.626
62.414,0.626
63.345,0.628
64.025,0.632
64.802,0.632
68.991,0.632
69.772,0.632
70.408,0.632
73.773,0.632
75.775,0.632
76.651,0.632
77.692,0.632
78.407,0.632
78.555,0.631
80.694,0.627
81.771,0.622
83.184,0.622
84.354,0.622
84.884,0.619
85.180,0.618
92.636,0.618
92.933,0.618
96.758,0.618
102.580,0.618
102.830,0.618
104.481,0.622
106.971,0.628
108.341,0.631
111.949,0.631
112.724,0.625
113.546,0.625
114.434,0.625
115.799,0.625
116.526,0.618
117.017,0.618
120.722,0.618
121.739,0.612
121.836,0.609
124.228,0.607
125.019,0.605
126.035,0.600
126.633,0.600
126.956,0.597
135.054,0.597
135.392,0.597
137.491,0.597
138.409,0.597
139.302,0.597
139.975,0.600
140.821,0.605
141.002,0.609
143.191,0.611
144.167,0.613
144.799,0.614
144.942,0.617
148.214,0.619
148.844,0.619
149.732,0.619
150.460,0.622
151.282,0.623
152.257,0.624
152.942,0.625
154.501,0.627
159.326,0.631
161.277,0.635
162.108,0.639
162.837,0.642
163.233,0.645
169.860,0.645
170.547,0.647
171.415,0.647
178.637,0.646
247.516,0.648
248.929,0.650
256.002,0.653
260.775,0.655
264.138,0.657
270.435,0.659
271.163,0.662
279.638,0.672
297.142,0.682
299.923,0.696
304.903,0.711
308.124,0.719
