df_hash,22ZHK4.MYBFT3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F30J
person_label,V40
date_time_start,2025-10-27_13-34-00.815000_+03
date_time_start_unix,1761557640.815
date_time_end,2025-10-27_13-42-19.414000_+03
length_difference_noticed,no

time,temperature
6.103,35.969
6.981,35.969
7.953,36.000
8.977,36.031
9.952,36.031
11.171,36.125
11.951,36.125
12.993,36.125
13.950,36.156
15.220,36.125
15.960,36.125
16.972,36.188
17.947,36.156
18.970,36.156
19.996,36.156
21.216,36.125
22.337,36.156
23.018,36.156
23.944,36.188
25.213,36.219
25.985,36.219
26.966,36.219
27.941,36.250
29.013,36.250
30.186,36.281
31.063,36.281
31.940,36.281
32.962,36.281
33.937,36.281
34.961,36.281
35.937,36.281
37.057,36.281
37.935,36.281
38.959,36.312
40.031,36.312
41.155,36.281
41.981,36.344
42.982,36.344
43.931,36.375
45.247,36.375
45.997,36.375
47.053,36.375
48.022,36.406
49.003,36.375
49.976,36.406
51.197,36.469
51.975,36.406
52.998,36.438
54.022,36.469
55.192,36.469
55.972,36.500
56.996,36.500
58.069,36.500
59.046,36.500
60.220,36.500
60.994,36.500
62.023,36.469
62.944,36.469
63.967,36.438
64.942,36.438
65.970,36.438
66.941,36.438
67.965,36.438
69.037,36.469
69.989,36.469
70.939,36.438
71.980,36.469
73.281,36.500
73.961,36.469
75.085,36.500
75.977,36.469
77.081,36.500
77.959,36.500
79.080,36.500
79.960,36.500
80.996,36.531
81.959,36.500
83.028,36.500
84.005,36.531
84.988,36.406
85.954,36.406
87.175,36.406
87.952,36.438
88.928,36.438
89.960,36.438
91.124,36.469
91.953,36.469
93.177,36.469
93.951,36.469
94.924,36.625
95.996,36.656
96.972,36.625
97.995,36.656
98.975,36.688
99.945,36.719
101.218,36.625
101.944,36.625
102.967,36.625
103.943,36.625
104.966,36.625
105.969,36.594
106.975,36.656
107.953,36.656
109.259,36.625
109.939,36.625
110.963,36.688
112.184,36.719
113.010,36.750
114.000,36.750
115.207,36.750
115.943,36.750
117.300,36.719
117.959,36.688
118.958,36.688
119.981,36.688
120.957,36.688
121.934,36.656
122.955,36.688
123.931,36.688
124.975,36.688
126.147,36.656
127.005,36.656
127.928,36.688
128.979,36.688
129.927,36.750
131.196,36.750
131.930,36.750
132.949,36.750
133.924,36.750
135.094,36.750
135.923,36.781
136.947,36.812
137.935,36.812
138.945,36.812
139.977,36.750
141.246,36.750
141.977,36.719
142.996,36.719
143.945,36.750
145.431,36.750
145.972,36.719
146.940,36.656
147.964,36.656
148.941,36.625
149.990,36.656
150.938,36.688
151.962,36.719
153.280,36.719
153.961,36.750
154.935,36.750
156.069,36.844
156.934,36.875
157.959,36.875
158.940,36.875
159.956,36.875
160.932,36.844
161.956,36.844
162.980,36.844
163.979,36.781
164.929,36.812
165.956,36.719
166.979,36.750
167.952,36.750
168.929,36.781
169.950,36.812
171.169,36.812
171.952,36.812
172.924,36.844
173.949,36.844
174.923,36.812
176.180,36.812
176.922,36.812
177.946,36.812
178.921,36.781
179.944,36.781
180.968,36.750
182.188,36.719
182.921,36.719
183.965,36.750
185.160,36.750
186.038,36.781
187.064,36.750
187.939,36.781
188.914,36.750
189.938,36.781
190.962,36.750
191.944,36.750
192.929,36.781
193.936,36.750
194.959,36.781
196.178,36.750
196.958,36.719
198.129,36.688
198.957,36.719
199.932,36.719
200.959,36.719
201.979,36.719
203.011,36.812
203.984,36.844
204.953,36.844
205.977,36.844
207.247,36.938
207.927,36.969
208.953,36.969
209.926,37.000
210.998,37.031
212.070,37.031
212.949,36.906
213.923,36.906
214.947,36.938
215.978,36.969
217.093,36.906
218.167,36.938
218.945,36.938
219.923,36.875
220.956,36.875
222.113,36.875
222.945,36.844
223.917,36.844
224.941,36.812
225.967,36.781
227.141,36.750
227.915,36.750
228.964,36.750
229.917,36.750
230.956,36.812
232.210,36.844
233.081,36.844
233.936,36.844
234.935,36.844
235.910,36.875
237.033,36.875
237.909,36.875
238.939,36.875
240.251,36.875
240.979,36.812
241.955,36.812
242.930,36.812
243.961,36.812
244.929,36.812
245.957,36.719
247.222,36.719
247.954,36.812
248.931,36.812
249.950,36.906
251.314,36.906
251.949,36.875
252.924,36.875
253.990,36.969
254.922,36.969
255.946,37.062
257.067,37.094
258.067,37.031
258.933,37.031
259.944,37.000
261.005,37.031
262.186,37.000
262.921,37.000
264.139,36.969
264.951,36.969
265.939,36.969
266.915,36.938
267.939,36.969
268.916,37.000
269.937,36.938
270.912,36.938
271.946,36.969
273.302,36.938
273.941,36.938
274.910,36.875
275.934,36.875
276.909,36.906
277.932,36.906
279.151,36.906
279.931,36.938
280.908,36.906
281.978,36.938
283.102,36.938
283.930,36.938
284.904,36.906
285.932,36.906
286.902,36.938
287.926,36.906
288.901,36.906
290.122,36.906
290.951,36.938
291.924,36.938
292.953,36.906
293.950,36.938
294.995,36.969
295.921,36.969
296.945,37.000
298.043,37.062
298.944,37.062
299.925,37.031
300.942,37.000
301.973,37.000
302.941,36.969
303.916,36.969
304.961,37.031
305.915,37.062
306.966,36.969
307.914,36.969
308.941,37.000
309.913,37.000
310.937,37.031
311.911,37.031
313.081,37.094
313.910,37.062
314.983,37.000
315.932,36.969
316.932,37.000
317.908,36.969
318.944,36.938
