df_hash,22ZHK4.MYBFT3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F30J
person_label,V40
date_time_start,2025-10-27_13-34-00.815000_+03
date_time_start_unix,1761557640.815
date_time_end,2025-10-27_13-42-19.414000_+03
length_difference_noticed,no

time,acc_mag
5.325,1.032
5.355,1.032
5.385,1.026
5.415,1.025
5.445,1.028
5.475,1.033
5.505,1.029
5.535,1.028
5.565,1.032
5.595,1.030
5.625,1.030
5.655,1.027
5.685,1.033
5.715,1.027
5.745,1.029
5.775,1.032
5.805,1.027
5.835,1.028
5.865,1.027
5.895,1.027
5.925,1.030
5.955,1.030
5.985,1.032
6.015,1.030
6.045,1.034
6.075,1.031
6.105,1.028
6.135,1.030
6.165,1.029
6.195,1.029
6.225,1.027
6.255,1.028
6.285,1.032
6.315,1.032
6.345,1.025
6.375,1.030
6.405,1.032
6.435,1.031
6.465,1.030
6.495,1.032
6.525,1.033
6.555,1.023
6.585,1.031
6.615,1.032
6.645,1.025
6.675,1.030
6.705,1.031
6.735,1.032
6.765,1.031
6.795,1.033
6.825,1.028
6.855,1.028
6.885,1.034
6.915,1.031
6.945,1.027
6.975,1.029
7.005,1.035
7.035,1.029
7.065,1.033
7.095,1.035
7.125,1.029
7.155,1.030
7.185,1.030
7.215,1.033
7.245,1.035
7.275,1.029
7.305,1.029
7.335,1.029
7.365,1.023
7.395,1.034
7.425,1.031
7.455,1.028
7.485,1.028
7.515,1.032
7.545,1.027
7.575,1.030
7.605,1.027
7.635,1.032
7.665,1.025
7.695,1.027
7.725,1.034
7.755,1.033
7.785,1.031
7.815,1.035
7.845,1.032
7.875,1.028
7.905,1.029
7.935,1.034
7.965,1.026
7.995,1.029
8.025,1.032
8.055,1.031
8.085,1.031
8.115,1.029
8.145,1.032
8.175,1.024
8.205,1.034
8.235,1.035
8.265,1.028
8.295,1.029
8.325,1.028
8.355,1.030
8.385,1.030
8.415,1.028
8.445,1.030
8.475,1.033
8.505,1.032
8.535,1.030
8.565,1.028
8.595,1.032
8.625,1.030
8.655,1.033
8.685,1.025
8.715,1.037
8.745,1.037
8.775,1.028
8.805,1.030
8.835,1.030
8.865,1.025
8.895,1.028
8.925,1.029
8.955,1.034
8.985,1.030
9.015,1.031
9.045,1.027
9.075,1.027
9.105,1.033
9.135,1.033
9.165,1.028
9.195,1.023
9.225,1.023
9.255,1.027
9.285,1.030
9.315,1.031
9.345,1.033
9.375,1.031
9.405,1.032
9.435,1.032
9.465,1.031
9.495,1.033
9.525,1.032
9.555,1.035
9.585,1.025
9.615,1.051
9.645,1.032
9.675,1.019
9.705,1.032
9.735,1.040
9.765,1.015
9.795,1.018
9.825,1.024
9.855,1.024
9.885,1.028
9.915,1.041
9.945,1.033
9.975,1.025
10.005,1.010
10.035,1.009
10.065,1.015
10.095,1.023
10.125,1.041
10.155,1.033
10.185,1.040
10.215,1.045
10.245,1.037
10.275,1.032
10.305,1.021
10.335,1.033
10.365,1.031
10.395,1.030
10.425,1.036
10.455,1.032
10.485,1.027
10.515,1.027
10.545,1.027
10.575,1.026
10.605,1.022
10.635,1.031
10.665,1.038
10.695,1.040
10.725,1.027
10.755,1.020
10.785,1.027
10.815,1.027
10.845,1.032
10.875,1.030
10.905,1.029
10.935,1.040
10.965,1.036
10.995,1.031
11.025,1.025
11.055,1.033
11.085,1.029
11.115,1.032
11.145,1.030
11.175,1.032
11.205,1.031
11.235,1.029
11.265,1.028
11.295,1.030
11.325,1.035
11.355,1.034
11.385,1.030
11.415,1.028
11.445,1.025
11.475,1.032
11.505,1.035
11.535,1.034
11.565,1.029
11.595,1.027
11.625,1.034
11.655,1.030
11.685,1.031
11.715,1.025
11.745,1.032
11.775,1.033
11.805,1.030
11.835,1.031
11.865,1.029
11.895,1.026
11.925,1.034
11.955,1.030
11.985,1.032
12.015,1.032
12.045,1.027
12.075,1.029
12.105,1.030
12.135,1.032
12.165,1.034
12.195,1.032
12.225,1.029
12.255,1.028
12.285,1.032
12.315,1.037
12.345,1.026
12.375,1.027
12.405,1.032
12.435,1.030
12.465,1.035
12.495,1.030
12.525,1.035
12.555,1.030
12.585,1.035
12.615,1.030
12.645,1.027
12.675,1.029
12.705,1.031
12.735,1.031
12.765,1.028
12.795,1.032
12.825,1.030
12.855,1.032
12.885,1.031
12.915,1.027
12.945,1.031
12.975,1.032
13.005,1.033
13.035,1.026
13.065,1.031
13.095,1.034
13.125,1.032
13.155,1.031
13.185,1.028
13.215,1.030
13.245,1.033
13.275,1.031
13.305,1.032
13.335,1.033
13.365,1.033
13.395,1.035
13.425,1.027
13.455,1.029
13.485,1.028
13.515,1.032
13.545,1.033
13.575,1.027
13.605,1.035
13.635,1.037
13.665,1.033
13.695,1.033
13.725,1.030
13.755,1.031
13.785,1.030
13.815,1.031
13.845,1.035
13.875,1.031
13.905,1.034
13.935,1.037
13.965,1.033
13.995,1.028
14.025,1.031
14.055,1.036
14.085,1.033
14.115,1.034
14.145,1.033
14.175,1.030
14.205,1.032
14.235,1.033
14.265,1.031
14.295,1.029
14.325,1.026
14.355,1.032
14.385,1.034
14.415,1.029
14.445,1.033
14.475,1.033
14.505,1.030
14.535,1.035
14.565,1.031
14.595,1.031
14.625,1.031
14.655,1.035
14.685,1.024
