df_hash,22ZHK4.MYBFT3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F30J
person_label,V40
date_time_start,2025-10-27_13-34-00.815000_+03
date_time_start_unix,1761557640.815
date_time_end,2025-10-27_13-42-19.414000_+03
length_difference_noticed,no

time,ppg_quality
58.405,108
59.415,108
61.435,107
62.445,107
63.455,104
65.475,107
67.495,111
69.505,110
72.535,112
73.545,114
74.555,116
76.575,113
78.595,116
79.605,116
80.615,116
83.645,117
85.665,115
87.685,121
88.695,119
89.705,113
90.715,103
92.735,89
94.755,92
96.775,81
98.795,61
100.815,53
102.825,62
105.855,52
107.875,63
108.885,70
109.895,77
111.915,81
113.935,83
114.945,84
116.965,94
118.985,97
121.005,108
123.025,116
124.035,113
125.045,113
128.075,116
130.095,121
132.115,113
134.125,101
136.145,104
137.155,104
138.165,104
139.175,100
140.185,96
141.195,96
143.215,108
145.235,109
147.255,106
148.265,105
149.275,107
150.285,112
151.295,113
152.305,111
154.325,112
155.335,114
156.345,112
157.355,108
158.365,106
160.385,100
161.395,99
162.405,98
163.415,100
165.435,62
167.455,39
168.465,37
170.485,41
171.495,41
172.505,42
174.525,62
176.545,84
178.565,81
180.585,77
181.595,76
182.605,76
183.615,74
184.625,74
185.635,88
187.655,103
189.675,115
191.695,123
193.715,120
194.725,119
196.745,95
198.765,92
199.775,95
200.785,94
201.795,94
202.805,95
204.825,97
205.835,102
207.855,117
209.875,125
211.895,123
213.915,127
215.935,118
216.945,110
218.965,99
220.985,90
223.005,81
225.025,74
226.035,71
227.045,72
228.055,73
230.075,63
232.095,75
234.115,91
236.135,84
237.145,86
238.155,100
241.185,121
243.205,94
245.225,86
246.235,92
247.245,89
249.265,50
250.275,43
252.295,41
254.315,41
256.335,41
258.355,37
260.375,37
261.385,38
263.405,43
264.415,39
265.425,34
267.445,37
269.465,52
270.475,57
272.495,56
273.505,57
274.515,63
276.535,79
278.555,85
280.575,91
283.605,83
285.625,63
287.645,67
288.655,70
289.665,63
290.675,56
291.685,57
293.705,74
296.735,97
298.755,93
300.775,101
302.795,82
304.815,54
305.825,48
307.845,44
309.865,34
311.885,43
313.905,54
315.925,60
316.935,46
317.945,40
318.955,25
319.965,38
320.975,51
321.985,62
322.995,51
325.015,45
327.035,51
329.055,68
330.065,52
332.085,8
334.105,17
335.115,17
336.125,17
337.135,23
338.145,25
340.165,29
341.175,24
343.195,41
344.205,48
345.215,45
346.225,46
347.235,57
349.255,67
350.265,60
352.285,61
354.305,57
356.325,52
358.345,20
360.365,29
362.385,42
363.395,46
365.415,38
367.435,49
369.455,52
370.465,47
372.485,39
373.495,40
374.505,51
376.525,68
378.545,83
380.565,71
382.585,73
383.595,80
385.615,51
387.635,43
388.645,31
389.655,32
391.675,29
393.695,20
394.705,12
395.715,34
396.725,21
398.745,22
400.765,39
402.785,37
404.805,32
405.815,38
406.825,44
407.835,43
409.855,36
411.875,30
412.885,28
413.895,36
415.915,40
416.925,43
418.945,44
420.965,61
422.985,81
425.005,82
426.015,89
428.035,102
429.045,108
430.055,102
432.075,79
434.095,62
436.115,58
438.135,60
440.155,64
441.165,69
443.185,68
445.205,72
447.225,66
449.245,47
451.265,42
454.295,53
456.315,57
458.335,73
460.355,78
462.375,80
464.395,86
465.405,86
467.425,88
469.445,84
470.455,91
472.475,93
473.485,88
474.495,82
475.505,77
476.515,71
477.525,63
478.535,53
480.555,32
482.575,13
483.585,11
484.595,8
486.615,9
488.635,26
490.655,39
492.675,45
495.705,34
