df_hash,22ZHK4.MYBFT3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F30J
person_label,V40
date_time_start,2025-10-27_13-34-00.815000_+03
date_time_start_unix,1761557640.815
date_time_end,2025-10-27_13-42-19.414000_+03
length_difference_noticed,no

time,perfusion_ir
40.679,0.210
42.471,0.210
43.203,0.210
44.028,0.200
44.861,0.200
45.979,0.200
48.470,0.200
49.147,0.200
50.905,0.200
51.733,0.200
52.511,0.200
53.388,0.200
54.172,0.190
55.051,0.190
55.294,0.190
57.483,0.190
58.412,0.190
59.238,0.190
60.022,0.190
60.850,0.190
61.533,0.190
62.410,0.190
63.341,0.190
64.020,0.190
64.799,0.190
68.943,0.190
69.769,0.180
70.405,0.180
73.769,0.180
75.771,0.180
76.646,0.180
77.674,0.180
78.404,0.180
78.551,0.180
80.691,0.180
81.768,0.180
83.180,0.180
84.347,0.180
84.881,0.180
85.176,0.180
92.632,0.180
92.929,0.180
96.729,0.180
102.532,0.180
102.826,0.180
104.433,0.180
106.965,0.180
108.335,0.180
111.943,0.190
112.720,0.190
113.484,0.190
114.429,0.190
115.795,0.190
116.520,0.190
117.014,0.190
120.718,0.180
121.736,0.180
121.807,0.180
124.222,0.180
125.013,0.180
126.029,0.180
126.629,0.180
126.952,0.180
135.050,0.180
135.389,0.170
137.485,0.180
138.366,0.180
139.296,0.180
139.969,0.180
140.815,0.180
140.998,0.180
143.186,0.180
144.164,0.180
144.795,0.180
144.857,0.170
148.210,0.180
148.704,0.180
149.723,0.170
150.457,0.170
151.234,0.170
152.120,0.170
152.936,0.170
154.451,0.170
159.323,0.170
161.273,0.180
162.104,0.180
162.833,0.180
163.228,0.180
169.855,0.180
170.544,0.190
171.271,0.190
178.634,0.190
247.512,0.190
248.926,0.190
255.998,0.190
260.540,0.190
263.944,0.190
270.429,0.190
271.158,0.190
279.590,0.190
297.098,0.190
299.919,0.190
304.893,0.190
308.113,0.190
