df_hash,22ZHK4.VJETEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.A8GQ
person_label,V97
date_time_start,2025-11-04_18-40-06.966000_+03
date_time_start_unix,1762267206.966
date_time_end,2025-11-04_18-48-54.869000_+03
length_difference_noticed,no

time,temperature
4.727,31.250
5.751,31.266
6.725,31.344
7.749,31.406
8.774,31.406
9.748,31.438
10.772,31.469
11.747,31.500
12.770,31.578
13.745,31.609
14.769,31.688
15.744,31.734
16.768,31.797
17.743,31.797
18.767,31.891
19.765,31.953
20.766,31.984
21.987,32.031
22.764,32.031
23.742,32.094
24.765,32.062
25.794,32.094
26.761,32.125
27.762,32.188
28.761,32.125
29.821,32.125
30.763,32.156
31.741,32.156
32.956,32.156
33.830,32.156
34.775,32.188
36.027,32.219
36.757,32.219
37.731,32.219
38.754,32.250
39.778,32.312
40.999,32.344
41.728,32.375
42.752,32.406
43.727,32.406
44.750,32.500
45.875,32.500
46.749,32.500
47.725,32.531
48.748,32.594
49.723,32.594
50.909,32.625
52.014,32.625
52.746,32.656
53.721,32.688
54.745,32.688
55.768,32.719
56.760,32.719
57.767,32.750
58.747,32.719
59.769,32.781
60.741,32.781
61.765,32.844
62.839,32.875
63.865,32.938
64.738,32.969
65.762,33.000
66.779,33.031
67.761,33.031
68.736,33.062
69.761,33.062
70.735,33.094
71.758,33.062
72.733,33.094
73.757,33.062
74.732,33.062
75.756,33.062
76.780,33.125
77.852,33.156
78.730,33.156
79.754,33.188
80.777,33.219
81.752,33.219
82.728,33.219
83.751,33.250
84.726,33.281
85.750,33.281
86.730,33.250
87.748,33.250
88.723,33.281
89.747,33.312
90.725,33.312
91.746,33.312
92.722,33.344
93.747,33.344
94.771,33.344
95.792,33.375
96.719,33.344
98.034,33.375
98.912,33.344
99.741,33.375
100.813,33.375
101.740,33.406
102.715,33.406
103.887,33.438
104.762,33.438
105.737,33.438
106.762,33.438
107.736,33.438
108.759,33.469
109.929,33.500
110.759,33.500
111.931,33.500
112.757,33.531
113.732,33.594
114.756,33.688
115.731,33.750
116.755,33.750
117.781,33.781
118.754,33.781
119.751,33.750
120.752,33.719
121.776,33.719
122.751,33.719
123.729,33.719
124.821,33.625
125.873,33.594
126.749,33.594
127.727,33.625
128.802,33.625
129.756,33.656
130.770,33.688
131.870,33.719
132.747,33.750
133.720,33.719
134.792,33.750
135.719,33.781
136.791,33.812
138.012,33.812
138.747,33.844
139.716,33.875
140.740,33.875
141.814,33.875
142.838,33.875
143.714,33.906
144.760,33.906
145.761,33.812
146.737,33.781
147.711,33.781
148.838,33.781
149.716,33.750
150.760,33.750
151.758,33.719
152.755,33.781
153.756,33.750
154.731,33.750
155.755,33.844
157.123,33.844
157.757,33.812
158.729,33.812
159.754,33.875
160.728,33.875
161.900,33.875
162.784,33.875
163.750,33.938
164.725,33.969
165.754,33.969
166.751,34.000
167.757,34.031
168.723,34.031
169.747,33.969
170.916,33.969
171.745,34.000
172.769,34.000
173.747,34.000
174.724,33.969
175.751,33.969
176.719,34.031
177.988,34.000
178.717,34.000
179.789,34.031
180.915,34.031
181.739,34.000
182.763,33.969
183.787,33.969
184.713,33.969
185.737,34.000
186.716,33.969
187.882,34.031
189.100,34.031
189.734,34.031
190.955,34.031
191.733,34.062
192.712,34.094
193.732,34.094
194.707,34.125
196.123,34.094
196.706,34.125
197.729,34.094
198.704,34.094
200.117,34.125
200.703,34.125
201.727,34.156
202.751,34.125
203.872,34.125
204.766,34.125
205.822,34.125
206.748,34.125
207.723,34.125
208.747,34.094
209.968,34.094
210.746,34.125
211.721,34.062
212.744,34.125
213.719,34.156
214.743,34.219
215.718,34.219
216.742,34.250
217.718,34.250
218.740,34.250
219.725,34.250
220.986,34.250
221.763,34.281
222.740,34.312
223.761,34.312
224.983,34.281
225.747,34.312
226.784,34.250
227.711,34.250
228.783,34.312
229.758,34.312
230.733,34.312
231.708,34.281
232.733,34.250
233.707,34.219
234.731,34.188
235.952,34.188
236.730,34.219
237.704,34.250
238.777,34.188
239.752,34.188
240.765,34.188
241.707,34.188
242.729,34.188
243.898,34.188
244.724,34.188
245.700,34.188
246.723,34.188
247.894,34.219
248.744,34.219
249.697,34.281
250.866,34.281
251.796,34.281
252.768,34.281
253.749,34.312
254.718,34.344
255.742,34.375
256.717,34.375
257.740,34.406
258.813,34.438
259.740,34.469
260.861,34.469
261.739,34.469
262.762,34.500
263.786,34.594
264.712,34.594
265.736,34.562
266.711,34.562
267.735,34.531
268.751,34.531
269.734,34.531
270.711,34.531
271.732,34.594
272.726,34.562
273.732,34.500
274.903,34.469
275.730,34.500
276.748,34.531
277.729,34.562
278.704,34.531
279.727,34.562
280.703,34.562
281.726,34.531
282.749,34.562
283.725,34.562
284.700,34.625
285.723,34.625
286.747,34.594
287.734,34.625
288.846,34.625
289.721,34.625
290.696,34.625
291.719,34.656
292.700,34.656
293.719,34.656
294.694,34.656
295.723,34.656
296.692,34.688
297.716,34.688
298.840,34.688
299.718,34.688
300.739,34.688
301.713,34.656
303.130,34.625
303.717,34.625
304.736,34.625
306.060,34.625
306.767,34.656
307.710,34.625
308.983,34.688
309.733,34.688
310.732,34.688
311.708,34.688
312.731,34.719
313.761,34.719
314.735,34.750
315.705,34.750
316.728,34.719
317.707,34.781
