df_hash,22ZHK4.VJETEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.A8GQ
person_label,V97
date_time_start,2025-11-04_18-40-06.966000_+03
date_time_start_unix,1762267206.966
date_time_end,2025-11-04_18-48-54.869000_+03
length_difference_noticed,no

time,quality
28.573,51
29.541,49
30.421,43
31.601,44
32.496,48
33.639,47
34.758,44
35.588,55
36.319,56
37.539,36
38.417,0
39.339,24
40.526,49
41.389,62
42.268,68
43.488,71
44.387,73
45.241,79
46.506,79
47.383,67
48.361,73
49.434,65
50.610,68
51.240,51
52.494,45
53.531,39
54.212,43
55.383,50
56.307,55
57.328,61
58.405,73
59.281,73
60.204,66
61.423,62
62.498,57
63.159,68
64.594,73
65.229,69
66.152,71
67.422,71
68.203,70
69.130,69
70.493,65
71.328,55
72.297,42
73.273,48
74.199,48
75.077,50
76.246,53
77.466,55
78.050,71
79.220,66
80.146,65
81.069,65
82.243,64
83.120,79
84.022,79
85.232,80
86.140,80
87.020,78
88.236,65
89.068,70
90.056,72
91.358,79
92.185,79
93.168,83
94.139,84
95.356,81
95.942,78
97.161,79
98.041,81
98.918,85
100.085,86
101.013,85
102.181,73
103.108,64
104.180,54
105.006,33
106.082,0
106.960,3
107.837,12
109.299,4
110.127,0
110.860,35
112.370,24
112.906,47
113.833,53
115.049,47
115.881,49
116.806,45
117.977,36
118.904,24
119.784,35
120.950,38
122.121,36
122.946,39
123.924,44
124.851,48
125.729,45
126.947,53
127.873,48
128.796,62
129.921,78
131.090,60
131.786,63
132.896,61
133.966,53
134.649,54
136.014,57
136.840,67
137.674,71
139.085,81
139.962,87
140.655,79
141.958,80
142.742,84
143.668,85
144.790,85
145.716,87
146.639,85
147.763,82
148.833,77
149.612,78
150.883,72
151.708,70
152.547,70
153.808,69
154.650,78
155.515,89
156.831,91
157.611,87
158.539,87
159.707,89
160.584,86
161.702,83
162.764,84
163.558,82
164.485,71
165.749,56
166.581,61
167.504,41
168.628,36
169.654,55
170.433,74
171.696,69
172.528,80
173.406,81
174.626,62
175.746,45
176.429,38
177.600,1
178.477,13
179.448,18
180.574,17
181.549,0
182.378,3
183.548,1
184.670,0
185.398,0
186.712,0
187.590,31
188.616,54
189.493,45
190.420,24
191.297,0
192.708,0
193.395,0
194.560,0
195.535,0
196.392,33
197.245,44
198.560,44
199.633,39
200.218,50
201.439,56
202.314,63
203.194,46
204.412,43
205.529,34
206.166,39
207.385,29
208.262,33
209.189,29
210.358,67
211.238,76
212.164,73
213.354,71
214.209,68
215.428,69
216.380,63
217.233,57
218.182,66
219.280,70
220.208,50
221.086,53
222.256,46
223.286,48
224.057,44
225.419,56
226.203,64
227.031,63
228.251,57
229.127,48
230.006,0
231.224,0
232.103,16
232.978,31
234.243,23
235.075,13
236.002,47
237.173,0
238.048,23
239.026,33
240.145,13
241.023,15
241.949,22
243.119,27
243.996,37
244.971,33
246.101,45
247.021,31
247.993,0
249.091,1
249.993,0
251.116,24
252.042,10
252.968,26
253.846,79
255.306,32
255.940,53
256.817,32
258.037,12
259.060,6
259.791,0
261.010,0
262.266,28
263.005,25
263.985,21
264.862,25
265.885,29
266.957,25
267.836,23
268.763,26
269.939,0
270.809,33
271.781,37
272.958,13
274.080,18
274.709,25
276.274,26
276.812,25
277.683,27
278.853,37
279.779,56
280.658,62
281.940,43
282.947,45
283.633,35
285.041,42
285.869,0
286.653,24
287.823,17
288.701,15
289.627,24
290.796,24
291.675,0
292.695,0
293.770,0
294.671,0
295.717,49
296.744,50
297.672,49
298.693,45
299.818,37
300.644,37
301.521,63
302.741,66
303.712,59
304.496,39
306.055,21
306.741,35
307.469,30
308.687,29
309.565,29
310.488,30
311.662,36
312.539,48
313.711,50
314.730,56
315.658,54
316.442,60
317.610,44
318.487,36
319.459,43
320.583,38
321.534,50
322.390,22
323.557,24
324.483,19
325.361,0
326.579,0
327.457,0
328.334,0
329.598,0
330.436,41
331.501,42
332.719,29
333.404,36
334.355,30
335.645,28
336.530,24
337.305,23
338.474,18
339.449,18
340.278,23
341.494,36
342.377,39
343.446,0
344.436,29
345.355,44
346.227,39
347.398,50
348.324,38
349.201,0
350.369,30
351.390,0
352.219,0
353.489,0
354.270,0
355.341,0
356.414,23
357.248,0
358.121,0
359.339,23
360.217,32
361.387,35
362.327,31
363.193,30
364.117,32
365.303,39
366.166,30
367.091,30
368.359,21
369.479,20
370.065,18
371.234,17
372.402,31
373.040,25
374.259,30
375.134,37
376.014,29
377.232,26
378.108,20
378.991,35
380.445,23
381.274,65
382.300,56
383.519,1
384.055,0
385.279,0
386.152,34
387.030,37
387.956,35
389.369,0
390.052,0
390.931,0
392.103,0
393.050,0
394.098,0
395.122,24
396.340,0
397.023,61
398.194,69
399.214,39
399.997,41
401.071,38
402.190,21
402.873,35
404.089,27
405.210,32
405.849,37
407.306,32
408.135,32
408.830,38
409.992,38
410.921,27
411.797,28
413.011,37
413.985,41
414.770,33
416.183,27
416.865,22
417.742,34
418.971,0
420.079,9
420.762,2
422.086,0
422.813,0
423.785,0
425.003,23
426.075,22
426.715,35
428.332,41
428.808,0
429.732,0
431.099,0
431.828,42
432.706,0
433.830,24
434.997,19
435.636,0
436.852,0
437.776,25
438.608,0
439.841,0
440.947,0
441.675,0
443.192,18
