df_hash,22ZHK4.V6E3X1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XBH0
person_label,v108
date_time_start,2026-03-02_14-01-49.567000_+03
date_time_start_unix,1772445709.567
date_time_end,2026-03-02_14-10-36.111000_+03
length_difference_noticed,no

time,battery
12.996,48
22.874,48
32.922,48
42.812,48
52.806,48
62.803,48
72.816,48
82.784,48
92.925,48
102.821,48
112.836,48
122.905,48
132.851,48
142.796,48
152.790,48
162.881,48
172.777,47
182.771,47
192.814,47
202.808,47
212.801,47
222.798,47
232.792,47
242.783,47
252.779,47
262.771,47
272.764,47
282.810,47
292.801,47
302.794,47
312.788,47
322.782,47
332.776,47
342.770,47
352.764,47
362.758,47
372.751,47
382.793,47
392.788,47
402.781,47
412.775,47
422.769,47
432.811,47
442.805,47
452.905,47
462.844,47
472.953,46
482.780,46
492.774,46
502.786,46
512.762,46
