df_hash,22ZHK4.V6E3X1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XBH0
person_label,v108
date_time_start,2026-03-02_14-01-49.567000_+03
date_time_start_unix,1772445709.567
date_time_end,2026-03-02_14-10-36.111000_+03
length_difference_noticed,no

time,temperature
5.967,29.891
6.977,29.953
7.903,29.984
8.927,30.094
9.902,30.125
11.023,30.188
12.001,30.250
13.006,30.312
13.997,30.375
15.216,30.453
15.898,30.500
16.922,30.562
18.089,30.609
18.921,30.625
19.945,30.719
20.920,30.750
22.190,30.812
23.165,30.844
23.898,30.844
25.212,30.891
26.139,30.906
26.918,30.938
27.891,31.016
28.915,31.062
29.987,31.094
30.914,31.172
32.022,31.156
32.936,31.203
34.134,31.234
34.911,31.266
35.942,31.281
36.959,31.312
37.956,31.344
39.350,31.406
39.981,31.453
40.908,31.453
42.029,31.516
42.955,31.547
44.127,31.578
45.154,31.625
45.930,31.688
46.903,31.734
47.927,31.766
48.956,31.797
49.927,31.781
51.294,31.828
51.925,31.844
52.940,31.875
53.956,31.906
54.974,31.906
56.020,31.969
56.899,31.984
57.921,32.000
58.896,32.031
60.312,32.062
60.943,32.094
61.919,32.125
62.916,32.156
64.210,32.188
65.038,32.219
65.917,32.188
66.941,32.188
67.915,32.250
68.890,32.281
69.914,32.281
70.915,32.281
71.913,32.344
73.085,32.312
73.960,32.344
74.887,32.375
76.008,32.406
76.982,32.500
77.909,32.469
78.933,32.500
79.909,32.531
80.932,32.531
81.907,32.531
82.930,32.562
83.954,32.594
84.929,32.625
85.904,32.625
86.977,32.562
87.903,32.625
88.927,32.656
90.099,32.656
90.974,32.688
92.001,32.719
92.972,32.750
93.899,32.719
94.923,32.750
96.127,32.781
96.922,32.812
97.995,32.781
98.921,32.781
99.899,32.812
100.921,32.812
101.898,32.844
103.116,32.844
103.945,32.906
104.917,32.938
105.891,32.969
106.916,33.000
107.891,33.062
108.914,33.094
109.938,33.094
110.913,33.125
111.937,33.125
112.912,33.125
113.887,33.125
114.911,33.125
115.890,33.156
116.909,33.156
117.885,33.188
119.008,33.188
119.931,33.156
120.906,33.188
121.884,33.219
123.152,33.250
123.881,33.250
124.905,33.281
125.977,33.281
126.903,33.281
127.929,33.344
129.091,33.375
129.975,33.375
130.950,33.375
132.022,33.406
132.900,33.438
134.093,33.344
134.938,33.375
135.922,33.406
137.050,33.438
137.921,33.438
138.905,33.438
139.920,33.562
140.895,33.594
141.923,33.562
142.919,33.594
143.920,33.656
144.916,33.688
145.916,33.688
146.891,33.688
148.163,33.719
148.960,33.719
149.918,33.656
151.086,33.656
152.158,33.656
152.936,33.656
154.210,33.688
154.886,33.656
155.909,33.656
156.885,33.625
158.054,33.656
158.936,33.625
159.933,33.656
160.882,33.656
161.957,33.688
162.892,33.719
163.909,33.781
164.977,33.781
165.904,33.844
166.902,33.844
168.000,33.844
169.023,33.844
169.901,33.844
170.933,33.844
171.900,33.844
172.875,33.844
173.899,33.781
174.874,33.844
175.997,33.781
176.921,33.781
177.896,33.812
179.017,33.812
179.895,33.812
180.919,33.781
181.894,33.812
182.917,33.812
183.893,33.812
184.916,33.812
185.891,33.875
186.915,33.906
187.939,33.906
188.916,33.938
190.132,33.938
191.112,33.938
191.888,33.938
192.911,33.906
194.329,33.875
194.910,33.906
195.885,33.906
197.099,33.875
197.884,33.875
199.057,33.906
199.884,33.906
200.906,33.938
201.901,33.906
202.905,33.969
204.172,34.000
204.904,34.000
205.879,34.000
207.101,34.031
207.914,34.062
208.901,34.062
209.922,34.062
210.922,34.094
211.928,34.125
212.899,34.125
213.882,34.156
215.141,34.156
215.873,34.156
216.897,34.156
217.872,34.188
218.895,34.219
219.871,34.219
220.895,34.219
221.945,34.281
222.893,34.250
223.868,34.219
225.037,34.250
226.110,34.250
226.912,34.281
227.914,34.281
228.898,34.281
229.913,34.344
230.888,34.344
231.912,34.312
232.887,34.344
233.910,34.344
235.035,34.312
235.909,34.312
236.908,34.312
237.945,34.281
238.883,34.281
240.153,34.188
240.931,34.188
241.909,34.188
242.880,34.188
243.904,34.219
244.979,34.250
245.903,34.188
246.878,34.188
247.902,34.188
248.877,34.188
249.901,34.219
250.999,34.250
251.899,34.281
252.888,34.219
253.898,34.219
254.925,34.219
255.897,34.250
256.975,34.250
257.896,34.312
258.871,34.312
260.186,34.344
260.869,34.312
261.893,34.312
262.868,34.312
263.940,34.344
264.867,34.344
265.914,34.375
267.011,34.375
267.889,34.375
268.864,34.375
269.888,34.375
271.185,34.375
271.887,34.375
272.862,34.375
273.887,34.375
274.861,34.375
275.884,34.344
276.908,34.312
277.931,34.312
278.907,34.344
279.882,34.375
281.006,34.344
281.880,34.344
282.904,34.344
283.879,34.375
284.903,34.406
285.878,34.438
286.950,34.469
288.081,34.469
288.900,34.438
289.875,34.406
290.916,34.469
291.951,34.469
292.898,34.500
293.922,34.531
294.897,34.500
296.171,34.500
296.899,34.531
297.871,34.531
298.895,34.500
299.875,34.531
300.897,34.531
301.868,34.500
302.926,34.438
303.910,34.469
304.891,34.469
305.866,34.438
306.898,34.438
307.865,34.438
308.895,34.469
310.058,34.469
311.036,34.500
311.887,34.531
313.083,34.531
313.911,34.500
314.888,34.500
315.860,34.531
316.932,34.531
317.858,34.562
318.882,34.562
