df_hash,22ZHK4.V6E3X1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XBH0
person_label,v108
date_time_start,2026-03-02_14-01-49.567000_+03
date_time_start_unix,1772445709.567
date_time_end,2026-03-02_14-10-36.111000_+03
length_difference_noticed,no

time,quality
16.843,71
18.096,75
19.018,77
19.801,76
21.020,78
21.899,78
22.870,74
24.039,70
24.932,67
25.991,74
26.993,65
27.846,75
28.771,56
30.185,21
30.819,35
32.014,37
33.070,32
33.976,40
34.719,48
35.938,59
36.818,38
37.840,35
38.864,43
39.789,4
40.667,0
41.934,0
42.764,25
43.783,24
45.142,45
45.831,58
46.615,68
47.833,70
48.951,80
49.588,76
50.807,61
51.733,57
52.610,65
53.926,74
54.660,62
55.587,56
56.853,66
57.775,46
58.562,0
59.774,0
60.797,23
61.534,0
62.704,0
63.640,36
64.505,36
65.677,55
66.602,73
67.480,66
68.747,43
69.576,28
70.453,32
71.672,0
72.549,33
73.429,40
74.646,0
75.523,0
76.450,0
77.620,22
78.497,19
79.423,34
80.595,45
81.520,66
82.397,67
83.568,70
84.493,72
85.396,68
86.543,66
87.467,71
88.397,49
89.516,37
90.486,40
91.319,28
92.780,23
93.463,30
94.338,35
95.512,0
96.392,29
97.268,48
98.533,67
99.411,54
100.535,48
101.459,61
102.433,58
103.213,41
104.530,52
105.358,50
106.284,52
107.406,51
108.573,50
109.255,38
110.382,54
111.459,65
112.185,66
113.356,54
114.233,57
115.159,58
116.668,65
117.205,58
118.133,40
119.350,0
120.227,0
121.153,0
122.466,0
123.250,30
124.079,41
125.249,37
126.175,29
127.053,32
128.317,42
129.148,0
130.026,0
131.245,0
132.123,32
133.000,0
134.219,31
135.142,34
136.039,41
137.192,20
138.168,0
138.947,38
140.173,47
141.044,48
141.970,36
143.140,37
144.018,0
145.236,0
146.116,0
146.991,29
148.158,32
149.087,34
149.992,69
150.891,72
152.209,66
153.033,62
154.205,64
155.086,56
156.007,54
156.839,47
158.302,73
158.987,76
159.815,74
160.985,76
161.913,73
162.789,75
163.956,72
164.883,72
165.764,78
166.980,75
167.954,73
168.786,74
169.955,72
170.928,75
171.757,75
173.368,74
173.845,73
174.683,70
175.901,74
176.872,75
177.753,75
178.875,78
179.752,74
180.727,77
181.848,73
182.726,72
183.651,76
184.823,73
185.700,74
186.650,72
187.803,67
188.722,73
189.606,77
191.108,64
191.695,63
192.573,63
193.748,33
194.699,19
195.592,0
196.816,0
197.643,0
198.520,0
199.741,0
200.642,0
201.500,24
202.714,0
203.590,5
204.514,2
205.687,19
206.811,45
207.540,49
208.709,38
209.733,18
210.756,42
211.687,46
212.512,57
213.483,70
214.903,74
215.532,76
216.412,73
217.582,61
218.509,66
219.386,68
220.556,76
221.485,74
222.361,57
223.529,46
224.505,43
225.333,36
226.549,28
227.429,19
228.359,17
229.526,21
230.403,33
231.477,40
232.597,54
233.440,66
234.254,72
235.716,57
236.401,63
237.229,64
238.690,48
239.325,41
240.216,33
241.422,37
242.392,38
243.176,40
244.638,34
245.276,31
246.298,30
247.368,45
248.557,69
249.124,49
250.342,44
251.246,30
252.147,35
253.317,27
254.487,37
255.120,27
256.319,20
257.177,0
258.096,21
259.461,0
260.284,3
261.113,5
262.299,0
263.212,23
264.092,12
265.257,0
266.137,0
267.109,5
268.187,0
269.138,18
269.988,0
271.304,28
272.085,38
273.154,24
274.133,21
275.060,0
275.936,0
277.544,0
278.032,0
279.202,0
280.080,32
281.149,31
281.980,27
283.125,25
284.029,34
284.858,25
286.076,0
287.100,16
288.074,0
289.102,0
289.931,21
290.899,20
292.023,16
292.946,33
293.779,34
294.997,40
296.167,41
296.755,54
297.971,59
298.850,57
299.869,27
300.990,30
301.823,29
302.751,30
303.920,25
304.804,27
305.723,25
307.136,50
307.770,55
308.888,62
309.866,64
310.889,63
311.721,58
312.889,45
313.820,52
314.738,54
315.814,58
316.741,55
317.617,54
318.790,31
319.714,20
320.592,0
321.761,0
322.690,27
323.568,29
324.836,25
325.859,0
326.539,21
327.803,21
328.636,0
329.512,39
330.683,30
331.609,22
332.534,0
333.683,0
334.583,0
335.484,0
336.724,0
337.570,38
338.823,44
339.655,35
340.530,27
341.413,35
342.626,38
343.508,42
344.490,39
345.600,41
346.770,41
347.355,24
348.574,0
349.452,0
350.329,0
351.552,0
352.427,0
353.303,0
354.860,0
355.452,30
356.302,19
357.495,31
358.373,48
359.301,0
360.471,37
361.493,0
362.272,0
363.443,28
364.321,42
365.247,33
366.562,0
367.294,0
368.707,0
369.390,0
370.268,18
371.194,16
372.364,22
373.385,18
374.169,19
375.433,17
376.217,24
377.294,16
378.311,11
379.238,9
380.115,68
381.432,65
382.212,43
383.089,44
384.354,52
385.380,51
386.063,52
387.279,32
388.256,29
389.037,31
390.206,20
391.425,32
392.251,0
393.376,22
394.133,0
395.178,0
396.154,0
397.082,0
398.104,24
399.177,25
400.300,29
401.180,33
402.177,38
403.045,39
403.907,20
405.124,28
406.047,32
406.976,31
408.098,27
408.977,34
409.901,43
411.313,52
412.144,69
412.873,48
414.048,45
414.923,45
415.846,46
417.019,38
417.896,38
418.868,48
419.993,43
421.204,46
421.799,0
423.018,0
423.844,26
424.770,29
425.989,27
426.818,29
427.744,0
428.962,0
429.796,0
430.721,0
