df_hash,22ZHK4.V6E3X1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XBH0
person_label,v108
date_time_start,2026-03-02_14-01-49.567000_+03
date_time_start_unix,1772445709.567
date_time_end,2026-03-02_14-10-36.111000_+03
length_difference_noticed,no

time,ppg_quality
58.879,86
60.899,75
61.909,68
62.919,56
63.929,57
64.939,55
66.959,48
68.979,50
69.989,48
72.009,32
74.029,41
76.049,54
77.059,60
78.069,59
79.079,52
80.089,63
81.099,78
83.119,85
84.129,77
85.139,65
87.159,55
89.179,43
91.199,14
92.209,4
93.219,3
95.239,1
96.249,4
97.259,4
98.269,25
100.289,30
102.309,53
104.329,80
106.349,77
107.359,83
109.379,88
111.399,88
113.419,78
115.439,82
116.449,84
117.459,76
118.469,79
120.489,72
121.499,69
122.509,68
124.529,45
127.559,31
128.569,30
130.589,39
131.599,44
133.619,45
135.639,59
137.659,47
139.679,45
141.699,44
143.719,46
144.729,37
146.749,14
148.769,11
149.779,13
150.789,7
152.809,11
153.819,20
154.829,25
155.839,40
156.849,63
157.859,71
159.879,76
161.899,85
162.909,88
163.919,90
164.929,99
165.939,100
167.959,102
168.969,102
170.989,102
173.009,102
175.029,100
177.049,100
179.069,99
181.089,97
182.099,96
184.119,93
186.139,89
188.159,89
190.179,90
192.199,86
193.209,79
195.229,75
197.249,67
199.269,61
201.289,57
202.299,52
204.319,59
206.339,65
207.349,71
208.359,74
209.369,78
210.379,79
211.389,82
212.399,90
214.419,94
215.429,94
217.449,96
219.469,93
221.489,86
223.509,84
225.529,90
226.539,87
228.559,70
230.579,54
232.599,63
234.619,46
237.649,39
238.659,41
239.669,46
241.689,52
243.709,39
244.719,38
245.729,37
247.749,40
248.759,46
250.779,56
252.799,62
253.809,68
254.819,75
255.829,79
256.839,76
257.849,69
258.859,63
259.869,60
260.879,57
261.889,54
262.899,43
263.909,31
265.929,7
267.949,10
269.969,9
272.999,4
275.019,21
277.039,23
279.059,28
281.079,20
282.089,18
284.109,12
286.129,5
288.149,14
290.169,12
292.189,24
295.219,32
297.239,36
298.249,42
300.269,54
301.279,69
303.299,79
305.319,81
306.329,78
308.349,74
310.369,70
312.389,59
313.399,53
314.409,46
316.429,45
317.439,43
318.449,42
319.459,38
321.479,31
322.489,32
323.499,41
325.519,35
327.539,37
328.549,22
330.569,26
332.589,29
333.599,32
334.609,42
335.619,50
337.639,48
338.649,53
339.659,44
341.679,30
343.699,11
349.759,13
350.769,28
351.779,27
352.789,19
354.809,46
356.829,73
357.839,77
359.859,62
360.869,63
361.879,69
363.899,78
364.909,74
365.919,70
367.939,79
369.959,82
371.979,80
372.989,84
375.009,83
377.029,82
379.049,88
380.059,85
381.069,86
383.089,84
384.099,82
385.109,81
386.119,76
387.129,64
388.129,55
390.149,55
392.169,54
393.179,50
394.189,55
397.219,60
398.229,66
399.239,61
400.249,52
401.259,47
403.279,40
404.289,37
405.299,43
408.329,59
410.349,63
412.369,73
413.379,76
415.399,68
416.409,62
419.439,49
421.459,49
423.479,48
424.489,48
425.499,43
426.509,33
428.529,28
430.549,42
432.569,46
434.589,44
436.609,62
438.629,67
439.639,63
440.649,60
441.659,56
442.669,53
443.679,53
445.699,40
447.719,17
449.739,20
451.759,8
452.769,14
453.779,19
454.789,22
455.799,31
456.809,38
458.829,45
459.839,45
460.849,51
462.869,69
463.879,76
465.899,92
467.919,101
468.929,103
469.939,104
470.949,103
471.959,101
472.969,98
473.979,94
474.989,93
475.999,91
477.009,92
479.029,96
481.049,94
483.069,90
484.079,87
486.099,77
488.119,70
490.139,68
492.159,67
494.179,76
496.199,87
497.209,88
499.229,91
501.249,69
503.269,55
505.289,49
507.309,32
508.319,27
510.339,13
512.359,12
514.379,17
515.389,16
517.409,21
518.419,23
520.440,38
521.450,51
523.469,26
