df_hash,22ZHK4.V6E3X1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XBH0
person_label,v108
date_time_start,2026-03-02_14-01-49.567000_+03
date_time_start_unix,1772445709.567
date_time_end,2026-03-02_14-10-36.111000_+03
length_difference_noticed,no

time,rr_int
9.853,3970
11.218,10
11.511,1425
12.096,295
12.778,555
13.366,590
13.851,605
14.436,595
15.222,595
15.705,600
16.287,590
16.776,585
17.459,570
18.086,560
18.483,565
19.023,560
19.555,565
20.140,565
20.724,565
21.414,545
21.797,540
22.382,545
22.772,540
23.357,510
23.893,510
24.283,510
24.918,500
25.284,490
25.651,475
25.996,10
26.233,480
26.819,480
27.356,530
27.989,550
28.429,605
28.432,305
28.442,15
28.524,15
28.720,195
29.597,660
31.108,515
31.796,1545
32.669,505
33.254,1050
33.842,520
33.846,535
34.376,10
34.862,520
35.447,555
35.983,560
35.987,650
36.130,10
36.134,20
36.425,110
36.428,10
37.140,415
37.641,455
38.226,560
38.908,575
40.422,790
41.833,1390
42.032,1525
42.077,165
42.081,15
42.129,10
42.132,10
42.136,15
42.175,10
42.224,10
42.228,20
42.231,20
42.519,180
42.808,495
43.247,10
43.788,475
44.320,530
45.149,525
45.733,535
45.836,545
45.882,515
46.465,10
47.295,530
47.686,510
47.930,510
48.661,510
49.169,555
49.683,565
50.365,590
50.901,585
51.537,570
51.973,565
52.461,555
52.968,535
53.777,535
54.070,515
54.460,510
55.045,495
55.435,480
56.026,505
56.754,530
57.239,595
57.385,875
59.789,1095
60.483,1215
60.846,685
61.631,485
61.726,595
61.968,10
62.552,535
63.089,535
63.920,550
64.243,515
64.747,535
64.892,535
64.896,150
64.941,65
64.944,20
64.948,10
65.042,40
65.185,220
66.495,545
66.745,505
67.281,495
68.110,475
68.113,945
68.259,10
68.649,200
69.621,275
69.624,975
69.816,10
70.060,125
70.597,350
71.035,460
71.039,530
71.571,10
72.157,515
72.554,515
72.558,500
73.131,10
73.135,450
73.963,10
75.182,895
75.472,1265
76.011,315
76.593,545
76.859,590
76.885,215
76.889,10
76.934,10
76.937,20
76.941,10
76.987,10
77.129,15
77.167,235
77.714,540
78.290,10
78.862,510
79.371,565
79.375,530
79.918,10
80.228,560
80.494,285
80.883,280
81.467,530
81.565,540
81.711,215
81.715,15
81.718,10
82.444,250
82.979,505
83.515,555
84.101,505
84.636,550
85.222,600
85.788,460
85.795,560
86.303,10
86.879,575
87.031,560
87.074,170
87.079,20
87.174,15
87.179,15
87.185,15
87.220,10
87.226,10
87.231,15
87.274,25
87.277,20
87.416,230
88.590,690
88.682,475
88.975,400
90.492,1165
91.608,450
91.903,1060
92.007,95
92.438,345
92.976,485
93.558,520
93.714,540
93.850,250
94.874,335
95.362,605
95.920,605
96.483,585
97.019,590
97.704,565
98.189,560
98.677,505
99.313,530
99.896,520
100.238,505
101.117,605
101.799,590
101.894,565
102.163,505
102.577,280
103.941,345
104.234,1375
104.819,320
105.897,550
106.476,1145
107.013,530
107.598,555
108.329,555
108.333,540
108.336,220
108.578,10
109.109,270
109.260,510
109.410,150
109.417,90
109.420,10
110.159,250
110.621,520
111.205,535
111.742,530
112.278,565
112.570,575
112.577,270
112.863,10
113.399,315
114.033,595
114.328,580
114.667,260
114.670,345
115.106,10
115.791,525
115.886,630
115.934,10
116.673,150
116.861,365
117.592,545
118.811,775
119.396,1230
120.371,500
120.910,1060
121.493,555
122.190,605
122.271,605
122.472,10
122.596,500
123.442,685
123.539,165
123.542,15
123.588,10
123.591,10
123.594,10
123.640,15
123.832,15
124.514,355
124.518,640
124.663,10
124.667,10
124.807,255
126.074,795
126.220,530
126.224,10
126.227,10
126.269,10
126.273,15
126.276,15
126.280,15
126.467,15
126.471,15
126.474,10
127.147,15
127.732,865
128.122,615
129.389,400
129.393,1325
129.536,10
129.682,185
130.662,565
131.879,465
131.925,1245
131.928,10
132.031,140
133.731,1000
134.169,490
134.410,460
134.947,430
134.951,600
135.147,10
135.192,150
135.240,10
136.214,365
137.062,655
137.580,725
138.174,705
138.798,590
138.802,540
139.825,10
139.968,835
141.192,355
142.308,1275
142.455,1130
142.600,225
142.604,140
143.917,645
144.258,490
145.411,490
145.528,1105
145.537,195
145.672,15
145.919,40
146.501,280
147.037,545
147.624,550
148.169,555
148.695,565
149.280,570
149.816,565
150.647,565
151.474,560
151.915,1115
152.161,510
152.215,195
152.597,20
152.600,40
153.040,285
153.571,555
154.281,580
154.837,605
155.373,610
156.014,590
156.494,585
157.031,565
157.788,560
158.315,580
158.883,600
159.469,600
160.136,590
160.687,605
161.226,600
161.963,615
162.546,640
163.470,635
163.709,625
164.392,620
164.980,605
165.514,605
166.196,600
166.786,595
167.317,605
167.959,580
168.438,570
169.030,575
169.560,565
170.168,575
170.827,580
171.364,575
171.802,565
171.805,540
172.339,10
172.923,530
173.508,535
174.044,540
174.581,560
175.117,560
175.654,555
176.238,565
176.878,550
177.413,555
177.899,550
178.481,570
179.021,565
179.553,560
180.141,560
180.733,560
181.211,570
181.796,565
181.942,560
182.332,205
182.921,345
183.455,530
183.990,550
184.429,545
185.014,530
185.550,540
186.090,565
186.818,580
187.256,590
187.946,545
188.476,595
189.209,575
190.136,555
190.571,1120
191.146,470
191.643,580
192.229,565
193.063,540
193.594,845
