df_hash,22ZHK4.V6E3X1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XBH0
person_label,v108
date_time_start,2026-03-02_14-01-49.567000_+03
date_time_start_unix,1772445709.567
date_time_end,2026-03-02_14-10-36.111000_+03
length_difference_noticed,no

time,acc_mag
5.794,0.981
5.824,0.983
5.854,0.979
5.884,0.983
5.914,0.986
5.944,0.977
5.974,0.979
6.004,0.977
6.034,0.980
6.064,0.986
6.094,0.965
6.124,0.984
6.154,0.988
6.184,0.976
6.214,0.978
6.244,0.979
6.274,0.978
6.304,0.984
6.334,0.983
6.364,0.974
6.394,0.979
6.424,0.981
6.454,0.979
6.484,0.980
6.514,0.979
6.544,0.982
6.574,0.980
6.604,0.979
6.634,0.981
6.664,0.982
6.694,0.986
6.724,0.971
6.754,0.985
6.784,0.986
6.814,0.980
6.844,0.979
6.874,0.981
6.904,0.975
6.934,0.982
6.964,0.980
6.994,0.980
7.024,0.979
7.054,0.976
7.084,0.980
7.114,0.984
7.144,0.976
7.174,0.980
7.204,0.977
7.234,0.977
7.264,0.981
7.294,0.979
7.324,0.982
7.354,0.973
7.384,0.981
7.414,0.990
7.444,0.981
7.474,0.979
7.504,0.977
7.534,0.978
7.564,0.979
7.594,0.984
7.624,0.979
7.654,0.980
7.684,0.979
7.714,0.982
7.744,0.978
7.774,0.977
7.804,0.980
7.834,0.980
7.864,0.984
7.894,0.982
7.924,0.976
7.954,0.988
7.984,0.963
8.014,0.990
8.044,0.986
8.074,0.981
8.104,0.979
8.134,0.979
8.164,0.977
8.194,0.986
8.224,0.971
8.254,0.977
8.284,0.986
8.314,0.981
8.344,0.978
8.374,0.977
8.404,0.980
8.434,0.980
8.464,0.978
8.494,0.979
8.524,0.978
8.554,0.981
8.584,0.978
8.614,0.975
8.644,0.995
8.674,0.976
8.704,0.976
8.734,0.978
8.764,0.978
8.794,0.981
8.824,0.980
8.854,0.972
8.884,0.980
8.914,0.985
8.944,0.982
8.974,0.976
9.004,0.973
9.034,0.976
9.064,0.977
9.094,0.978
9.124,0.980
9.154,0.982
9.184,0.963
9.214,0.997
9.244,0.982
9.274,0.979
9.304,0.979
9.334,0.978
9.364,0.982
9.394,0.980
9.424,0.971
9.454,0.982
9.484,0.979
9.514,0.981
9.544,0.978
9.574,0.979
9.604,0.980
9.634,0.979
9.664,0.980
9.694,0.981
9.724,0.980
9.754,0.982
9.784,0.969
9.814,0.996
9.844,0.979
9.874,0.976
9.904,0.978
9.934,0.981
9.964,0.981
9.994,0.984
10.024,0.978
10.054,0.980
10.084,0.985
10.114,0.980
10.144,0.981
10.174,0.981
10.204,0.981
10.234,0.982
10.264,0.979
10.294,0.976
10.324,0.977
10.354,0.981
10.384,0.981
10.414,0.979
10.444,0.992
10.474,0.984
10.504,0.979
10.534,0.978
10.564,0.979
10.594,0.982
10.624,0.979
10.654,0.974
10.684,0.980
10.714,0.979
10.744,0.981
10.774,0.985
10.804,0.984
10.834,0.981
10.864,0.979
10.894,0.974
10.924,0.979
10.954,0.979
10.984,0.983
11.014,0.986
11.044,0.973
11.074,0.997
11.104,0.984
11.134,0.977
11.164,0.977
11.194,0.985
11.224,0.986
11.254,0.988
11.284,0.975
11.314,0.986
11.344,0.984
11.374,0.977
11.404,0.982
11.434,0.976
11.464,0.978
11.494,0.976
11.524,0.978
11.554,0.978
11.584,0.978
11.614,0.981
11.644,0.971
11.674,0.996
11.704,0.978
11.734,0.979
11.764,0.976
11.794,0.975
11.824,0.982
11.854,0.984
11.884,0.975
11.914,0.986
11.944,0.982
11.974,0.983
12.004,0.984
12.034,0.981
12.064,0.980
12.094,0.978
12.124,0.978
12.154,0.981
12.184,0.985
12.214,0.974
12.244,0.976
12.274,0.987
12.304,0.982
12.334,0.978
12.364,0.974
12.394,0.979
12.424,0.984
12.454,0.987
12.484,0.981
12.514,0.986
12.544,0.981
12.574,0.979
12.604,0.984
12.634,0.984
12.664,0.982
12.694,0.980
12.724,0.979
12.754,0.982
12.784,0.984
12.814,0.965
12.844,0.989
12.874,0.984
12.904,0.976
12.934,0.979
12.964,0.976
12.994,0.978
13.024,0.978
13.054,0.982
13.084,0.977
13.114,0.978
13.144,0.979
13.174,0.985
13.204,0.982
13.234,0.981
13.264,0.982
13.294,0.979
13.324,0.980
13.354,0.979
13.384,0.984
13.414,0.977
13.444,0.998
13.474,0.981
13.504,0.978
13.534,0.979
13.564,0.979
13.594,0.984
13.624,0.985
13.654,0.974
13.684,0.980
13.714,0.980
13.744,0.980
13.774,0.980
13.804,0.979
13.834,0.974
13.864,0.980
13.894,0.979
13.924,0.983
13.954,0.982
13.984,0.981
14.014,0.976
14.044,0.994
14.074,0.980
14.104,0.980
14.134,0.980
14.164,0.980
14.194,0.979
14.224,0.982
14.254,0.979
14.284,0.978
14.314,0.979
14.344,0.982
14.374,0.981
14.404,0.978
14.434,0.976
14.464,0.976
14.494,0.978
14.524,0.978
14.554,0.984
14.584,0.973
14.614,0.979
14.644,0.994
14.674,0.982
14.704,0.982
14.734,0.978
14.764,0.980
14.794,0.985
14.824,0.978
14.854,0.980
14.884,0.985
14.914,0.980
14.944,0.985
14.974,0.984
15.004,0.979
15.034,0.975
15.064,0.976
15.094,0.974
15.124,0.978
15.154,0.989
