df_hash,22ZHK4.V6E3X1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XBH0
person_label,v108
date_time_start,2026-03-02_14-01-49.567000_+03
date_time_start_unix,1772445709.567
date_time_end,2026-03-02_14-10-36.111000_+03
length_difference_noticed,no

time,heart_rate
16.824,103
18.092,103
18.924,104
19.798,105
21.017,106
21.895,108
22.775,109
23.991,111
24.921,114
25.847,117
26.990,116
27.843,118
28.768,118
29.990,117
30.816,117
32.008,117
33.065,117
33.943,117
34.716,117
35.935,116
36.812,116
37.836,116
38.860,116
39.786,116
40.664,116
41.931,116
42.760,116
43.686,116
45.132,116
45.761,117
46.611,117
47.830,116
48.709,116
49.585,115
50.803,114
51.730,113
52.607,111
53.784,110
54.655,110
55.581,110
56.849,112
57.628,110
58.555,110
59.728,110
60.700,110
61.529,110
62.698,110
63.625,108
64.502,107
65.672,108
66.599,109
67.476,110
68.743,111
69.572,110
70.450,110
71.669,110
72.546,110
73.424,113
74.642,111
75.520,111
76.446,111
77.616,111
78.494,111
79.420,111
80.590,112
81.517,111
82.394,111
83.564,111
84.490,112
85.393,112
86.538,113
87.464,112
88.390,111
89.511,111
90.440,111
91.315,111
92.489,111
93.460,111
94.289,113
95.508,111
96.385,111
97.263,109
98.530,108
99.408,107
100.532,108
101.455,108
102.373,109
103.210,107
104.526,107
105.310,106
106.281,106
107.403,106
108.381,107
109.210,106
110.376,108
111.258,109
112.180,111
113.350,111
114.228,111
115.154,110
116.326,108
117.201,107
118.128,108
119.347,107
120.224,107
121.150,107
122.274,107
123.247,107
124.075,108
125.245,107
126.172,107
127.049,105
128.271,106
129.145,105
130.023,105
131.242,105
132.119,110
132.997,107
134.215,107
135.093,113
136.034,115
137.189,112
138.165,112
138.944,112
140.163,106
141.040,104
141.967,102
143.137,101
144.014,102
144.943,101
146.111,101
146.988,101
147.917,104
149.084,102
149.990,105
150.888,105
152.205,106
152.942,106
153.968,107
155.080,107
155.915,107
156.836,105
158.058,105
158.983,104
159.809,104
160.980,103
161.906,103
162.783,101
163.953,100
164.879,99
165.757,99
166.976,98
167.951,98
168.779,99
169.949,100
170.925,101
171.753,102
173.365,103
173.841,104
174.678,105
175.897,106
176.774,107
177.730,107
178.871,107
179.748,107
180.723,107
181.845,107
182.722,107
183.648,107
184.818,107
185.696,108
186.646,108
187.792,108
188.718,108
189.596,107
190.996,107
191.692,107
192.570,108
193.740,107
194.666,107
195.548,107
196.812,107
197.640,107
198.517,107
199.737,107
200.638,107
201.491,107
202.710,107
203.587,107
204.465,107
205.683,107
206.808,107
207.536,107
208.706,107
209.543,107
210.486,107
211.631,101
212.509,100
213.435,99
214.900,99
215.482,100
216.409,100
217.579,101
218.505,103
219.382,104
220.552,106
221.479,107
222.356,109
223.526,107
224.501,107
225.330,107
226.500,107
227.426,107
228.352,107
229.522,107
230.400,110
231.281,111
232.594,111
233.437,110
234.251,109
235.520,107
236.396,106
237.225,105
238.447,105
239.321,105
240.199,105
241.417,105
242.301,105
243.173,107
244.415,105
245.269,105
246.151,105
247.365,103
248.549,102
249.120,101
250.339,101
251.243,101
252.142,103
253.312,101
254.193,105
255.116,102
256.314,103
257.164,102
258.090,102
259.267,102
260.192,102
261.070,102
262.283,102
263.140,102
264.087,102
265.208,102
266.134,102
267.017,102
268.182,102
269.133,102
269.985,102
271.193,95
272.081,94
272.964,95
274.129,95
275.055,94
275.933,94
277.541,94
278.029,94
278.914,94
280.076,96
281.028,97
281.883,96
283.099,96
284.025,100
284.854,97
286.073,98
286.953,97
287.949,97
289.096,97
289.924,97
290.854,97
292.020,97
292.901,96
293.775,95
294.994,95
295.897,94
296.749,93
297.968,92
298.845,92
299.725,92
300.945,92
301.819,92
302.745,92
303.915,92
304.793,92
305.719,92
307.133,93
307.767,93
308.695,94
309.863,95
310.763,96
311.716,97
312.885,99
313.724,100
314.716,100
315.811,100
316.737,100
317.614,99
318.784,99
319.711,99
320.588,99
321.758,99
322.684,99
323.562,99
324.733,99
325.853,99
326.536,99
327.754,99
328.632,99
329.509,103
330.679,103
331.606,102
332.485,102
333.679,102
334.579,102
335.481,102
336.635,102
337.564,106
338.433,108
339.649,108
340.527,107
341.404,107
342.623,106
343.502,105
344.383,104
345.597,103
346.476,103
347.352,103
348.571,103
349.448,103
350.326,103
351.546,103
352.422,103
353.300,103
354.546,103
355.406,99
356.296,101
357.492,99
358.369,99
359.296,99
360.466,98
361.372,98
362.269,98
363.439,98
364.317,98
365.243,98
366.422,98
367.291,98
368.222,98
369.387,98
370.264,98
371.191,98
372.361,92
373.260,95
374.164,94
375.336,94
376.212,87
377.289,91
378.308,89
379.235,90
380.112,95
381.428,97
382.208,100
383.086,101
384.257,103
385.213,104
386.060,105
387.253,104
388.208,104
389.033,104
390.203,104
391.134,104
392.013,104
393.183,104
394.128,104
395.053,104
396.151,104
397.077,104
397.960,100
399.173,101
400.295,101
401.175,101
402.174,101
403.026,102
403.902,101
405.121,101
406.001,101
406.879,101
408.095,101
408.972,101
409.858,101
411.207,100
411.949,99
412.853,99
414.044,98
414.920,99
415.822,100
417.016,99
417.893,99
418.820,102
419.990,100
421.199,101
421.794,100
423.012,100
423.841,100
424.767,100
425.986,100
426.815,100
427.741,100
428.911,100
429.789,100
430.715,100
