df_hash,22ZHK4.M8H0SD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P52Q
person_label,v109
date_time_start,2026-03-02_14-27-15.983000_+03
date_time_start_unix,1772447235.983
date_time_end,2026-03-02_14-35-31.391000_+03
length_difference_noticed,no

time,ppg_quality
57.840,49
59.860,44
60.870,31
63.900,15
64.910,21
66.930,34
68.950,34
70.970,56
71.980,70
72.990,67
74.000,70
76.020,68
78.040,80
80.060,57
81.070,52
82.080,51
83.090,54
84.100,58
85.110,59
86.120,52
87.130,30
88.140,9
89.150,9
91.170,12
97.230,10
98.240,25
99.250,35
100.260,34
102.280,65
104.300,61
105.310,60
106.320,63
107.330,65
108.340,64
110.360,59
112.380,34
113.390,36
114.400,36
115.410,33
117.430,31
118.440,26
119.450,25
121.470,35
122.480,41
123.490,40
126.520,52
127.530,45
128.540,50
130.560,55
132.580,62
134.600,68
136.620,59
139.650,64
140.660,59
141.670,60
143.690,53
145.710,54
147.730,51
149.750,42
150.760,48
151.770,35
152.780,23
154.800,20
155.810,24
156.820,26
158.840,36
159.850,41
161.870,30
162.880,37
163.890,44
165.910,43
167.930,37
168.940,33
169.950,33
171.970,58
173.990,72
176.010,68
177.020,57
179.040,51
180.050,40
181.060,30
183.080,13
194.190,3
196.210,27
198.230,26
199.240,32
201.260,30
202.270,31
203.280,30
204.290,22
205.300,18
207.320,39
208.330,41
209.340,44
211.360,61
213.380,72
214.390,83
216.410,106
217.420,106
218.430,104
220.450,105
221.460,104
222.470,107
224.490,105
226.510,95
229.540,94
231.560,103
233.580,86
235.600,69
237.620,60
239.640,51
240.650,47
241.660,35
242.670,33
244.690,21
246.710,2
252.770,15
254.790,15
255.800,17
257.820,38
259.840,53
260.850,50
263.880,32
264.890,39
266.910,55
267.920,52
268.930,49
269.940,30
270.950,23
271.960,33
272.970,36
274.990,26
286.100,3
287.110,13
288.120,15
289.130,14
290.140,17
292.160,34
293.170,37
294.180,32
299.230,7
301.250,5
305.290,21
307.310,67
308.320,80
310.340,49
312.360,43
313.370,30
314.380,17
315.390,8
316.400,1
321.450,30
323.470,31
325.490,36
327.510,17
328.520,23
329.530,14
337.610,3
342.660,16
344.680,25
345.690,17
347.710,13
348.720,30
349.730,42
351.750,54
352.760,50
354.780,52
355.790,66
356.800,67
357.810,64
358.820,47
359.830,34
360.840,38
362.860,29
364.880,17
366.900,13
367.910,16
368.920,24
369.930,31
371.950,19
373.970,21
375.990,5
380.030,2
381.040,20
383.060,53
385.080,66
387.100,71
389.120,72
391.140,64
392.150,36
394.170,19
396.190,18
398.210,20
399.220,27
403.260,31
404.270,23
406.290,19
407.300,12
415.380,3
416.390,13
417.400,18
418.410,21
420.430,30
422.450,33
423.460,39
424.470,48
425.480,45
427.500,29
429.520,19
430.530,17
431.540,28
433.560,36
434.570,39
435.580,46
438.610,58
440.630,69
442.650,47
444.670,44
445.680,50
446.690,36
447.700,31
448.710,24
449.720,14
451.740,12
453.760,18
454.770,24
456.790,9
458.810,17
460.830,48
462.850,52
463.860,49
465.880,74
466.890,83
468.910,83
469.920,70
471.940,62
473.960,35
475.980,12
476.990,2
480.020,9
482.040,29
485.070,63
487.090,67
489.110,76
491.130,37
