df_hash,22ZHK4.M8H0SD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P52Q
person_label,v109
date_time_start,2026-03-02_14-27-15.983000_+03
date_time_start_unix,1772447235.983
date_time_end,2026-03-02_14-35-31.391000_+03
length_difference_noticed,no

time,heart_rate
5.682,143
7.794,139
23.621,85
24.450,84
25.668,84
26.546,84
27.476,83
28.691,83
29.520,83
30.446,83
31.625,83
32.493,83
33.419,83
34.590,83
35.467,83
36.393,83
37.563,83
38.490,84
39.367,83
40.594,83
41.463,83
42.389,83
43.514,83
44.463,83
45.327,83
46.558,83
47.411,83
48.288,83
49.507,83
50.385,83
51.263,83
52.481,83
53.363,83
54.239,83
55.455,81
56.332,82
57.210,75
58.429,73
59.404,72
60.184,71
61.451,71
62.329,71
63.207,71
64.376,71
65.254,71
66.131,71
67.377,81
68.228,85
69.214,86
70.327,87
71.202,89
72.131,87
73.300,87
74.205,87
75.103,87
76.272,87
77.198,87
78.079,87
79.246,82
80.128,80
81.050,78
82.318,76
83.146,77
84.049,73
85.194,74
86.156,74
86.997,74
88.167,73
89.094,73
89.971,73
91.190,78
92.067,67
92.945,69
94.115,70
95.041,70
95.919,65
97.189,66
98.015,66
99.188,75
100.111,79
101.283,81
101.867,81
103.085,80
103.964,78
104.892,77
106.059,76
106.937,76
107.814,80
109.077,80
109.911,83
110.790,86
112.007,83
112.884,88
113.811,85
114.981,86
115.858,85
116.784,84
117.962,84
118.832,84
119.758,84
120.933,84
121.806,87
122.732,85
124.003,89
124.828,89
125.755,88
126.876,84
127.803,85
128.705,84
129.856,84
130.776,84
131.654,88
132.839,91
133.757,88
134.628,88
135.846,88
136.724,88
137.650,88
138.823,88
139.698,92
141.024,93
141.794,90
142.672,91
143.551,91
144.768,92
145.646,93
146.578,92
147.743,92
148.694,92
149.546,92
150.740,92
151.593,92
152.519,92
153.690,86
154.567,89
155.493,88
156.663,88
157.590,89
158.467,89
159.638,89
160.570,89
161.538,89
162.612,88
163.538,88
164.415,88
165.589,88
166.511,87
167.389,87
168.582,87
169.485,87
170.411,88
171.581,88
172.459,88
173.336,87
174.579,86
175.438,86
176.315,86
177.529,86
178.406,86
179.284,86
180.505,86
181.380,86
182.258,80
183.477,83
184.425,75
185.232,79
186.453,77
187.328,78
188.254,77
189.424,77
190.352,77
191.228,77
192.487,81
193.276,78
194.202,79
195.372,81
196.249,76
197.176,78
198.346,77
199.267,77
200.150,77
201.420,73
202.246,71
203.172,72
204.311,76
205.220,78
206.097,80
207.317,80
208.194,80
209.125,80
210.241,81
211.171,83
212.107,84
213.264,83
214.141,83
215.067,83
216.237,83
217.120,85
217.993,85
219.211,86
220.089,86
220.966,86
222.185,87
223.063,87
224.282,88
225.160,88
226.042,88
226.914,87
228.133,86
229.010,85
229.937,85
231.157,85
232.028,85
232.910,85
234.201,85
234.958,85
235.886,85
237.054,85
237.932,85
238.858,85
240.053,85
240.954,85
241.832,80
243.002,82
243.880,81
244.806,81
245.976,81
246.902,81
247.780,81
249.245,81
249.876,81
250.792,81
251.923,74
252.877,78
253.728,76
254.946,81
255.824,71
256.722,73
257.920,74
258.798,74
259.788,73
260.894,73
261.821,73
262.649,73
263.868,73
264.745,73
265.623,75
266.867,74
267.809,73
268.597,73
269.816,73
270.806,73
271.641,77
272.797,75
273.690,74
274.618,74
275.763,65
276.666,61
277.573,61
278.785,61
279.618,61
280.545,61
281.715,61
282.588,61
283.514,61
284.768,61
285.659,61
286.512,61
287.659,61
288.588,61
289.462,61
290.632,61
291.558,61
292.495,61
293.655,61
294.532,61
295.410,57
296.654,58
297.555,58
298.384,58
299.635,57
300.480,57
301.653,57
302.576,57
303.477,57
304.331,57
305.599,55
306.427,55
307.354,55
308.524,55
309.429,55
310.328,59
311.500,57
312.396,56
313.450,56
314.492,56
315.398,56
316.275,55
317.482,54
318.323,54
319.258,52
320.419,52
321.347,52
322.223,52
323.591,52
324.319,52
325.272,52
326.367,52
327.293,52
328.170,52
329.341,52
330.267,52
331.145,52
332.314,52
333.241,52
334.118,52
335.337,46
336.239,44
337.092,46
338.311,46
339.237,45
340.066,45
341.285,45
342.162,45
343.045,45
344.260,45
345.136,45
346.015,45
347.247,49
348.110,50
349.146,48
350.206,50
351.083,49
351.961,49
353.180,49
354.063,49
354.983,49
356.154,49
357.031,49
357.962,49
359.176,49
360.005,49
360.931,49
362.150,49
362.980,49
363.905,49
365.085,49
366.001,49
366.882,50
368.049,50
368.975,52
369.853,53
371.023,52
371.974,51
372.875,58
373.997,61
374.923,58
375.800,57
376.970,57
377.897,57
378.775,57
380.042,57
380.874,57
381.748,57
382.967,61
383.844,58
384.722,58
385.944,65
386.818,62
387.696,61
388.914,61
389.792,61
390.718,61
391.888,61
392.794,61
393.643,61
394.862,61
395.739,61
396.666,61
397.836,61
398.741,61
399.592,61
400.810,62
401.687,63
402.662,62
403.783,62
404.667,62
405.587,62
406.757,59
407.638,56
408.611,57
409.731,56
410.657,55
411.538,53
412.705,54
413.631,54
414.509,54
415.679,53
416.605,54
417.482,55
418.652,55
419.579,55
420.471,54
421.697,54
422.552,54
423.430,54
424.649,54
425.529,59
426.407,57
427.623,56
428.500,60
429.432,59
430.600,58
431.474,63
432.352,57
433.570,58
434.451,58
435.325,58
